fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.02280701754385965,0.89
0.0,0.1543859649122807,0.88
0.0,0.24912280701754386,0.87
0.0,0.38070175438596493,0.86
0.0,0.5140350877192983,0.85
0.0,0.5596491228070175,0.84
0.0,0.6,0.83
0.0,0.6508771929824562,0.82
0.0,0.7228070175438597,0.81
0.0,0.7315789473684211,0.8
0.0,0.7421052631578947,0.78
0.0,0.7456140350877193,0.72
0.0,0.7508771929824561,0.69
0.000925925925925926,0.7508771929824561,0.68
0.003703703703703704,0.7526315789473684,0.67
0.007407407407407408,0.7526315789473684,0.66
0.007407407407407408,0.7543859649122807,0.65
0.009259259259259259,0.7543859649122807,0.64
0.012962962962962963,0.7543859649122807,0.63
0.014814814814814815,0.7543859649122807,0.62
0.017592592592592594,0.7596491228070176,0.61
0.020370370370370372,0.7701754385964912,0.6
0.025925925925925925,0.7789473684210526,0.59
0.026851851851851852,0.787719298245614,0.58
0.027777777777777776,0.8035087719298246,0.57
0.028703703703703703,0.8122807017543859,0.56
0.02962962962962963,0.8157894736842105,0.55
0.02962962962962963,0.8315789473684211,0.54
0.030555555555555555,0.8385964912280702,0.53
0.03148148148148148,0.8473684210526315,0.52
0.032407407407407406,0.8543859649122807,0.51
0.032407407407407406,0.8649122807017544,0.5
0.03333333333333333,0.875438596491228,0.49
0.03333333333333333,0.8789473684210526,0.48
0.03518518518518519,0.8842105263157894,0.47
0.037037037037037035,0.8929824561403509,0.46
0.03796296296296296,0.9052631578947369,0.45
0.041666666666666664,0.9140350877192982,0.44
0.04722222222222222,0.9263157894736842,0.43
0.05092592592592592,0.9315789473684211,0.42
0.05462962962962963,0.9333333333333333,0.41
0.06111111111111111,0.9421052631578948,0.4
0.062037037037037036,0.9438596491228071,0.39
0.06759259259259259,0.9491228070175438,0.38
0.07037037037037037,0.9526315789473684,0.37
0.075,0.9526315789473684,0.36
0.07777777777777778,0.9526315789473684,0.35
0.07962962962962963,0.9526315789473684,0.34
0.08333333333333333,0.9526315789473684,0.33
0.08518518518518518,0.9526315789473684,0.32
0.08981481481481482,0.956140350877193,0.31
0.09166666666666666,0.956140350877193,0.3
0.09444444444444444,0.9614035087719298,0.29
0.0962962962962963,0.9614035087719298,0.28
0.09814814814814815,0.968421052631579,0.27
0.1111111111111111,0.9719298245614035,0.25
0.12129629629629629,0.9754385964912281,0.24
0.13148148148148148,0.9771929824561404,0.23
0.15555555555555556,0.9824561403508771,0.22
0.19166666666666668,0.9824561403508771,0.21
0.22962962962962963,0.9859649122807017,0.2
0.2518518518518518,0.987719298245614,0.19
0.275,0.987719298245614,0.18
0.30462962962962964,0.987719298245614,0.17
0.33425925925925926,0.9912280701754386,0.16
0.4064814814814815,0.9912280701754386,0.15
0.46944444444444444,0.9929824561403509,0.14
0.6194444444444445,1.0,0.13
0.700925925925926,1.0,0.12
0.7870370370370371,1.0,0.11
0.9027777777777778,1.0,0.1
0.9583333333333334,1.0,0.09
0.975925925925926,1.0,0.08
0.9944444444444445,1.0,0.07
1.0,1.0,0.06
