precision,recall,thresholds
0.3806060606060606,1.0,0.42
0.3802304426925409,0.9984076433121019,0.43
0.3820840950639854,0.9984076433121019,0.44
0.3877551020408163,0.9984076433121019,0.45
0.39433962264150946,0.9984076433121019,0.46
0.4084690553745928,0.9984076433121019,0.47
0.4361479413817167,0.9952229299363057,0.48
0.5183333333333333,0.9904458598726115,0.49
0.5825426944971537,0.9777070063694268,0.5
0.637223974763407,0.964968152866242,0.51
0.7064327485380117,0.9617834394904459,0.52
0.7509481668773704,0.945859872611465,0.53
0.8052851182197497,0.9219745222929936,0.54
0.8321167883211679,0.9076433121019108,0.55
0.8481203007518797,0.8980891719745223,0.56
0.8567026194144838,0.8853503184713376,0.57
0.865625,0.8821656050955414,0.58
0.8748019017432647,0.8789808917197452,0.59
0.8903225806451613,0.8789808917197452,0.6
0.9049180327868852,0.8789808917197452,0.61
0.9183333333333333,0.8773885350318471,0.62
0.9283276450511946,0.8662420382165605,0.63
0.9406631762652705,0.85828025477707,0.64
0.9450354609929078,0.8487261146496815,0.65
0.9483985765124555,0.8487261146496815,0.66
0.9489981785063752,0.8296178343949044,0.67
0.949343339587242,0.8057324840764332,0.68
0.9515503875968992,0.7818471337579618,0.69
0.9503968253968254,0.7627388535031847,0.7
0.9506172839506173,0.7356687898089171,0.71
0.9518828451882845,0.7245222929936306,0.72
0.9673202614379085,0.7070063694267515,0.73
0.9757174392935982,0.7038216560509554,0.74
0.9865168539325843,0.6990445859872612,0.75
0.9909297052154195,0.695859872611465,0.76
0.9954128440366973,0.6910828025477707,0.77
1.0,0.6831210191082803,0.78
1.0,0.6815286624203821,0.79
1.0,0.6703821656050956,0.8
1.0,0.6640127388535032,0.81
1.0,0.6576433121019108,0.82
1.0,0.6019108280254777,0.83
1.0,0.5939490445859873,0.84
1.0,0.5859872611464968,0.85
1.0,0.5143312101910829,0.86
1.0,0.4394904458598726,0.87
1.0,0.3073248407643312,0.88
1.0,0.19904458598726116,0.89
1.0,0.028662420382165606,0.9
1.0,0.0,1.0
