timestamp,cpu_percent,memory_percent,memory_used_gb,memory_available_gb
2025-04-20 20:47:40,35.0,2.5,9.10,491.11
2025-04-20 20:47:50,38.0,2.5,9.16,491.05
2025-04-20 20:48:00,37.1,2.5,9.17,491.04
2025-04-20 20:48:11,37.3,2.5,9.17,491.04
2025-04-20 20:48:21,35.8,2.5,9.17,491.04
2025-04-20 20:48:31,35.6,2.5,9.17,491.04
2025-04-20 20:48:42,31.3,2.5,9.17,491.04
2025-04-20 20:48:52,30.9,2.5,9.17,491.04
2025-04-20 20:49:02,32.8,2.5,9.17,491.04
2025-04-20 20:49:12,31.9,2.5,9.17,491.04
2025-04-20 20:49:23,28.9,2.5,9.16,491.05
2025-04-20 20:49:33,35.9,2.5,9.17,491.05
2025-04-20 20:49:43,36.0,2.5,9.17,491.05
2025-04-20 20:49:53,37.2,2.5,9.17,491.05
2025-04-20 20:50:03,34.5,2.5,9.16,491.05
2025-04-20 20:50:13,34.2,2.5,9.17,491.05
2025-04-20 20:50:23,38.1,2.5,9.18,491.03
2025-04-20 20:50:33,37.5,2.5,9.18,491.03
2025-04-20 20:50:44,35.0,2.5,9.19,491.03
2025-04-20 20:50:54,36.2,2.5,9.19,491.02
2025-04-20 20:51:04,35.9,2.5,9.19,491.03
2025-04-20 20:51:46,13.3,2.5,9.24,490.97
