feature,mean_importance,std_importance
mpdockq_AH,8596.162523142402,8017.656216268711
total_contacts,2867.1490064438403,2331.467637997137
contacts_AH,2005.8085604355372,1543.165677231695
contacts_AL,1374.0867701491188,1144.9481196054146
interface_plddt_AH,1236.8967869764365,938.1953907713031
interface_plddt_AL,1115.613145623588,899.4435720470705
ptm_H,785.3765522009727,693.8874280960986
iptm_L,780.0881392348572,578.8324564988771
contacts_HL,739.5637429485142,619.7697661998407
chain_plddt_L,726.1469286680838,575.5656274803024
pdockq_HL,705.9307036511664,579.713614915552
chain_pae_A,607.0661610166688,516.4288795565925
avg_internal_pae,568.7957557582056,507.08976390983776
chain_pair_pae_min_AL,563.4285198012313,480.57875542389706
LIS_HL,517.1880126609595,482.83253120122896
pdockq,509.22847388761875,584.0718447063672
chain_pair_iptm_HL,508.93103908933654,386.7411461642489
query_avg_RMSD,500.7521868413303,458.09498874072654
model_avg_RMSD,464.6177542102006,450.037429795664
chain_pair_pae_min_AH,463.066779039488,424.0409306240177
pTM,460.5310908094859,397.1254434901555
iptm_H,448.28220085672723,328.3756436716322
ptm_A,446.4758263635783,376.84638844089363
chain_pae_H,444.5494293977486,370.77566876784556
fraction_disordered,437.9158818975431,771.2923141891371
scaled_model_RMSD,428.5623162830757,497.7559365379407
avg_interface_plddt,427.12977395367653,323.5002113812241
pdockq_AH,404.45849809441273,333.2634553708736
ipTM,392.2711611174827,304.9844908171134
ranking_confidence,337.5160831207385,264.1282537269569
pdockq2,322.27698939071325,394.25351828940177
chain_pair_iptm_AL,310.2670068324866,225.52956145590989
avg_pair_pae,306.7617148261249,248.11895300499097
pdockq_AL,303.7090584614225,241.07073063170654
mpdockq_HL,282.27391781769825,341.4792450055689
scaled_query_RMSD,279.7225321471429,325.08858851944905
interface_pae_HL,274.5711293000663,231.38595605013109
chain_pair_iptm_AH,269.4664355215307,206.2651135098866
chain_pair_pae_AH,260.25465942941923,219.20907696148183
chain_pair_pae_AL,252.77864693848278,210.20091209723236
chain_plddt_A,249.68721191091342,267.1796142653154
interface_plddt_HL,247.33970086126305,209.12414011916877
ptm_L,239.57415170784415,216.0209638055896
del_G_B,236.67750415132832,357.8924348728622
iptm_A,227.16777427681598,168.21180888866732
interface_pae_AH,225.69611458719731,175.8181065100332
pdockq2_AH,218.9250719835283,300.62205429865094
chain_pair_pae_HL,217.06167369733222,192.12344613839574
chain_pair_pae_min_HL,200.00965909573284,367.99873230746925
LIS_AH,191.93139816348224,160.76005691256537
pdockq2_HL,181.45553603434584,172.56402717361306
avg_model_plddt,160.41991498668213,158.4887073842749
scaled_RMSD_ratio,156.47830201924998,168.16583236899376
avg_interface_pae,149.9628902886733,112.67083729761957
interface_pae_AL,135.79884590932448,106.80707202853284
pdockq2_AL,135.72544691642457,134.77372303351027
chain_pae_L,122.15623808865324,101.14537819510434
mpdockq,120.64586851574514,142.1507249516287
chain_plddt_H,117.85662624112678,103.08167310435068
avg_LIS,105.68618260572755,87.85894526990164
LIS_AL,96.57356482743721,77.09060625033605
mpdockq_AL,69.47630397497214,95.89501488562205
has_clash,0.0,0.0
