feature,mean_abs_shap
scaled_query_RMSD,0.04783801984404196
chain_pair_iptm_AL,0.04353125664864575
iptm_L,0.02849167588638958
chain_pair_iptm_AH,0.020830916429646244
avg_model_plddt,0.01863608521951209
pdockq2,0.0133183451509641
pdockq2_AH,0.012385881191818002
iptm_A,0.011334430340302716
scaled_model_RMSD,0.009664596926656634
mpdockq,0.007657356017092997
mpdockq_HL,0.005378073583972203
LIS_AH,0.0019158602147927716
avg_interface_plddt,0.00159530906848047
iptm_H,0.0015839716998514248
pdockq,0.0014924755603125523
pdockq_AH,0.0011839657936209404
chain_plddt_A,0.0005161808825605684
mpdockq_AH,0.0
chain_pae_A,0.0
ptm_L,0.0
ranking_confidence,0.0
chain_pair_iptm_HL,0.0
chain_pair_pae_min_AH,0.0
chain_pair_pae_min_AL,0.0
chain_pair_pae_min_HL,0.0
chain_plddt_L,0.0
chain_plddt_H,0.0
ptm_A,0.0
chain_pair_pae_AH,0.0
chain_pae_H,0.0
chain_pae_L,0.0
chain_pair_pae_AL,0.0
avg_pair_pae,0.0
pTM,0.0
chain_pair_pae_HL,0.0
avg_internal_pae,0.0
del_G_B,0.0
ipTM,0.0
ptm_H,0.0
pdockq_AL,0.0
mpdockq_AL,0.0
interface_plddt_AL,0.0
pdockq2_HL,0.0
pdockq2_AL,0.0
LIS_AL,0.0
LIS_HL,0.0
avg_LIS,0.0
contacts_AH,0.0
interface_plddt_AH,0.0
interface_pae_AH,0.0
contacts_AL,0.0
interface_pae_AL,0.0
pdockq_HL,0.0
contacts_HL,0.0
interface_plddt_HL,0.0
interface_pae_HL,0.0
total_contacts,0.0
has_clash,0.0
avg_interface_pae,0.0
model_avg_RMSD,0.0
query_avg_RMSD,0.0
scaled_RMSD_ratio,0.0
fraction_disordered,0.0
