model_name,status,r2_mean,r2_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,best_inner_cv_score_mean,best_inner_cv_score_std,scoring_metric_used,test_r2,test_mse,test_rmse,test_mae
rf,completed,0.6676494676674969,0.18732544834068315,0.026589853495572587,0.011208468437790829,0.15954922024292015,0.03367342892324367,0.09769813089242604,0.016306250561425095,-0.023003815533297615,0.0033474573184604623,neg_mean_squared_error,0.775360886760221,0.03127183469283093,0.1768384423501602,0.10072920766410472
lgbm,completed,0.5841924820960676,0.2406265823719861,0.03264836729188666,0.012069180298740706,0.17768127563033023,0.03282882243190095,0.10751717821785292,0.014630581208356653,-0.022396247575623703,0.0037170265156024184,neg_mean_squared_error,0.7417059168784407,0.03595691664297134,0.18962309100679522,0.1084510157753428
xgb,completed,0.5857717913546036,0.2139843242282473,0.033362035271417775,0.010995860217416095,0.18022727809325695,0.02966754965469174,0.11010352163883699,0.011677071091554338,-0.024542344603663384,0.0035320247292405273,neg_mean_squared_error,0.7970596098259293,0.028251172480582724,0.16808085102290124,0.09911103902170264
lr,completed,0.5995812293879667,0.2314499437804961,0.031910200827690784,0.011627218478216706,0.1756230458315179,0.03266108694687528,0.1282858144814113,0.024075509128355797,-0.03745703878701896,0.006305465901729094,neg_mean_squared_error,0.6835521498447852,0.044052456921839594,0.20988677166948752,0.13770533456429435
ridge,completed,0.6917351495566628,0.19506665125521822,0.024166633039298,0.009609110397023859,0.15250894922830233,0.03012728737502115,0.10367914601497381,0.022322383495908413,-0.02203820562290677,0.00332501679168341,neg_mean_squared_error,0.758859198019183,0.03356902183455309,0.18321850843883947,0.12081455564856293
lasso,completed,0.6954662641479435,0.17306725722209026,0.024347057238720986,0.00872792409010595,0.15337780153654515,0.028675899890624947,0.10407284594357942,0.0196077540435555,-0.021960864502046703,0.0031745509985202304,neg_mean_squared_error,0.7834956484870614,0.03013940089571303,0.17360703008724337,0.11115573018284843
en,completed,0.7364285512125668,0.10821544493453525,0.021628224189743913,0.005757257422552496,0.14566682640695053,0.020233632256005312,0.09707946800705632,0.012384171294124217,-0.021468328391425973,0.003043580234324646,neg_mean_squared_error,0.7740049212393072,0.03146059758904986,0.1773713550409137,0.11415492397576776
