Model,Metric,Mean,Std
rf,accuracy,0.8857356475300401,0.04506989210284291
rf,precision,0.8677497277060388,0.1178560817062721
rf,recall,0.7608842695510194,0.15576590953599925
rf,f1,0.7933909670331818,0.09296894010126827
rf,mcc,0.725852085303251,0.1021023249714635
rf,roc_auc,0.9297847511912927,0.05310525665445742
rf,pr_auc,0.8960272021866318,0.06125058395407868
xgb,accuracy,0.8723391188251002,0.06454624742502313
xgb,precision,0.8343084673444764,0.14344610829192592
xgb,recall,0.7437646842224044,0.15804847620296286
xgb,f1,0.7702491502192554,0.1268962425889316
xgb,mcc,0.692728116680205,0.14945625209822924
xgb,roc_auc,0.9295188417918702,0.05234987647730472
xgb,pr_auc,0.8941516440747834,0.07004472461236083
lgb,accuracy,0.8693778371161549,0.05603068557935433
lgb,precision,0.8162693501517031,0.13437989855244015
lgb,recall,0.7495144601386806,0.1579162569898783
lgb,f1,0.7639685272134404,0.11495673825022477
lgb,mcc,0.6840127054312501,0.1299555523200283
lgb,roc_auc,0.9360973225430961,0.04718471390888591
lgb,pr_auc,0.9005962221691917,0.07008309908469712
