Metric,Accuracy,Precision,Recall,F1,AUC,Sample_size
pdockq,0.3564864864864865,0.3220436280137773,0.9833479404031551,0.4851891891891892,0.8265447276012656,3700
pdockq2,0.8772972972972973,0.8989547038327527,0.6783523225241017,0.7732267732267732,0.9372409728137259,3700
mpdockq,0.3083783783783784,0.3083783783783784,1.0,0.47139020863457964,0.8265447276012656,3700
