Metric,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Kendall_tau,Kendall_p,RMSE,R2,Sample_size
pdockq,0.4912227227208362,4.743691761142407e-224,0.36768279036634205,8.26983458187933e-119,0.2360529872938632,8.580800257596936e-103,0.3595032397494273,-0.1795788338870048,3700
pdockq2,0.8434719994007464,0.0,0.7548245832004216,0.0,0.5743556695381513,0.0,0.19124963092822428,0.6661721498910089,3700
mpdockq,0.5298628273380387,5.74368929913832e-267,0.36768279036634205,8.26983458187933e-119,0.2360529872938632,8.580800257596936e-103,0.3317842075831832,-0.004691608604851405,3700
