fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,mpdockq_AH,mpdockq_AL,mpdockq_HL,mpdockq,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_L,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pair_pae_AH,chain_pae_H,chain_pae_L,chain_pair_pae_AL,avg_pair_pae,avg_model_plddt,chain_pair_pae_HL,avg_internal_pae,del_G_B,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
0.03,0.0,0.82,0.86,0.84,0.3920039141074172,0.0227091912806793,0.4001423119071488,0.4294037631669504,0.711394245514336,0.5693681785743693,0.7428109043352293,0.7280786174552873,0.2620001755585908,0.2620000000118631,0.2620001911164187,0.2620002599717271,0.481746205009224,0.4175439463064746,0.6853242005325253,0.5282047839494081,3379.0,87.67471737200356,5.91795665634675,331.0,86.37057401812689,7.173611111111111,3827.0,91.78895348837209,2.61948717948718,7537.0,88.61141495950085,5.2370183156483465,14.009540822797408,21.85656869590832,0.7087923122054012,0.71,0.82,0.77,0.8,0.89,0.88,0.76,0.67,0.88,1.92,2.785,1.0750000000000002,92.00919905771498,84.66326424870465,5.94284649776453,93.77647714604235,8.421150343281491,2.562238432066018,3.0141868223519603,9.314191505216096,7.339393928779175,90.14964681748734,4.282839937839937,3.839757250727503,-53.31157606154932,0.2690702526093416,0.1313732874850869,-10.991232007297526,1739.0017120530922,64.0,8.0,0.7425254668556398,-0.0063204262141416
0.0,0.0,0.83,0.88,0.84,0.4261012657129381,0.0242690768492296,0.4044068635534465,0.4284960773743173,0.3872246398357049,0.1533745244573036,0.7611365410034825,0.4130712046033382,0.2620002510312116,0.2620000000204246,0.262000199827715,0.2620002574809693,0.520254616088591,0.4633548915332278,0.6947885960477758,0.5594660345565315,3842.0,86.11437402394586,5.527727856225932,570.0,78.40195614035088,9.446825396825396,3814.0,92.12680650235971,2.4988655700510494,8226.0,85.54771222221882,5.824472941034126,15.51089826047941,21.85656869590832,0.665058078653412,0.74,0.83,0.79,0.82,0.9,0.88,0.78,0.71,0.88,1.725,2.5,1.04,92.33800942285042,85.3023523316062,5.525382739466195,93.82164994425864,7.690776937088412,2.5130489242558207,2.9210008340283564,8.486684053651267,6.779626339052569,90.48733723290508,4.161418026418026,3.653144165916791,-46.80784566987006,0.2309502302105453,0.1313732874850869,-9.998988230957252,1946.297701989339,78.0,23.0,0.7602963468024709,-0.0051374402902172
0.0,0.0,0.83,0.87,0.84,0.4135898929050058,0.0281991990730907,0.4146426342540268,0.4348787805515851,0.6327571470992889,0.6157218678400923,0.7681880138981688,0.6439860443616494,0.2620002200146867,0.2620000000516398,0.2620002224614731,0.2620002755554957,0.5201095730121283,0.46004143301608,0.6955641409669834,0.5585717156650639,3536.0,86.88568014705882,5.958073458073458,531.0,77.25762711864407,9.763541666666669,3807.0,92.12984502232727,2.505710955710956,7874.0,85.42438409601006,6.07577536015036,15.76988527754561,21.85656869590832,0.6576408780343539,0.74,0.83,0.79,0.82,0.9,0.88,0.78,0.7,0.88,1.715,2.48,1.0550000000000002,92.32422850412247,85.1420207253886,5.709409294133587,93.92122630992196,7.792773574330951,2.4954686118479223,2.933419516263553,8.633029061102832,6.857997407874457,90.46249184647768,4.148189588189589,3.7127658074150207,-35.43599649040141,0.2251204639853853,0.1313732874850869,0.5540275018944385,1922.3874514248691,74.0,9.0,0.7278672600254716,0.000288197627114
0.03,0.0,0.82,0.86,0.84,0.3806582121816136,0.0253733284547272,0.4100560959249866,0.4442395141197544,0.7080196290008505,0.5739696450972165,0.7616341741926765,0.7240534329607737,0.2620001559901497,0.2620000000278102,0.2620002120056028,0.2620003045920523,0.480777302329555,0.4206317952781103,0.6883188281117318,0.5299093085731323,3329.0,87.59937969360168,5.786186186186185,343.0,86.06466472303207,7.055128205128205,3744.0,92.29133814102563,2.6197150997151,7416.0,88.65179418588646,5.153676497009831,13.84538793778196,21.85656869590832,0.7136338244239473,0.71,0.82,0.77,0.8,0.89,0.88,0.76,0.67,0.88,1.88,2.72,1.105,92.20836277974088,84.58293264248705,5.946755182224631,93.87422519509477,8.40977651674373,2.549152667256116,2.971576313594662,9.268476154992548,7.306920794748662,90.22184020577424,4.242509712509713,3.822494721025136,-49.37818200019615,0.2737315112580952,0.1313732874850869,-11.098190624517995,1704.2902470665604,69.0,11.0,0.6985962357127334,-0.0065119134746093
0.03,0.0,0.82,0.87,0.84,0.3683302751220927,0.0227138322714881,0.414302834571819,0.4420959629382502,0.7263949019128509,0.576141586595014,0.7563368360022006,0.745736920411086,0.262000137193087,0.2620000000118853,0.2620002216686011,0.2620002976603795,0.4906067276058833,0.4270333227807316,0.6885068836426314,0.5353823113430821,3265.0,87.82590199081164,6.278721804511279,296.0,86.75104729729729,5.855371900826446,3792.0,92.22432753164556,2.5817094017094013,7353.0,88.93375893991818,4.905267702349042,13.999619757603435,21.85656869590832,0.7090846678786261,0.72,0.82,0.78,0.8,0.89,0.88,0.76,0.68,0.88,1.885,2.665,1.0750000000000002,92.22004711425208,84.58472538860103,5.969475680802059,93.88886287625418,8.333736163654198,2.550044208664898,2.9824353628023355,9.229284649776451,7.266509398312678,90.23121179303575,4.236507381507382,3.8339850840897647,-60.66864638803361,0.2693489940818377,0.1313732874850869,-21.60780304415107,1672.794081927184,64.0,7.0,0.7726383900943743,-0.0129171924252967
0.03,0.0,0.87,0.9,0.89,0.2653020165064658,0.1406652531188512,0.463116389682374,0.5589261425401262,0.254961020210471,0.458699825624451,0.8197558832845683,0.4839040226718338,0.2620000449754922,0.2620000077444805,0.2620003739322247,0.2620011935856925,0.563572579198141,0.5746685422394764,0.7177053811853953,0.6186488342076709,2320.0,87.27161853448276,5.683928571428571,1704.0,85.6675469483568,5.117037037037036,3922.0,93.46530214176438,2.378594080338266,7946.0,88.8014892082013,4.393186562934624,52.68139410910609,21.85656869590832,0.1468502568572594,0.77,0.83,0.84,0.83,0.9,0.89,0.77,0.78,0.89,1.39,1.575,0.95,93.57652532391047,87.74104663212435,5.064571196314862,93.9589966555184,6.562631357713325,2.45754494547598,2.626063386155129,6.667570789865871,5.691307993767009,91.75885620385108,3.843721833721834,3.382726509315324,-58.81814143078668,0.0253724278630304,0.1313732874850869,-36.99852156196346,1967.4025723703055,74.0,19.0,0.7597670385992827,-0.0188057706549544
0.03,0.0,0.87,0.9,0.89,0.2474081189630431,0.1396040045244812,0.4692392890943428,0.5621582302043425,0.2291151059052818,0.4597128239202113,0.8054291922929918,0.4768300139534863,0.2620000364201004,0.2620000075934153,0.2620004000781358,0.262001248269756,0.5612688672726426,0.570438834970036,0.7138308748878077,0.6151795257101621,2515.0,86.67685685884692,5.735763546798029,1685.0,85.14434124629082,5.080185185185186,4055.0,93.01672133168928,2.375324675324676,8255.0,88.27930647894233,4.397091135769297,52.62696953666334,21.85656869590832,0.1471094414509721,0.77,0.83,0.83,0.83,0.89,0.89,0.76,0.78,0.89,1.41,1.59,0.965,93.46640753828034,87.84359585492227,5.011387345888092,93.88364548494984,6.560046237915091,2.475788387857353,2.66256046705588,6.697701192250372,5.721423450562795,91.73121629271748,3.906522921522922,3.3832454002671084,-45.24696416550228,0.0254235982950033,0.1313732874850869,-24.578627476092265,2033.480419813036,76.0,16.0,0.7411178937538374,-0.0120869752354694
0.03,0.0,0.87,0.9,0.89,0.2485113420947388,0.1399182052205062,0.4540511502199537,0.5535843544963958,0.3057742270363084,0.4547782499348133,0.8051309928587955,0.5060457115830939,0.2620000369058726,0.2620000076379398,0.2620003386647239,0.2620011096621183,0.5637787046302825,0.5728618184335175,0.7171732360654501,0.6179379197097501,2342.0,87.50389624252776,5.759815668202765,1738.0,85.07567031070197,5.82996632996633,3949.0,93.17692707014434,2.386511627906977,8029.0,88.58549787445803,4.658764542025357,52.62530132858132,21.85656869590832,0.1471173961235293,0.77,0.83,0.84,0.83,0.9,0.89,0.77,0.78,0.89,1.395,1.575,0.955,93.47085983510011,87.71325388601038,5.077834981709795,93.93080267558528,6.574401008827238,2.459342764515178,2.6549791492910755,6.706825633383011,5.714635764963634,91.70497213223192,3.862680652680652,3.397385631838683,-56.30443750058669,0.0254251691811634,0.1313732874850869,-35.316187514376566,1944.83531775866,75.0,17.0,0.7512475561763262,-0.0181589603972623
0.03,0.0,0.86,0.89,0.88,0.234055628791907,0.1358506315615393,0.458752635279579,0.5533492546562669,0.2342483850551045,0.4190641168856865,0.7982053379488994,0.4530550461573887,0.2620000309354399,0.2620000070744454,0.2620003564687911,0.2620011061417057,0.5545417282609952,0.5607288655487285,0.7120256282259176,0.6090987406785472,2361.0,86.92883312155865,5.91889400921659,1667.0,84.34370425914818,6.085016835016835,3993.0,92.90550212872526,2.418552971576227,8021.0,88.05934650314403,4.807487938603217,52.52796314810421,21.85656869590832,0.1475825977229466,0.76,0.82,0.83,0.82,0.89,0.89,0.75,0.77,0.89,1.4249999999999998,1.62,0.96,93.329246171967,87.52830051813471,5.115966671182767,93.8244258639911,6.693334033907805,2.4804966106690247,2.6903502919099247,6.8592771982116245,5.82520866504473,91.56065751803094,3.923014763014762,3.428937857920572,-52.32026354034457,0.025517079219151,0.1313732874850869,-33.70206848901137,1930.5994815371257,75.0,21.0,0.7902873242121754,-0.0174567893606695
0.01,0.0,0.87,0.89,0.88,0.2564023881462963,0.1201675863314899,0.4687995996206631,0.5533818603719837,0.2471787979551295,0.4416705156650274,0.8156120276197082,0.4733592943451523,0.2620000405358099,0.2620000051511417,0.2620003981333698,0.2620011066291099,0.5583919320688928,0.5652532420169419,0.7145911377839285,0.612745437289921,2464.0,86.65046063311688,5.832476190476191,1656.0,84.83746376811594,5.218846153846155,4033.0,92.9088532110092,2.4001060445387066,8153.0,88.13225920408065,4.483809462953684,52.683425494815936,21.85656869590832,0.1468405953495767,0.77,0.83,0.83,0.83,0.9,0.89,0.76,0.77,0.89,1.42,1.615,0.96,93.4571378091873,87.74002072538859,5.0776453055141575,93.88078037904124,6.637480734202045,2.4733200707338634,2.672518765638032,6.807969448584204,5.782593728372418,91.69264630453904,3.9023310023310014,3.4078280472953506,-49.7558531376186,0.0253705209030451,0.1313732874850869,-29.399012981197306,2052.3864933742634,73.0,12.0,0.7092316581395484,-0.0143243063994556
0.01,0.0,0.86,0.89,0.87,0.25791873114536,0.1238494990583478,0.4741203111881859,0.5567955892742938,0.2910623135133087,0.3997572197528528,0.8007145123549229,0.4550550839161855,0.2620000412655892,0.2620000055685407,0.2620004224058138,0.2620011591865396,0.5361722693526557,0.5468411790352927,0.7084887278414846,0.5971673920764777,2352.0,86.44203231292516,6.083772819472617,1710.0,84.54630409356724,5.481481481481482,4077.0,92.9032119205298,2.4467750677506777,8139.0,87.96384944234073,4.670676456234926,52.500477396564506,21.85656869590832,0.14771433490301,0.76,0.82,0.83,0.82,0.89,0.89,0.75,0.77,0.89,1.565,1.845,0.975,93.25747938751472,87.341689119171,5.199403874813712,93.70739130434782,6.961107608238756,2.537378426171529,2.700150125104254,7.062280178837556,5.996100772330281,91.4355199370112,3.96491452991453,3.478977475363165,-63.18878663702742,0.0255431216557657,0.1313732874850869,-41.376226795705975,1929.576004949719,73.0,14.0,0.7527879018270598,-0.0214431702558325
0.03,0.0,0.86,0.89,0.88,0.3223311151135528,0.1162092377120021,0.4485468643265891,0.5377824713344909,0.2301060016489202,0.4109686539038952,0.8145846483330538,0.4094515948795325,0.2620000845479517,0.2620000047246364,0.2620003190616312,0.2620009010786355,0.5424373391582669,0.5493919750463133,0.709355778192408,0.6003950307989961,2577.0,85.87679860302678,5.637816764132554,1654.0,84.97117593712214,5.404713804713804,3957.0,92.94805913570887,2.401352813852814,8188.0,87.93201122528593,4.481294460899724,52.49676482119008,21.85656869590832,0.1477321417425373,0.77,0.82,0.83,0.82,0.89,0.89,0.76,0.77,0.89,1.52,1.795,0.97,93.17690223792698,87.59431088082903,5.148414848936458,93.79529542920848,6.854077343421606,2.529325081049219,2.725371142618849,6.994094634873323,5.937639817680801,91.52216951598815,3.964747474747474,3.467703690868176,-62.312707078551966,0.0255466423079315,0.1313732874850869,-42.17647980764457,2029.6197747786812,75.0,14.0,0.7825243676460067,-0.0207804832864538
0.03,0.0,0.86,0.89,0.88,0.3005701696069421,0.1267684123961351,0.4626230624260909,0.5526287967742712,0.2334339537147088,0.400262962439219,0.8098051847543388,0.4234679496059275,0.2620000668350308,0.2620000059139851,0.262000371910729,0.2620010954403399,0.5453511975636813,0.5577637934601223,0.7144116459322434,0.6058422123186823,2493.0,85.89889891696751,5.602057613168725,1647.0,85.53073466909532,5.217725752508361,3993.0,93.16641372401703,2.3854767184035475,8133.0,88.19868243669329,4.401753361360211,52.577786368922446,21.85656869590832,0.1473442217011697,0.77,0.82,0.83,0.82,0.89,0.89,0.76,0.78,0.89,1.5,1.74,0.97,93.39051825677268,87.35118134715024,5.182353339655873,93.87989966555185,6.826898556816589,2.497870615974064,2.668173477898249,6.911095380029807,5.876683034633854,91.54053308982492,3.892055167055167,3.449465811176062,-63.98162881772873,0.0254699728246686,0.1313732874850869,-46.821077043836,2018.5788917437349,74.0,16.0,0.7538462970989265,-0.0231950691822552
0.03,0.0,0.86,0.89,0.88,0.2463417373317686,0.1223007455059708,0.4659347601310027,0.5510967753388615,0.2267674435044424,0.4037508111735822,0.8003360617929088,0.430490344532839,0.2620000359554596,0.262000005390501,0.2620003857202981,0.2620010731120681,0.5391937835729088,0.5494490045648774,0.708617878856896,0.5990868889982274,2322.0,86.23732773471146,6.022510822510822,1691.0,84.77584861028977,5.286538461538462,4029.0,92.888997269794,2.423891352549889,8042.0,87.96739120493174,4.577646878866391,52.50942479677203,21.85656869590832,0.1476714324342492,0.76,0.82,0.83,0.82,0.89,0.89,0.75,0.77,0.89,1.535,1.81,0.985,93.14262661955242,87.2638652849741,5.253590299417423,93.72804905239688,6.951075381813086,2.5321839080459774,2.731509591326105,7.075458271236959,6.001939604111734,91.37818031897446,3.9792851592851592,3.505761266263169,-62.44231265647216,0.0255346397591833,0.1313732874850869,-37.08892028407968,1987.8789225380613,73.0,17.0,0.7647902819393709,-0.0186575348546508
0.03,0.0,0.86,0.89,0.88,0.2700976254310887,0.1155109581047725,0.4526248552957,0.539785114752519,0.2449543741923172,0.3936333614026296,0.8156122015648727,0.440131119409779,0.2620000475303832,0.2620000046517391,0.2620003334603754,0.2620009246471761,0.5439556872695338,0.5501422132765224,0.7118867614807431,0.6019948873422664,2394.0,86.20399122807017,5.952705627705627,1639.0,84.3652989627822,5.545855379188713,3924.0,93.09263379204891,2.4173441734417342,7957.0,87.88730799430043,4.6386350601120245,52.43293650401555,21.85656869590832,0.1480387602038992,0.76,0.82,0.83,0.82,0.89,0.89,0.75,0.77,0.89,1.535,1.835,0.975,93.29067137809189,87.3462487046632,5.2198076141444245,93.84785953177256,6.877462519265799,2.507051282051282,2.705629691409508,7.045111773472429,5.952655559376871,91.49492653817587,3.935392385392385,3.4774961958684045,-55.05811376704412,0.0256072840019952,0.1313732874850869,-30.22948275787951,1997.358131500437,71.0,13.0,0.769026475352273,-0.015134733366605
0.03,0.0,0.81,0.86,0.83,0.3739211679011687,0.0253896399871056,0.3926637928197617,0.4291962124178421,0.6852802938161788,0.556106418878539,0.7502930238536737,0.7060518682904836,0.2620001454219038,0.2620000000279274,0.2620001767703864,0.2620002593999235,0.4585490035346181,0.3922822977590742,0.6853691618300259,0.5120668210412395,3195.0,87.5027261345853,5.987894736842105,312.0,86.61280448717949,4.817272727272728,3693.0,92.04393988627132,2.6128205128205124,7200.0,88.71982350267871,4.472662658978449,14.334337514857086,21.85656869590832,0.6992412223718166,0.7,0.81,0.77,0.8,0.89,0.88,0.75,0.66,0.88,1.99,2.865,1.09,92.1405300353357,83.98493264248704,6.022483403332881,93.66454849498326,8.722558497968333,2.587525788387857,2.9855379482902418,9.64511177347243,7.54755416714433,89.93000372426866,4.27499222999223,3.86518238000366,-52.858408969199104,0.2601510845251986,0.1313732874850869,-17.674130210266185,1700.1322832548735,66.0,8.0,0.73308470046043,-0.0103957382518667
