precision,recall,thresholds
0.22303030303030302,1.0,0.06
0.2235722964763062,1.0,0.07
0.22604422604422605,1.0,0.08
0.22857142857142856,1.0,0.09
0.23757262750161395,1.0,0.1
0.25608907446068196,1.0,0.11
0.2748319641523525,1.0,0.12
0.2929936305732484,1.0,0.13
0.3321201091901729,0.9918478260869565,0.14
0.3551219512195122,0.9891304347826086,0.15
0.3807531380753138,0.9891304347826086,0.16
0.4026548672566372,0.9891304347826086,0.17
0.41647597254004576,0.9891304347826086,0.18
0.4272300469483568,0.9891304347826086,0.19
0.4380264741275572,0.9891304347826086,0.2
0.45037220843672454,0.9864130434782609,0.21
0.46589446589446587,0.9836956521739131,0.22
0.48783783783783785,0.9809782608695652,0.23
0.5034867503486751,0.9809782608695652,0.24
0.5173410404624278,0.9728260869565217,0.25
0.5257731958762887,0.970108695652174,0.26
0.5321375186846039,0.967391304347826,0.27
0.5369532428355958,0.967391304347826,0.28
0.5374045801526718,0.9565217391304348,0.29
0.5376344086021505,0.9510869565217391,0.3
0.5401234567901234,0.9510869565217391,0.31
0.5395348837209303,0.9456521739130435,0.32
0.5403726708074534,0.9456521739130435,0.33
0.5414710485133021,0.9402173913043478,0.34
0.543171114599686,0.9402173913043478,0.35
0.5458860759493671,0.9375,0.36
0.5447284345047924,0.9266304347826086,0.37
0.5473515248796148,0.9266304347826086,0.38
0.5494327390599676,0.9211956521739131,0.39
0.551219512195122,0.9211956521739131,0.4
0.5533661740558292,0.9157608695652174,0.41
0.553156146179402,0.904891304347826,0.42
0.5531197301854974,0.8913043478260869,0.43
0.5496575342465754,0.8722826086956522,0.44
0.5483304042179262,0.8478260869565217,0.45
0.5517857142857143,0.8396739130434783,0.46
0.5541516245487365,0.8342391304347826,0.47
0.5543278084714549,0.8179347826086957,0.48
0.5580524344569289,0.8097826086956522,0.49
0.5584905660377358,0.8043478260869565,0.5
0.5616698292220114,0.8043478260869565,0.51
0.5648854961832062,0.8043478260869565,0.52
0.5615384615384615,0.7934782608695652,0.53
0.563953488372093,0.7907608695652174,0.54
0.566147859922179,0.7907608695652174,0.55
0.571992110453649,0.7880434782608695,0.56
0.578,0.7853260869565217,0.57
0.5826612903225806,0.7853260869565217,0.58
0.5958762886597938,0.7853260869565217,0.59
0.6122881355932204,0.7853260869565217,0.6
0.6255411255411255,0.7853260869565217,0.61
0.6351648351648351,0.7853260869565217,0.62
0.6450892857142857,0.7853260869565217,0.63
0.6568181818181819,0.7853260869565217,0.64
0.6598173515981736,0.7853260869565217,0.65
0.6658986175115207,0.7853260869565217,0.66
0.6705336426914154,0.7853260869565217,0.67
0.6736596736596736,0.7853260869565217,0.69
0.68,0.7853260869565217,0.73
0.6816037735849056,0.7853260869565217,0.76
0.6832151300236406,0.7853260869565217,0.8
0.6876513317191283,0.7717391304347826,0.81
0.6760204081632653,0.720108695652174,0.82
0.6442577030812325,0.625,0.83
0.6151515151515151,0.5516304347826086,0.84
0.6130030959752322,0.5380434782608695,0.85
0.6273885350318471,0.5353260869565217,0.86
0.6,0.39945652173913043,0.87
0.43356643356643354,0.16847826086956522,0.88
0.25757575757575757,0.04619565217391304,0.89
0.07692307692307693,0.002717391304347826,0.9
1.0,0.002717391304347826,0.91
1.0,0.0,1.0
