feature,importance
scaled_RMSD_ratio,833
total_contacts,503
contacts_HL,492
contacts_AH,470
chain_pae_A,453
pdockq_AH,427
interface_plddt_AL,420
del_G_B,417
chain_plddt_A,397
model_avg_RMSD,355
contacts_AL,353
pdockq2_HL,345
avg_model_plddt,336
pdockq_AL,334
interface_plddt_AH,314
pdockq,309
pdockq_HL,300
interface_plddt_HL,291
chain_pae_L,284
interface_pae_HL,271
chain_plddt_L,267
avg_interface_plddt,266
pdockq2_AH,262
avg_internal_pae,261
interface_pae_AH,232
chain_pair_pae_min_HL,228
chain_pae_H,227
pdockq2_AL,224
LIS_HL,223
chain_pair_pae_HL,222
mpdockq_AH,218
chain_plddt_H,206
chain_pair_pae_min_AH,202
scaled_model_RMSD,195
query_avg_RMSD,194
pdockq2,187
chain_pair_pae_min_AL,182
interface_pae_AL,166
avg_interface_pae,156
avg_LIS,143
mpdockq,136
mpdockq_HL,131
chain_pair_pae_AH,131
mpdockq_AL,127
chain_pair_pae_AL,120
avg_pair_pae,116
chain_pair_iptm_AL,109
ipTM,102
ptm_A,96
iptm_A,93
pTM,93
LIS_AL,85
LIS_AH,81
chain_pair_iptm_AH,73
scaled_query_RMSD,66
iptm_L,62
ranking_confidence,54
iptm_H,51
ptm_H,50
chain_pair_iptm_HL,42
ptm_L,25
fraction_disordered,5
has_clash,0
