total_contacts,pTM,chain_pair_pae_min_AH,chain_pair_pae_HL,ranking_confidence,pdockq_AH,pdockq_HL,avg_LIS,pdockq2,interface_pae_AL,chain_pair_pae_AH,interface_plddt_AL,interface_pae_HL,del_G_B,interface_pae_AH,pdockq_AL,contacts_AH,mpdockq_HL,chain_pair_pae_AL,avg_interface_plddt,chain_pair_pae_min_HL,pdockq2_AL,ptm_H,ptm_A,iptm_A,chain_plddt_H,contacts_HL,mpdockq_AH,interface_plddt_HL,chain_pae_H,query_avg_RMSD,scaled_model_RMSD,LIS_HL,iptm_L,scaled_query_RMSD,chain_pair_iptm_AL,chain_pair_pae_min_AL,LIS_AL,mpdockq,chain_pair_iptm_HL,contacts_AL,scaled_RMSD_ratio,chain_pae_A,avg_model_plddt,fraction_disordered,iptm_H,pdockq,ipTM,pdockq2_HL,chain_plddt_L,has_clash,chain_pair_iptm_AH,chain_pae_L,chain_plddt_A,pdockq2_AH,avg_internal_pae,interface_plddt_AH,avg_interface_pae,model_avg_RMSD,ptm_L,avg_pair_pae,mpdockq_AL,LIS_AH
6243.0,0.68,20.46,5.046114864864865,0.58,0.0330233131879574,0.3906861099095424,0.2196869861963541,0.0099398475822604,25.71481481481481,26.90787719298245,65.00828719723182,4.169172525689562,-7.590844848654001,26.69545454545455,0.0187410738614493,1825.0,0.262000173163813,27.175552394499764,69.732282615035,1.065,0.0106583784435601,0.88,0.73,0.08,87.34763440860213,4129.0,0.2620000001085242,82.67820174376364,3.2954341736694674,43.32012777133689,0.040654930940931,0.6590609585890623,0.48,0.0370725090071022,0.08,20.1,0.0,0.2620000001513274,0.87,289.0,0.5239745300586306,4.623583426651735,83.36206571600746,0.01,0.48,0.0358503251315718,0.55,0.3927969582183799,85.75570930232558,0.0,0.09,3.603644553644554,76.98285343709468,0.0099400656617902,3.840887384655252,61.51035890410959,18.85981396198631,41.290461379376914,0.87,19.70984815078236,0.2620000000003599,0.0
7246.0,0.68,20.17,5.110277777777777,0.58,0.0763276626318209,0.406255183376446,0.2179765395894428,0.0102539938856333,27.59230769230769,26.78494736842105,66.45685074626866,4.184555785123967,100.46170619108584,26.440945945945945,0.0201435818877261,2239.0,0.262000203729973,27.11393551446184,71.15590849661116,1.065,0.009959257783285,0.89,0.74,0.08,87.22867741935482,4337.0,0.2620000015752701,80.63029859349781,3.208466386554622,43.32012777133689,0.0383348621162716,0.6539296187683284,0.48,0.0370725090071022,0.08,20.55,0.0,0.2620000018596167,0.87,670.0,0.508698081382759,4.410022396416573,83.00507947982456,0.01,0.48,0.0812275517587657,0.55,0.3751449532599618,85.00215116279071,0.0,0.08,3.7003194103194095,76.78440985732814,0.0101332368168296,3.7729360644302017,66.38057615006699,19.405936474459203,42.572966118464045,0.86,19.66972022022022,0.2620000000026737,0.0
7875.0,0.69,21.9,4.709969969969969,0.59,0.0646239730815739,0.3496861410854444,0.2223837523987559,0.0094186317738174,29.188687782805427,27.9111403508772,62.52928093645485,3.6586046511627903,57.963209998097454,29.307190635451505,0.0229319479276515,2416.0,0.262000112906877,27.98439544807966,67.7407355491542,1.01,0.0095146553823643,0.89,0.74,0.08,87.80344086021506,4861.0,0.2620000009994984,78.27027463484879,2.9749579831932773,43.32012777133689,0.0331946867995183,0.6671512571962678,0.48,0.0370725090071022,0.08,21.45,0.0,0.2620000016128085,0.89,598.0,0.4714050111463758,4.495487122060471,83.09073325027107,0.01,0.48,0.0770013330646113,0.55,0.3127692941332889,85.53996511627906,0.0,0.08,3.484332514332514,75.92879377431908,0.0092269923609709,3.651592539862088,62.42265107615894,20.71816102313991,45.87268409939313,0.87,20.201835256308943,0.2620000000129504,0.0
7196.0,0.69,18.67,5.011103603603603,0.6,0.0286521639600489,0.4160253080925231,0.2197253460369666,0.0107300124858364,25.71514285714285,25.86695614035088,64.14837830241709,3.798861788617886,64.39144610470095,25.85168067226891,0.0533013919604175,1362.0,0.2620002257186152,25.748482693219536,69.47235675940173,1.04,0.0105670506024841,0.89,0.73,0.1,87.69981720430108,4055.0,0.2620000000561139,84.03985203452527,3.1533123249299724,43.32012777133689,0.0436140537263478,0.6591760381109,0.49,0.0370725090071022,0.1,18.0,0.0,0.2620000016290681,0.88,1779.0,0.5422292344093225,4.730649496080627,83.47626598673016,0.01,0.49,0.0772904249192593,0.56,0.4276673307665901,85.69927906976744,0.0,0.1,3.647706797706798,77.02970168612192,0.0106620679143206,3.8438895395724657,60.22883994126284,18.455228439343216,39.80359433901805,0.86,18.87551414572467,0.2620000005734818,0.0
6967.0,0.69,19.955,5.04881006006006,0.58,0.0369467383813185,0.3961874660046874,0.2202792938383564,0.0099235879217454,27.28846153846154,26.899754385964915,61.90710273972602,4.05702479338843,44.49923341908817,26.60910931174089,0.0193500136796572,2085.0,0.2620001833871712,27.28062114746325,68.70988891139838,1.05,0.0,0.88,0.73,0.09,87.62811827956989,4152.0,0.2620000001698161,83.30482538535644,3.2158403361344536,43.32012777133689,0.0308211799569017,0.6608378815150692,0.48,0.0370725090071022,0.09,20.11,0.0,0.2620000002629963,0.88,730.0,0.4523588130976558,4.6915117581187005,83.1245701527522,0.0,0.49,0.0417342847099217,0.56,0.4755794445194415,85.41447674418606,0.0,0.09,3.726330876330876,76.33111543450065,0.0099435607411139,3.8778943235280097,60.9177386091127,19.31819854786362,47.66463289004908,0.86,19.74306186449608,0.2620000000011163,0.0
7923.0,0.7,17.84,5.008355855855856,0.6,0.0533029208190332,0.3852014854844614,0.2197314288511453,0.0103515834548694,25.26,25.615973684210523,66.45642142142142,4.17419191919192,82.11322757935801,26.3233409610984,0.0231178043187183,2371.0,0.2620001635472964,25.25110004741584,70.01856593939144,1.03,0.0099750294738239,0.88,0.72,0.12,87.30248387096773,4553.0,0.262000000573531,80.18922578519658,3.2728571428571422,43.32012777133689,0.0477826365387898,0.6591942865534361,0.49,0.0370725090071022,0.11,17.3,0.0,0.2620000013210019,0.87,999.0,0.5658579783559029,4.853325867861142,83.60116480433338,0.01,0.5,0.0715106011397701,0.57,0.2477501838136811,85.84529069767443,0.0,0.12,3.610745290745291,77.65571984435798,0.0103930610293528,3.912309433821192,63.41005061155631,18.585844293430107,37.94476951888367,0.86,18.625143195827405,0.2620000000138922,0.0
8467.0,0.69,19.7,4.847113363363364,0.59,0.0454630309398537,0.3949561763932897,0.2212522082164806,0.0098527573669255,27.63952991452992,26.715758771929828,62.91760479041916,3.762337662337663,90.65954138684708,26.694755244755243,0.0452530318442124,2337.0,0.2620001810467615,27.010161213845425,68.55780100657438,1.025,0.0096964946115714,0.88,0.73,0.09,87.35691397849463,4460.0,0.2620000003497454,81.3014529147982,3.2338375350140054,43.32012777133689,0.0428818602479921,0.663756624649442,0.48,0.0370725090071022,0.08,19.36,0.0,0.2620000023583387,0.88,1670.0,0.5378336655209076,4.792161254199328,83.19387567871216,0.01,0.48,0.0888908576200162,0.55,0.2632872894243936,86.11074418604652,0.0,0.09,3.38903357903358,76.11396887159532,0.0098687906626533,3.805010789415638,61.45434531450577,19.365540940540946,40.15733566526391,0.87,19.52434444971287,0.2620000003445265,0.0
6923.0,0.68,19.605,5.210698198198198,0.58,0.0649962980986404,0.3959648964058094,0.2167627922856603,0.0104534211727239,26.10606060606061,26.39076315789473,67.08979310344827,4.60077519379845,-20.434219195977107,26.161425061425064,0.0188689761740353,2088.0,0.2620001829618352,26.61872925557136,70.47348209683038,1.07,0.0,0.88,0.74,0.09,86.82096774193549,4400.0,0.2620000010156458,79.90594772727272,3.3919537815126053,43.32012777133689,0.0373928855320892,0.6502883768569809,0.48,0.0370725090071022,0.08,19.355,0.0,0.2620000012489309,0.87,435.0,0.5022343672266069,4.441937290033595,83.0439838581565,0.01,0.48,0.0700539763061152,0.55,0.4431842287260277,85.08248837209302,0.0,0.09,3.658173628173628,77.22849546044098,0.0104241129247144,3.830688233239943,64.42470545977012,18.95608695376137,43.12697223992264,0.86,19.4067302038881,0.262000000000486,0.0
8013.0,0.68,22.65,5.005123873873874,0.58,0.034262001481221,0.3870906058331559,0.2189570263077017,0.0093797028977474,29.037912087912087,28.292285087719296,63.67210731414869,3.949404761904762,75.48343376758862,28.766666666666666,0.049384966125346,2132.0,0.2620001667970674,28.48984826932196,68.42870867399664,1.05,0.0092794446902726,0.88,0.73,0.07,87.29078494623656,4213.0,0.2620000001264167,82.07844647519582,3.3373319327731097,43.32012777133689,0.0364693497195068,0.6568710789231051,0.47,0.0370725090071022,0.07,22.465,0.0,0.2620000020065833,0.87,1668.0,0.4957426757826197,4.7544568868980965,82.85187778705377,0.01,0.47,0.0835956791556415,0.54,0.4566900831932237,85.89429069767442,0.0,0.07,3.4694185094185093,75.37055771725032,0.0093338641385562,3.85373577636324,59.5355722326454,20.58466117216117,43.69056722458031,0.87,20.59575241030504,0.2620000004546014,0.0
8615.0,0.69,18.98,5.03161036036036,0.59,0.0335432406268044,0.4200916916304042,0.2199762054488473,0.0106778466785442,25.76212121212121,25.88578947368421,65.73596009975063,4.252609819121447,196.82708774598308,25.674961597542246,0.0798410645515023,1879.0,0.2620002355923553,25.857045993361783,70.74268857277032,1.0550000000000002,0.0104535759319177,0.88,0.71,0.1,87.4925376344086,4330.0,0.2620000001158708,82.34092147806005,3.251120448179272,43.32012777133689,0.0452576721865186,0.6599286163465419,0.49,0.0370725090071022,0.1,18.635,0.0,0.2620000045679497,0.87,2406.0,0.5518215244721936,4.994042553191489,83.45218017669139,0.0,0.49,0.1147000166904268,0.56,0.4060661574463451,86.0792558139535,0.0,0.1,3.549541359541359,76.78474708171207,0.0105185878889496,3.931568120304041,64.15118414050026,18.56323087626164,39.04054826818516,0.87,18.92481527580212,0.2620000017764791,0.0
7440.0,0.7,18.585,4.735581831831832,0.6,0.0796827237409188,0.3748033830554382,0.2202240010590404,0.0102725787020386,24.65318181818181,25.767372807017544,63.30866228070175,3.842474747474747,14.807517131369991,26.4460358056266,0.0206173874461284,2011.0,0.2620001467642072,25.32281175912756,69.32209215250792,1.06,0.0121684082498271,0.88,0.73,0.11,87.44424731182795,4745.0,0.26200000176712,79.41560273972604,3.177212885154062,43.32012777133689,0.0481417601339209,0.6606720031771212,0.49,0.0370725090071022,0.11,17.31,0.0,0.2620000026017391,0.88,684.0,0.5677890782389903,4.72464725643897,84.19672122310733,0.02,0.5,0.0922943421727778,0.57,0.2354569351736606,86.80616279069768,0.0,0.12,3.267051597051597,78.33975356679636,0.0100945175441211,3.722970579548209,65.24201143709597,18.313897457094388,37.79584682540478,0.87,18.60858879932564,0.2620000000039003,0.0
7169.0,0.69,18.97,4.795390390390391,0.59,0.0285966424746731,0.4047558117891476,0.2185835464083488,0.0102976460795265,26.255384615384614,26.61816228070176,64.4998458802608,4.127439613526571,43.66920272691169,26.853125,0.0556513165392164,878.0,0.2620002005584516,26.54023707918445,69.15783811672863,1.085,0.0103930513456823,0.88,0.72,0.09,87.26231182795699,4604.0,0.2620000000555558,79.98701129452648,3.2851680672268904,43.32012777133689,0.0381857230233256,0.6557506392250465,0.48,0.0370725090071022,0.09,18.41,0.0,0.2620000020154999,0.87,1687.0,0.5076850813285131,4.7327883538633815,83.61401683138034,0.01,0.48,0.0837361539715927,0.55,0.2409632356086844,86.59316279069768,0.0,0.09,3.245102375102374,76.98657587548638,0.0095818068299099,3.754352932064216,62.98665717539863,19.078649742970395,42.65932961935005,0.87,19.317929916758864,0.2620000006517251,0.0
