mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__max_iter,param_model__penalty,param_model__random_state,param_model__solver,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.018822590510050457,0.0009111717283543436,0.003352562586466471,0.00012590372262773458,0.023489575111114738,,2000,l1,42,liblinear,,"{'model__C': 0.023489575111114738, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9630114192081497,0.9630018926162562,0.9536403176402412,0.9598845431548825,0.004415335917553763,12
0.16442076365152994,0.07205181584860858,0.004033406575520833,0.0008243845269646604,0.009442916639617946,,4000,elasticnet,42,saga,0.5,"{'model__C': 0.009442916639617946, 'model__class_weight': None, 'model__l1_ratio': 0.5, 'model__max_iter': 4000, 'model__penalty': 'elasticnet', 'model__random_state': 42, 'model__solver': 'saga'}",0.9624811055927445,0.9612585262997446,0.9533155451401935,0.9590183923442276,0.004063292975435672,13
0.011817296346028646,0.0014580400091027397,0.0031871795654296875,0.00039232123117535886,0.000783351017321294,balanced,2000,l1,42,liblinear,,"{'model__C': 0.000783351017321294, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.0,20
0.1281400521596273,0.06870090902874934,0.0034453868865966797,0.000273007769839508,0.001157504860316001,,4000,l1,42,saga,0.5,"{'model__C': 0.001157504860316001, 'model__class_weight': None, 'model__l1_ratio': 0.5, 'model__max_iter': 4000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'saga'}",0.9530148487812313,0.9511031793412679,0.9428416320136532,0.9489865533787175,0.004414647131918912,19
0.12691585222880045,0.055059496179500934,0.003477970759073893,0.00034457197635960976,0.016664286821402474,balanced,4000,l2,42,saga,0.5,"{'model__C': 0.016664286821402474, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.5, 'model__max_iter': 4000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'saga'}",0.9698864430246293,0.965564545835609,0.9630173275680908,0.9661561054761098,0.0028353299508189207,4
0.30509082476298016,0.14376662902254603,0.006858507792154948,0.002796409297479353,0.05783787202894201,,4000,l2,42,saga,0.5,"{'model__C': 0.05783787202894201, 'model__class_weight': None, 'model__l1_ratio': 0.5, 'model__max_iter': 4000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'saga'}",0.9741098987640835,0.9676572205215491,0.9655836671272918,0.9691169288043081,0.0036306305865623644,2
0.018057505289713543,0.0011424540722632889,0.0034983952840169272,0.000352224019029809,0.004382069131629793,,2000,l1,42,liblinear,,"{'model__C': 0.004382069131629793, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9605503829689941,0.9578130755649269,0.9558404921258589,0.95806798355326,0.0019312347519051564,15
0.014193852742513021,0.000772052085617374,0.0030368963877360025,0.00010974168901491987,0.0037801682565994704,balanced,2000,l2,42,liblinear,,"{'model__C': 0.0037801682565994704, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9626303555324095,0.9597819045562515,0.957254207714302,0.9598888226009876,0.002196104876328858,11
0.08391006787618001,0.03385889834328054,0.0034348169962565103,3.178358029317283e-05,0.003239760260861073,balanced,4000,elasticnet,42,saga,0.5,"{'model__C': 0.003239760260861073, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.5, 'model__max_iter': 4000, 'model__penalty': 'elasticnet', 'model__random_state': 42, 'model__solver': 'saga'}",0.9614014251781473,0.9582449477307657,0.9558277559493863,0.9584913762860997,0.0022821031882267963,14
0.0721577803293864,0.03031737723990092,0.003280798594156901,9.713625342052461e-05,0.0015036153537841166,,4000,elasticnet,42,saga,0.1,"{'model__C': 0.0015036153537841166, 'model__class_weight': None, 'model__l1_ratio': 0.1, 'model__max_iter': 4000, 'model__penalty': 'elasticnet', 'model__random_state': 42, 'model__solver': 'saga'}",0.9605726116834123,0.9569239269881997,0.9546114510962666,0.9573693299226261,0.0024539283766961493,16
