feature,mean_importance,std_importance
chain_pair_iptm_AL,0.0341317295233484,0.014441215577642058
iptm_A,0.030353549901737366,0.013563525227060435
iptm_H,0.027097267542929362,0.014133987222855195
iptm_L,0.022250862856729912,0.011995259837776917
chain_pair_iptm_AH,0.021083876673611397,0.011268105406535488
avg_model_plddt,0.017441759440623386,0.010011356901378022
avg_interface_pae,0.013990351726336208,0.007329418938466293
interface_pae_AH,0.013948649396826676,0.006308468889254355
pdockq2,0.013397323595970607,0.007897751403947297
interface_plddt_AH,0.013340154690231708,0.009112417082693211
chain_pair_pae_min_AH,0.012820458796223745,0.006154506073209002
avg_interface_plddt,0.012633807276631905,0.008687167875395732
query_avg_RMSD,0.011811178096226227,0.01625035369549313
interface_plddt_AL,0.011649128726094055,0.007150742570687031
model_avg_RMSD,0.010489373050780428,0.011731365867190287
interface_plddt_HL,0.010301138545440226,0.010037182349642865
scaled_model_RMSD,0.009866956217954363,0.010780515789973648
chain_pair_pae_min_AL,0.009682173358617242,0.004824560563220612
scaled_query_RMSD,0.008706848291118908,0.0122432411841618
interface_pae_AL,0.008034244731056957,0.005011052200478419
pdockq2_AL,0.007682311636183433,0.004618214765738819
pdockq2_AH,0.007646494003604789,0.005356066211426953
LIS_AL,0.00724387777615628,0.004814884656801989
chain_plddt_A,0.007182268841672461,0.007707186604443438
pdockq_HL,0.00695681703961897,0.004966968414619408
mpdockq,0.006053689458793003,0.007726101487276742
pdockq,0.005878341939978262,0.007428504225112224
ipTM,0.0057027385668000615,0.004356094800304
chain_plddt_H,0.00548360160589933,0.004603216514353133
chain_pair_pae_AH,0.00520086619193683,0.0044406035126907375
mpdockq_HL,0.004797346867100084,0.0034898276965550853
pdockq2_HL,0.004118066541393791,0.003177223331441123
contacts_AL,0.0039584461138909505,0.010320828703804363
ranking_confidence,0.0038097613693555384,0.0025430633291089765
scaled_RMSD_ratio,0.003776354613362873,0.005234272638206208
chain_pae_A,0.003637836107693357,0.004743285534968305
LIS_AH,0.003527439440665197,0.002775178753136473
mpdockq_AH,0.0032773289398985526,0.006335323311310273
avg_pair_pae,0.0031460633185360627,0.0026532097903748846
del_G_B,0.0030316637822663086,0.0034460184240360076
pdockq_AH,0.0030041509284176315,0.007360916915935371
chain_plddt_L,0.0027171599950836277,0.002710289951581982
avg_LIS,0.0025120389225523196,0.0029516784129847407
avg_internal_pae,0.002462069829459254,0.0038985410954738417
ptm_A,0.002317604167888878,0.003791192342006878
total_contacts,0.002155830101493218,0.00424311589610831
chain_pair_pae_AL,0.002093115549194089,0.0019097646787367252
pdockq_AL,0.0020585311864602523,0.0033232826536716267
chain_pae_H,0.0018654930473368202,0.0025493997600951872
chain_pair_pae_HL,0.00182290154104592,0.002404813111904021
LIS_HL,0.0017746550904618732,0.0017552068188545365
pTM,0.0017661986272555186,0.002739995809164741
chain_pair_pae_min_HL,0.0016064981603067913,0.0019424373799478436
interface_pae_HL,0.0015779436560627537,0.0015498816093029648
contacts_HL,0.0015676384500037778,0.002291232259326802
mpdockq_AL,0.0014679498084461686,0.0017305354480701364
ptm_H,0.0014166860747673166,0.0021002537686135594
contacts_AH,0.0012990550842567992,0.0018265753476984384
chain_pae_L,0.0011688422169139209,0.00130996601190848
chain_pair_iptm_HL,0.0007950058287442443,0.0008549448425828265
ptm_L,0.0007654200235929125,0.0008091958308759084
fraction_disordered,0.0005583940009441345,0.0008430788410808123
has_clash,0.0,0.0
