precision,recall,thresholds
0.34545454545454546,1.0,0.42
0.34566403881140084,1.0,0.43
0.3465045592705167,1.0,0.44
0.35098522167487683,1.0,0.45
0.3573667711598746,1.0,0.46
0.37037037037037035,1.0,0.47
0.3920220082530949,1.0,0.48
0.4570970328789094,1.0,0.49
0.5149321266968325,0.9982456140350877,0.5
0.5627490039840638,0.9912280701754386,0.51
0.6215621562156216,0.9912280701754386,0.52
0.6766467065868264,0.9912280701754386,0.53
0.7162849872773537,0.987719298245614,0.54
0.7759336099585062,0.9842105263157894,0.55
0.8157894736842105,0.9789473684210527,0.56
0.8295964125560538,0.9736842105263158,0.57
0.8386605783866058,0.9666666666666667,0.58
0.8443759630200308,0.9614035087719298,0.59
0.8449612403100775,0.956140350877193,0.6
0.8484375,0.9526315789473684,0.61
0.8591772151898734,0.9526315789473684,0.62
0.867741935483871,0.9438596491228071,0.63
0.8786885245901639,0.9403508771929825,0.64
0.8885191347753744,0.9368421052631579,0.65
0.9001721170395869,0.9175438596491228,0.66
0.9121863799283154,0.8929824561403509,0.67
0.9257884972170687,0.875438596491228,0.68
0.9299242424242424,0.8614035087719298,0.69
0.9347408829174664,0.8543859649122807,0.7
0.9375,0.8421052631578947,0.71
0.9377510040160643,0.8192982456140351,0.72
0.949685534591195,0.7947368421052632,0.73
0.9632034632034632,0.7807017543859649,0.74
0.9710467706013363,0.7649122807017544,0.75
0.9862385321100917,0.7543859649122807,0.76
0.9976798143851509,0.7543859649122807,0.78
1.0,0.7526315789473684,0.79
1.0,0.7508771929824561,0.8
1.0,0.7368421052631579,0.81
1.0,0.7315789473684211,0.83
1.0,0.7157894736842105,0.84
1.0,0.6526315789473685,0.85
1.0,0.6140350877192983,0.86
1.0,0.5280701754385965,0.87
1.0,0.47719298245614034,0.88
1.0,0.3894736842105263,0.89
1.0,0.19649122807017544,0.9
1.0,0.005263157894736842,0.91
1.0,0.0,1.0
