fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,del_G_B,plddt_H3,plddt_L3
0.0,0.0,0.34,0.49,0.37,0.0421713048879176,0.0225455672200766,0.4169632778183758,0.4134150746887207,0.0093652189626835,0.0127726304160078,0.5429152217443497,0.0092375054793065,0.0,0.0,0.5759208393693771,0.1919736131231257,1401.0,67.95619914346895,29.530555555555555,719.0,64.24593184979138,29.757114624505927,3635.0,84.73291471801926,3.84436964504284,5755.0,72.31168190375986,21.04401327503477,83.87987811340753,5.708398393574297,87.45418933623503,2.9819115442278856,87.42324723247233,3.002518172377986,30.21342758620689,30.11888703703704,5.522234195402298,86.25243822737163,3.897609370060056,21.95151627288208,56.66576322743673,34.27951945175429,0.2679115875521911,0.0220055762016627,0.0579234718113627,0.07,0.45,0.45,0.81,0.88,0.88,0.07,0.07,0.84,25.8,26.15,1.6,137.7505810613842,79.97571428571428,79.85125
0.0,0.0,0.34,0.49,0.37,0.0561823065256043,0.0686917208617585,0.4415298107472025,0.4917536962062381,0.0095932309870464,0.0094894872160696,0.4835999800092898,0.0095576700908381,0.0,0.0,0.5782477781356576,0.1927492593785525,1846.0,67.40936619718309,29.00610526315789,1105.0,71.10627149321266,29.585798816568047,3824.0,84.24782819037657,3.8567680381633873,6775.0,74.2544886269241,20.816224039296443,83.81129305776365,5.77825702811245,87.49115342763874,2.908920539730135,87.47175891758918,2.9095361716857044,29.75029482758621,29.7978462962963,5.492077745849298,86.25806846766386,3.8655712465094303,21.680072956577263,43.39162392893471,34.27951945175429,0.3842762523368929,0.0369549522936832,0.0579234718113627,0.07,0.46,0.45,0.81,0.88,0.88,0.07,0.07,0.84,24.675,25.225,1.625,65.99438511650624,79.58857142857143,79.19375
0.0,0.0,0.35,0.5,0.38,0.1849565334494075,0.0492097685014518,0.4380146723496222,0.4875921508530919,0.0096182970965439,0.009866240168797,0.5640550856288049,0.0097014393659708,0.0,0.0,0.6177395346245812,0.2059131782081937,3131.0,73.55507824976047,28.61191666666667,858.0,77.10543706293706,28.873214285714287,3695.0,84.85837618403248,3.3789473684210525,7684.0,78.50629716557667,20.288026106934,83.8539745627981,5.980647389558233,87.98956474428728,2.8955397301349324,88.07808118081181,2.8887504326756663,29.16168103448276,29.38321111111111,4.979098818646232,86.6405401626324,3.9216458507896106,21.1746636547467,58.10295753778819,34.27951945175429,0.258201571260793,0.0209529386362551,0.0579234718113627,0.09,0.47,0.47,0.8,0.89,0.88,0.09,0.08,0.86,24.935,25.405,1.27,44.258855119492296,80.28428571428572,80.01875000000001
0.0,0.0,0.34,0.49,0.37,0.0377000979562732,0.0470192340316949,0.4069306556640509,0.4448718261902413,0.0095146302333964,0.0093469128773318,0.5156228346947261,0.0095185959363216,0.0,0.0,0.586152874037057,0.1953842913456856,1626.0,67.62087023370233,29.0719806763285,1265.0,73.99722924901185,29.283045977011493,3667.0,84.33697709299155,3.7164798945286734,6558.0,75.31835885856857,20.69050218262289,83.77385797562269,5.809058634538153,87.70519042437432,2.883230884557721,87.61008610086101,2.9644340602284527,29.575953448275865,29.50742962962963,5.400866060025542,86.36304483361933,3.885574526441442,21.49474971264368,25.88846250147658,34.27951945175429,0.6367998497609717,0.0973113132392994,0.0579234718113627,0.07,0.46,0.46,0.8,0.89,0.88,0.07,0.07,0.84,25.035,25.26,1.54,31.655258338213343,79.55571428571429,78.9075
0.0,0.0,0.35,0.49,0.38,0.187067082662605,0.0387097423014819,0.4314202413735123,0.4761715957884433,0.0096469308640526,0.00987236871767,0.5655994231154395,0.0097032019493911,0.0,0.0,0.6095070942766612,0.2031690314255537,3057.0,73.21612037945698,28.49642857142857,759.0,76.42273386034257,28.83605769230769,3725.0,84.76648187919463,3.449256292906179,7541.0,78.13511203966473,20.260580852214144,83.66854795972442,6.0392,87.950239390642,2.906769115442279,87.98580565805658,2.956793007961232,29.08003965517241,29.34440740740741,5.096974776500639,86.53486433614098,3.9675873744678376,21.173807279693484,57.78476009006675,34.27951945175429,0.2603107610191872,0.0211794320096236,0.0579234718113627,0.09,0.47,0.47,0.8,0.88,0.88,0.09,0.08,0.85,24.67,25.255000000000003,1.315,38.21286366859704,80.23571428571428,79.36
0.0,0.0,0.69,0.76,0.7,0.0391962110291395,0.2577898183486174,0.4950699504876336,0.602319648220798,0.170841946939226,0.1205910100649365,0.7650564419659651,0.1355833476634828,0.174257326387129,0.2065124811185968,0.649853166411092,0.3435409913056059,1459.0,79.12478409869773,8.853478260869565,2115.0,80.77104964539008,8.95470588235294,3613.0,91.65363825076112,2.683504492939666,7187.0,83.84982399828299,6.830562878720723,87.96661897191309,5.31593734939759,92.23660500544068,2.687038980509745,90.29590405904058,2.7278556593977155,12.62975,11.27955,4.564978448275863,90.16637601213148,3.5769439964350167,9.491426149425289,22.294323763579847,34.27951945175429,0.7027508906668707,0.1269131672343232,0.0579234718113627,0.64,0.75,0.75,0.83,0.89,0.88,0.63,0.64,0.86,5.005,5.57,1.1749999999999998,2.398925078834395,90.0942857142857,88.59875
0.0,0.0,0.65,0.73,0.67,0.0369698564853188,0.3277499124770232,0.4820921134541248,0.615156359980585,0.0972879513860071,0.0699833386437757,0.7318867362777506,0.076142225101799,0.1113139221231648,0.1296284020856401,0.6344802333276118,0.2918075191788056,1564.0,77.39261828644501,10.532411067193674,2561.0,81.1372979304959,10.500404312668463,3601.0,90.84269091918912,2.8716891891891896,7726.0,83.12420237871002,7.968168189683776,87.77000529941706,5.365098795180724,91.68514689880304,2.723245877061469,90.1290651906519,2.784415022499134,14.077401724137932,12.73020925925926,4.786466315453385,89.86140579629067,3.6242532315804414,10.53135909961686,22.2550454868494,34.27951945175429,0.7034870673491469,0.1273044641722593,0.0579234718113627,0.59,0.72,0.72,0.82,0.89,0.88,0.58,0.59,0.86,6.199999999999999,6.955,1.25,-5.313341073290076,88.84714285714287,87.88250000000001
0.0,0.0,0.7,0.76,0.71,0.0542771047543459,0.1912096737275002,0.5037048267846507,0.5852651549392067,0.169145746138614,0.1725624093746975,0.7305242656165438,0.1704700469022555,0.1977632153598643,0.2396611188816259,0.6523521206622706,0.3632588183012535,1962.0,77.09722222222223,8.225846153846154,1953.0,80.3526779313876,8.058062709966405,3571.0,91.04220386446372,2.797490820073439,7486.0,82.83070133935786,6.360466561295333,87.95664016958135,5.288769477911647,91.82742110990208,2.752683658170915,90.23325953259533,2.7456905503634474,12.054987931034484,10.653627777777778,4.500682471264368,90.00577360402626,3.595714562148669,9.069766060025543,21.95459044159102,34.27951945175429,0.7091261257616093,0.1303553868726728,0.0579234718113627,0.64,0.75,0.76,0.83,0.89,0.88,0.63,0.66,0.86,4.41,4.88,1.1749999999999998,37.18551338499651,87.76428571428572,88.58500000000001
0.0,0.0,0.67,0.74,0.69,0.0322958253188486,0.0424439110541145,0.4931218588003626,0.5088566508475162,0.1857696286963984,0.089785689787003,0.7571785132619226,0.1627191157147614,0.1749577024184088,0.1851425196297047,0.6367862612885757,0.3322954944455631,1249.0,79.50049639711769,8.835416666666667,775.0,77.13963225806451,8.8,3625.0,91.4687751724138,2.8218228498074454,5649.0,82.702967942532,6.819079838824705,87.89958134605192,5.326261847389558,92.23376496191511,2.6777136431784108,89.58474784747847,2.771313603322949,12.597670689655176,11.536690740740742,4.71672653256705,89.9060313851485,3.591763031296973,9.617029320987657,23.52318080382386,34.27951945175429,0.6798589012603001,0.1154909700328857,0.0579234718113627,0.61,0.74,0.72,0.83,0.89,0.88,0.63,0.59,0.86,4.895,5.77,1.24,-7.512015475830708,90.17571428571428,88.74875
0.0,0.0,0.7,0.77,0.71,0.0361487314614161,0.1166781526580663,0.5007377021497187,0.5601632347912443,0.2154398525291178,0.1948330190703666,0.7801322710033763,0.2082944526419235,0.202170085122566,0.2348930509419508,0.6496700350999556,0.3622443903881575,1441.0,80.39680430256767,8.272685185185185,1571.0,80.21273392743474,8.184135802469136,3522.0,92.07402044293016,2.6092287409360577,6534.0,84.22785289097753,6.355349909530126,88.08334393216747,5.338899598393573,92.54150163220892,2.599100449775112,89.87273062730627,2.901713395638629,12.070853448275862,10.863088888888887,4.60077027458493,90.16585873056088,3.613237814602438,9.178237537249894,22.161193621527563,34.27951945175429,0.7052470672674146,0.1282464313318552,0.0579234718113627,0.66,0.76,0.76,0.83,0.89,0.88,0.65,0.66,0.86,4.68,4.890000000000001,1.145,-16.975732961127733,90.7542857142857,89.4325
0.0,0.0,0.61,0.69,0.63,0.039322841999466,0.3046008357399062,0.472252875376786,0.6038320360528858,0.0550205131960722,0.0309851780807144,0.6839005157105487,0.0353295337038601,0.072009601703032,0.0613065738142632,0.6200162583022366,0.2511108112731772,1597.0,75.93441452723857,12.905952380952382,2490.0,79.22441365461847,13.488624338624335,3677.0,89.41097905901552,3.0725288831835686,7764.0,81.52326908029086,9.82236853425343,87.06524642289348,5.429180722891566,91.03210010881392,2.780434782608696,89.46236162361625,2.8733817930079617,15.965520689655172,14.87821851851852,4.961314655172414,89.18656938510787,3.694332432836074,11.935017954448702,22.210244535486755,34.27951945175429,0.7043270482287561,0.1277528840551095,0.0579234718113627,0.52,0.69,0.67,0.82,0.88,0.88,0.53,0.5,0.85,7.585,9.175,1.315,-9.363150780740511,86.86428571428573,85.78625
0.0,0.0,0.59,0.68,0.61,0.0528789593729262,0.0272284102010617,0.4744931473909266,0.4882490288994617,0.0500023845857947,0.0,0.692853551192654,0.075406800168319,0.0813352287559506,0.069834081977084,0.6147804175118177,0.2553165760816174,1726.0,76.5884067207416,12.5562,709.0,75.19551480959096,13.037066666666666,3662.0,89.68363189513926,3.135530652603824,6097.0,80.48918447515727,9.576265773090162,86.72979862215156,5.563813654618475,91.06026115342765,2.7539580209895056,88.98623616236162,2.9546469366562818,16.021324137931035,15.21682222222222,5.034642401021712,88.92543197931361,3.757472870754754,12.09092958705832,23.87861845689908,34.27951945175429,0.6732957341833841,0.1124621408326334,0.0579234718113627,0.51,0.7,0.66,0.81,0.88,0.87,0.55,0.47,0.85,7.14,8.58,1.36,-12.268268004667108,87.54857142857144,86.2225
0.0,0.0,0.58,0.68,0.6,0.0457826061491331,0.3463592982087855,0.4735335891187744,0.6150202576167754,0.0418862840621155,0.0259914342201708,0.6708159182386049,0.0289997954460859,0.0650452794754265,0.0440230396706634,0.6146972477178676,0.2412551889546525,1810.0,75.13916850828728,13.79490909090909,2961.0,79.28515704154002,14.433333333333335,3677.0,89.27563910796846,3.171588661832564,8448.0,81.23332155259858,10.466610362024996,86.98149443561209,5.373828112449798,90.7486942328618,2.7837856071964016,89.28771217712178,2.8332035306334373,16.93958448275862,15.906629629629627,5.026552522349935,89.00596694853188,3.663605750093213,12.624255544912728,22.23237762742065,34.27951945175429,0.7039120320109957,0.1275310692012461,0.0579234718113627,0.49,0.68,0.65,0.82,0.88,0.88,0.51,0.46,0.85,7.95,9.965,1.34,38.3685698743833,86.16857142857144,85.40625
