feature,importance
query_avg_RMSD,86
model_avg_RMSD,74
chain_pair_pae_min_AH,67
chain_plddt_A,63
interface_plddt_HL,56
scaled_model_RMSD,56
interface_plddt_AH,55
scaled_RMSD_ratio,50
chain_pair_iptm_AL,49
chain_pae_A,48
contacts_AH,48
pdockq,46
pdockq_AL,44
chain_pair_pae_min_AL,40
contacts_AL,38
pdockq2_AH,36
contacts_HL,34
ptm_A,34
interface_plddt_AL,33
chain_pae_H,33
avg_internal_pae,32
pdockq_AH,28
pdockq2,28
total_contacts,24
interface_pae_AH,21
pdockq2_AL,21
chain_plddt_H,21
chain_plddt_L,20
LIS_HL,19
interface_pae_HL,18
iptm_H,18
LIS_AL,17
chain_pair_pae_AH,17
chain_pair_pae_min_HL,16
LIS_AH,16
pdockq2_HL,15
chain_pair_pae_AL,13
iptm_A,13
pdockq_HL,13
avg_pair_pae,12
avg_model_plddt,12
chain_pair_iptm_AH,11
del_G_B,11
avg_interface_plddt,11
chain_pair_pae_HL,8
interface_pae_AL,8
chain_pae_L,8
mpdockq_HL,7
mpdockq_AH,7
iptm_L,7
scaled_query_RMSD,7
ipTM,6
mpdockq,6
mpdockq_AL,5
pTM,5
avg_LIS,5
ptm_H,3
ranking_confidence,3
fraction_disordered,2
avg_interface_pae,2
chain_pair_iptm_HL,1
has_clash,0
ptm_L,0
