model_path,del_G_B
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/8d9z_8d9z/seed-9_sample-1/PDBs/model.pdb,-79.50837093963526
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/8d9z_8d9z/seed-9_sample-2/PDBs/model.pdb,-80.42186331764537
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/8d9z_8d9z/seed-9_sample-3/PDBs/model.pdb,-75.20931410504897
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/8d9z_8d9z/seed-9_sample-4/PDBs/model.pdb,-75.19940759405415
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/8d9z_8d9z/seed-10_sample-0/PDBs/model.pdb,-67.76069959919471
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/8d9z_8d9z/seed-10_sample-1/PDBs/model.pdb,-77.73497621291403
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/8d9z_8d9z/seed-10_sample-2/PDBs/model.pdb,-67.88867798971285
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/8d9z_8d9z/seed-10_sample-3/PDBs/model.pdb,-74.18565731266926
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/8d9z_8d9z/seed-10_sample-4/PDBs/model.pdb,-78.55357339250719
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-1_sample-0/PDBs/model.pdb,100.66859045611375
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-1_sample-1/PDBs/model.pdb,13.510248659381773
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-1_sample-2/PDBs/model.pdb,-30.359937632928336
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-1_sample-3/PDBs/model.pdb,-44.947934372140594
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-1_sample-4/PDBs/model.pdb,51.91091741506199
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-2_sample-0/PDBs/model.pdb,-19.48639844177842
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-2_sample-1/PDBs/model.pdb,-37.08299991057231
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-2_sample-2/PDBs/model.pdb,2.7904628501552224
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-2_sample-3/PDBs/model.pdb,-37.77140281065368
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-2_sample-4/PDBs/model.pdb,1.299474234872548
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-3_sample-0/PDBs/model.pdb,-10.812682478010288
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-3_sample-1/PDBs/model.pdb,-57.51830507366526
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-3_sample-2/PDBs/model.pdb,-53.52554148728552
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-3_sample-3/PDBs/model.pdb,-34.25701483450342
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-3_sample-4/PDBs/model.pdb,-20.84037692850825
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-4_sample-0/PDBs/model.pdb,-52.90300335434529
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-4_sample-1/PDBs/model.pdb,57.45946214820128
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-4_sample-2/PDBs/model.pdb,-42.278746510308736
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-4_sample-3/PDBs/model.pdb,-61.07960910911879
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-4_sample-4/PDBs/model.pdb,-27.831979698781424
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-5_sample-0/PDBs/model.pdb,-58.895331179523055
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-5_sample-1/PDBs/model.pdb,-37.398039235277736
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-5_sample-2/PDBs/model.pdb,6.738895836699953
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-5_sample-3/PDBs/model.pdb,-31.54066157455827
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-5_sample-4/PDBs/model.pdb,-49.96602163019986
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-6_sample-0/PDBs/model.pdb,-38.83280998960879
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-6_sample-1/PDBs/model.pdb,7.884674619841007
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-6_sample-2/PDBs/model.pdb,-36.08577398216846
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-6_sample-3/PDBs/model.pdb,-42.44209114558828
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-6_sample-4/PDBs/model.pdb,-43.183182953920664
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-7_sample-0/PDBs/model.pdb,-47.710328248287794
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-7_sample-1/PDBs/model.pdb,-9.562530870098499
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-7_sample-2/PDBs/model.pdb,36.60284440204936
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-7_sample-3/PDBs/model.pdb,-41.47402954814925
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-7_sample-4/PDBs/model.pdb,-13.292694197921719
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-8_sample-0/PDBs/model.pdb,-33.68195509849431
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-8_sample-1/PDBs/model.pdb,29.782421203466924
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-8_sample-2/PDBs/model.pdb,-30.021837726710316
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-8_sample-3/PDBs/model.pdb,93.77683475940995
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-8_sample-4/PDBs/model.pdb,-44.516795693140125
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-9_sample-0/PDBs/model.pdb,-63.3073442471042
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-9_sample-1/PDBs/model.pdb,-57.526469066737036
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-9_sample-2/PDBs/model.pdb,-38.70258836120854
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-9_sample-3/PDBs/model.pdb,-71.97049124633816
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-9_sample-4/PDBs/model.pdb,-69.84855871024934
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-10_sample-0/PDBs/model.pdb,27.71065791773094
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-10_sample-1/PDBs/model.pdb,-61.814339532345116
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-10_sample-2/PDBs/model.pdb,-6.391214149423604
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-10_sample-3/PDBs/model.pdb,-45.8246465698403
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7yru_7yru/seed-10_sample-4/PDBs/model.pdb,-7.389944826217516
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-1_sample-0/PDBs/model.pdb,-68.054852658904
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-1_sample-1/PDBs/model.pdb,-64.28134100447994
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-1_sample-2/PDBs/model.pdb,-54.49881010970705
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-1_sample-3/PDBs/model.pdb,-55.00466535139799
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-1_sample-4/PDBs/model.pdb,-63.076856830434735
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-2_sample-0/PDBs/model.pdb,-59.894448359476655
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-2_sample-1/PDBs/model.pdb,-49.8452575128739
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-2_sample-2/PDBs/model.pdb,-67.5130825100893
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-2_sample-3/PDBs/model.pdb,-65.71128514968882
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-2_sample-4/PDBs/model.pdb,-52.84250647296449
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-3_sample-0/PDBs/model.pdb,-37.646510306391235
