feature,importance
query_avg_RMSD,79
avg_model_plddt,41
chain_plddt_A,34
chain_pae_A,32
pdockq,29
scaled_model_RMSD,27
chain_pair_iptm_AL,25
interface_pae_AH,23
model_avg_RMSD,22
interface_plddt_HL,22
ipTM,21
contacts_AL,21
mpdockq,20
pTM,20
scaled_RMSD_ratio,19
chain_pair_pae_min_AH,18
ptm_A,18
avg_interface_plddt,16
chain_pae_L,15
contacts_HL,14
chain_pair_pae_HL,14
chain_plddt_H,13
interface_plddt_AH,13
pdockq_AL,12
chain_pair_iptm_AH,12
scaled_query_RMSD,11
mpdockq_HL,11
pdockq2_AH,11
pdockq_AH,11
pdockq2_HL,10
pdockq_HL,10
avg_internal_pae,9
chain_pae_H,9
LIS_AH,9
interface_plddt_AL,9
fraction_disordered,9
ranking_confidence,8
iptm_L,8
avg_pair_pae,7
total_contacts,7
contacts_AH,7
LIS_AL,5
mpdockq_AH,5
chain_pair_pae_AL,5
LIS_HL,5
avg_LIS,4
pdockq2_AL,4
chain_pair_pae_min_AL,4
ptm_H,4
avg_interface_pae,4
chain_pair_pae_AH,3
interface_pae_HL,3
chain_pair_pae_min_HL,3
chain_plddt_L,3
iptm_H,3
iptm_A,2
del_G_B,2
interface_pae_AL,2
pdockq2,1
chain_pair_iptm_HL,1
mpdockq_AL,0
has_clash,0
ptm_L,0
