fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.004777070063694267,0.91
0.0,0.17834394904458598,0.9
0.0,0.3535031847133758,0.89
0.0,0.43312101910828027,0.88
0.0,0.47929936305732485,0.87
0.0,0.5573248407643312,0.86
0.0,0.5923566878980892,0.85
0.0,0.6496815286624203,0.84
0.0,0.6640127388535032,0.83
0.0,0.6687898089171974,0.81
0.0,0.6815286624203821,0.8
0.0,0.6831210191082803,0.79
0.0009784735812133072,0.6847133757961783,0.78
0.0029354207436399216,0.6894904458598726,0.76
0.007827788649706457,0.7022292993630573,0.75
0.011741682974559686,0.7165605095541401,0.74
0.01761252446183953,0.7308917197452229,0.73
0.02446183953033268,0.7531847133757962,0.72
0.025440313111545987,0.7738853503184714,0.71
0.0273972602739726,0.785031847133758,0.7
0.030332681017612523,0.7914012738853503,0.69
0.03228962818003914,0.8057324840764332,0.68
0.0410958904109589,0.821656050955414,0.67
0.04794520547945205,0.8471337579617835,0.66
0.05675146771037182,0.8646496815286624,0.65
0.06360078277886497,0.8678343949044586,0.64
0.07142857142857142,0.8710191082802548,0.63
0.07827788649706457,0.8789808917197452,0.62
0.08610567514677103,0.8789808917197452,0.61
0.08904109589041095,0.8821656050955414,0.6
0.09001956947162426,0.8869426751592356,0.59
0.0949119373776908,0.89171974522293,0.58
0.10273972602739725,0.8980891719745223,0.57
0.11350293542074363,0.9044585987261147,0.56
0.13992172211350293,0.9235668789808917,0.55
0.19373776908023482,0.9363057324840764,0.54
0.2309197651663405,0.9538216560509554,0.53
0.2984344422700587,0.9617834394904459,0.52
0.388454011741683,0.9665605095541401,0.51
0.48043052837573386,0.9777070063694268,0.5
0.6115459882583171,0.9904458598726115,0.49
0.8111545988258317,0.9952229299363057,0.48
0.8923679060665362,0.9984076433121019,0.47
0.9471624266144814,0.9984076433121019,0.46
0.9755381604696673,0.9984076433121019,0.45
0.9960861056751468,0.9984076433121019,0.44
1.0,0.9984076433121019,0.43
1.0,1.0,0.42
