model_name,status,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,best_inner_cv_pr_auc_mean,best_inner_cv_pr_auc_std,default_threshold_mean,default_threshold_std,optimal_threshold_mean,optimal_threshold_std,optimal_f1_mean,optimal_f1_std,threshold_improvement_mean,threshold_improvement_std,threshold_used_mean,threshold_used_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_mcc
rf,completed,0.8602504176288461,0.06819484520368835,0.7575063052962211,0.22160288470735345,0.7164838965570568,0.1722370202255575,0.7297659024969977,0.1859604008838342,0.9225865867413203,0.05294924098207666,0.8567785431125226,0.14609031379167572,0.8171405144110843,0.10911529934797908,0.6410763039169647,0.225101865208467,0.9357213230615773,0.017696506490414085,0.5,0.0,0.3669447109986516,0.25426294086026,0.8091865878962723,0.1553196708646899,0.07942068539927465,0.06346826529494114,0.5,0.0,0.9350728155339806,0.9660107334525939,0.8598726114649682,0.9098567818028643,0.952000593230923,0.9502942222482691,0.920622580242288,0.8629440582015185
xgb,completed,0.8521088566347881,0.06768759886416485,0.7236682841230959,0.20747576588091565,0.7208840297038257,0.19253800912947952,0.718181581087871,0.19442319179904186,0.9269683310966086,0.04866474746706174,0.8504266403258744,0.1584106481228104,0.8094224261258443,0.11513754042369594,0.618568760606718,0.22987463747715664,0.9371880690110933,0.018750012381498312,0.5,0.0,0.5500901937484741,0.3835068941116333,0.823817290033929,0.13108734236537087,0.105635708946058,0.07394233806745755,0.5,0.0,0.9393203883495146,0.9680851063829787,0.8694267515923567,0.9161073825503355,0.9662420382165605,0.9658447740798795,0.9258898463844136,0.8718725338570319
lgb,completed,0.8611808897318504,0.06495746215628127,0.7459023690509194,0.20693265360254862,0.7421735410576846,0.16084866892748365,0.739447884593204,0.1778416645490646,0.921088758538823,0.053577901753263,0.852898686190825,0.14417320322421082,0.8242997191439685,0.10280315743263499,0.6470745376014546,0.21307577459226604,0.9368781990745015,0.020217980004357303,0.5,0.0,0.5560331718881617,0.44984623590511397,0.8093251207616021,0.14836597427263012,0.06987723616839803,0.04163430275456294,0.5,0.0,0.9381067961165048,0.9730215827338129,0.8614649681528662,0.9138513513513513,0.9570422755089296,0.9586767903369927,0.9233795428999625,0.8697432324210708
logistic,completed,0.8833082958489239,0.05224740307586705,0.8079971264312691,0.1596052940198215,0.7173441523574231,0.17847887805232857,0.7584670930926237,0.16803141960722373,0.937116340156372,0.047856311740031195,0.8807991566259954,0.11212761898593572,0.8310833765595648,0.10192501631660582,0.6826495999512272,0.19322352353820213,0.9515389439389335,0.008497619605533335,0.5,0.0,0.38408919105828315,0.19069429692592293,0.828998548091836,0.12025629649756624,0.07053145499921243,0.05133448625739503,0.5,0.0,0.9320388349514563,0.951048951048951,0.8662420382165605,0.9066666666666666,0.9620347820656924,0.9604188354211767,0.9193955289122018,0.855715797388453
