precision,recall,thresholds
0.22303030303030302,1.0,0.0
0.22330097087378642,1.0,10.0
0.2235722964763062,1.0,22.0
0.2237082066869301,1.0,31.0
0.22398052343274497,1.0,38.0
0.22425350396099938,1.0,53.0
0.22439024390243903,1.0,61.0
0.22452715070164733,1.0,62.0
0.22480146609651802,1.0,66.0
0.22493887530562348,1.0,81.0
0.22507645259938838,1.0,91.0
0.22535211267605634,1.0,95.0
0.22562844880441446,1.0,103.0
0.22590546347452425,1.0,105.0
0.22604422604422605,1.0,121.0
0.22646153846153846,1.0,140.0
0.22660098522167488,1.0,147.0
0.22674060382008626,1.0,150.0
0.22688039457459927,1.0,157.0
0.2271604938271605,1.0,170.0
0.22744128553770088,1.0,187.0
0.22772277227722773,1.0,190.0
0.22786377708978328,1.0,195.0
0.22814631122132673,1.0,197.0
0.22842954686530106,1.0,223.0
0.22857142857142856,1.0,235.0
0.22885572139303484,1.0,236.0
0.22899813316739265,1.0,238.0
0.22914072229140722,1.0,241.0
0.2292834890965732,1.0,243.0
0.22942643391521197,1.0,244.0
0.2295695570804741,1.0,246.0
0.22971285892634208,1.0,257.0
0.22985633978763273,1.0,259.0
0.23,1.0,260.0
0.23028785982478098,1.0,262.0
0.23043206011271133,1.0,271.0
0.23072100313479624,1.0,274.0
0.2310106716886378,1.0,275.0
0.23115577889447236,1.0,279.0
0.23144654088050315,1.0,280.0
0.2315921963499056,1.0,284.0
0.23173803526448364,1.0,285.0
0.23203026481715006,1.0,286.0
0.23217665615141955,1.0,288.0
0.23232323232323232,1.0,289.0
0.2324699936828806,1.0,291.0
0.23261694058154236,1.0,292.0
0.232764073371284,1.0,293.0
0.23291139240506328,1.0,294.0
0.2330588980367321,1.0,295.0
0.2332065906210393,1.0,297.0
0.23335447051363348,1.0,299.0
0.233502538071066,1.0,303.0
0.23365079365079366,1.0,304.0
0.2337992376111817,1.0,307.0
0.23394787031150668,1.0,308.0
0.23424570337364736,1.0,313.0
0.23439490445859873,1.0,314.0
0.23454429572976418,1.0,315.0
0.23469387755102042,1.0,316.0
0.23484365028717294,1.0,319.0
0.23514376996805111,1.0,321.0
0.23529411764705882,1.0,323.0
0.235595390524968,1.0,327.0
0.2358974358974359,1.0,336.0
0.23604874919820398,1.0,341.0
0.2362002567394095,1.0,343.0
0.2363519588953115,1.0,347.0
0.2365038560411311,1.0,350.0
0.23665594855305466,1.0,351.0
0.23680823680823682,1.0,355.0
0.2369607211848036,1.0,358.0
0.23726627981947132,1.0,359.0
0.23741935483870968,1.0,361.0
0.23772609819121446,1.0,362.0
0.23787976729153198,1.0,363.0
0.23818770226537217,1.0,369.0
0.23834196891191708,1.0,372.0
0.23849643551523006,1.0,375.0
0.23865110246433205,1.0,376.0
0.23880597014925373,1.0,380.0
0.23896103896103896,1.0,383.0
0.23911630929174787,1.0,388.0
0.23927178153446033,1.0,389.0
0.23942745608327912,1.0,392.0
0.23958333333333334,1.0,394.0
0.23973941368078175,1.0,398.0
0.2402088772845953,1.0,399.0
0.2406801831262263,1.0,403.0
0.24083769633507854,1.0,406.0
0.2409954158480681,1.0,411.0
0.24131147540983608,1.0,418.0
0.24146981627296588,1.0,420.0
0.24162836506894286,1.0,421.0
0.24194608809993426,1.0,423.0
0.24210526315789474,1.0,429.0
0.24226464779460172,1.0,431.0
0.24242424242424243,1.0,432.0
0.24258404746209625,1.0,435.0
0.24274406332453827,1.0,438.0
0.2429042904290429,1.0,441.0
0.2430647291941876,1.0,444.0
0.24322538003965632,1.0,446.0
0.24338624338624337,1.0,448.0
0.24354731965585705,1.0,451.0
0.24370860927152319,1.0,456.0
0.243870112657389,1.0,459.0
0.24435590969455512,1.0,460.0
0.24417831004657353,0.9972826086956522,464.0
0.2436750998668442,0.9945652173913043,466.0
0.24317121918720852,0.9918478260869565,469.0
0.24266666666666667,0.9891304347826086,470.0
0.24232309746328437,0.9864130434782609,471.0
0.24248496993987975,0.9864130434782609,472.0
0.2426470588235294,0.9864130434782609,473.0
0.24280936454849497,0.9864130434782609,476.0
0.24230254350736277,0.9836956521739131,481.0
0.24246483590087073,0.9836956521739131,482.0
0.24279007377598927,0.9836956521739131,483.0
0.24228187919463087,0.9809782608695652,484.0
0.24177300201477503,0.9782608695652174,486.0
0.2414256893073302,0.9755434782608695,487.0
0.24175084175084174,0.9755434782608695,490.0
0.24191374663072776,0.9755434782608695,494.0
0.24207687120701282,0.9755434782608695,496.0
0.24172856178257934,0.9728260869565217,497.0
0.2420554428668019,0.9728260869565217,499.0
0.2422192151556157,0.9728260869565217,501.0
0.24238320920785375,0.9728260869565217,503.0
0.24271186440677966,0.9728260869565217,504.0
0.24287652645861602,0.9728260869565217,505.0
0.24304141208418195,0.9728260869565217,506.0
0.24320652173913043,0.9728260869565217,511.0
0.2423417290673928,0.967391304347826,514.0
0.24250681198910082,0.967391304347826,516.0
0.24283765347885403,0.967391304347826,523.0
0.24300341296928327,0.967391304347826,525.0
0.24316939890710382,0.967391304347826,526.0
0.24265208475734792,0.9646739130434783,527.0
0.2421340629274966,0.9619565217391305,529.0
0.24161533196440793,0.9592391304347826,530.0
0.24244505494505494,0.9592391304347826,532.0
0.24261168384879725,0.9592391304347826,533.0
0.24209078404401652,0.9565217391304348,537.0
0.24225739848589126,0.9565217391304348,538.0
0.24242424242424243,0.9565217391304348,542.0
0.24275862068965517,0.9565217391304348,544.0
0.24292615596963424,0.9565217391304348,545.0
0.2430939226519337,0.9565217391304348,546.0
0.2432619212163096,0.9565217391304348,547.0
0.24343015214384509,0.9565217391304348,549.0
0.24359861591695503,0.9565217391304348,554.0
0.24376731301939059,0.9565217391304348,560.0
0.24393624393624394,0.9565217391304348,562.0
