fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,mpdockq_AH,mpdockq_AL,mpdockq_HL,mpdockq,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_L,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pair_pae_AH,chain_pae_H,chain_pae_L,chain_pair_pae_AL,avg_pair_pae,avg_model_plddt,chain_pair_pae_HL,avg_internal_pae,del_G_B,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
0.0,0.0,0.91,0.93,0.92,0.3005858800511324,0.0987235406902451,0.4762855158446389,0.4502095124267631,0.8823440672641817,0.906043690279493,0.8199819805204301,0.8984946144785094,0.2620000668465176,0.2620000030997975,0.2620004327613242,0.2620003248476586,0.6709447803166569,0.6226805106161598,0.7497094239275045,0.6811115716201072,2563.0,95.05399921966446,2.6591133004926104,1091.0,95.6461503208066,2.6796296296296296,3407.0,96.14741267977692,2.0591666666666666,7061.0,95.615854073416,2.465969865596302,8.55710814595678,13.251296456683203,0.7057157060781515,0.85,0.89,0.88,0.86,0.92,0.91,0.86,0.84,0.92,1.135,1.115,0.86,93.97517730496452,91.30837451235372,3.270383838383838,95.29407244785948,4.995871794871794,2.1768788682581786,2.526580483736447,5.680604545454545,4.706348109298109,93.52587475505923,3.442567987567988,2.6579477301261547,-68.054852658904,0.4966519819583194,0.2915106555971976,-33.822349126502786,1588.578897010031,56.0,12.0,0.7713365070964434,-0.0212909470157019
0.0,0.0,0.91,0.93,0.91,0.2967070460676343,0.0916495131631059,0.5141524105025799,0.4430596964405531,0.8654121477508464,0.8922388854782669,0.8022730897625047,0.8837806519028385,0.2620000640627503,0.2620000025545648,0.2620006715296025,0.2620003007552764,0.6503917198655338,0.6068165201130671,0.7442105872070156,0.6671396090618722,2629.0,94.49169265880565,2.9165948275862075,1120.0,95.06228571428572,2.869753086419753,3498.0,95.89824042309893,2.433205128205128,7247.0,95.15073959873008,2.7398510140703625,8.306116533348549,13.251296456683203,0.7179279004950371,0.84,0.88,0.87,0.85,0.92,0.9,0.86,0.83,0.91,1.205,1.215,0.885,94.177304964539,91.2487256176853,3.2694949494949497,95.1421185510428,5.139803418803419,2.2190981432360743,2.5519015846538786,5.777195454545454,4.803212263662264,93.52271637775571,3.4926379176379174,2.6801648924616344,-64.28134100447994,0.5115349471525822,0.2915106555971976,-27.38944942687476,1665.9899119597744,57.0,8.0,0.7814950651173755,-0.0164403453047656
0.0,0.0,0.89,0.92,0.89,0.2970799725819253,0.0940583721405847,0.5188488028874272,0.4411986311414592,0.8113201563364036,0.8392288543332075,0.8014370918933558,0.8366712936985489,0.2620000643258851,0.2620000027333528,0.2620007109234881,0.2620002948099408,0.5999966649499688,0.5515560401901936,0.7249591059856204,0.6255039370419275,2668.0,93.73872188905548,3.397586206896552,1101.0,94.53576748410536,3.437962962962964,3593.0,95.31970080712496,2.5421153846153843,7362.0,94.53139672676194,3.125888184824966,8.440679377799498,13.251296456683203,0.7113737140508815,0.81,0.87,0.85,0.84,0.91,0.89,0.83,0.79,0.9,1.445,1.56,0.925,93.7183924349882,90.52897269180754,3.483949494949496,94.95255762897914,5.733260683760683,2.287267904509284,2.746788990825688,6.531536363636363,5.333985703185703,93.06664091859165,3.7371600621600622,2.839335463428156,-54.49881010970705,0.5035016243160269,0.2915106555971976,-26.56080788864199,1657.729741788238,57.0,16.0,0.7963049849326244,-0.0160223993206456
0.0,0.0,0.89,0.92,0.9,0.2891098192320715,0.0897654995654038,0.4934977984895076,0.4347060680896215,0.8267986062165945,0.8557895577728277,0.7966900979913817,0.8501664503290031,0.2620000589031723,0.2620000024195773,0.2620005263075218,0.2620002750488054,0.6144794281680666,0.5666431765035633,0.7283125370693742,0.6364783805803347,2588.0,94.1181684698609,3.2449507389162564,1091.0,94.57084326306142,3.2830246913580243,3434.0,95.62816977285964,2.489294871794872,7113.0,94.77239383526064,3.0057567673563845,8.292069937227225,13.251296456683203,0.7186129009116776,0.82,0.87,0.85,0.84,0.91,0.89,0.84,0.8,0.91,1.375,1.44,0.915,93.80304964539008,90.57882964889468,3.5176262626262624,95.07638858397368,5.603957264957265,2.261472148541114,2.736672226855713,6.404372727272728,5.232515073815073,93.15275595941948,3.689215229215229,2.8385902126743634,-55.00466535139799,0.512380736061551,0.2915106555971976,-30.48867321208548,1603.3854481399471,58.0,8.0,0.7534078812560474,-0.0190151864278515
0.0,0.0,0.9,0.92,0.9,0.2790785382590229,0.0901388540619216,0.4948267970116918,0.4283693558055154,0.8370486781245555,0.8705435346004964,0.811980676899859,0.8666074930408144,0.2620000526439963,0.2620000024459929,0.2620005344572746,0.2620002571352748,0.6247803793669702,0.5791092538681633,0.7337872222283153,0.6458922851544829,2579.0,94.1935381930981,2.8048029556650245,1082.0,94.84355822550832,2.513071895424837,3447.0,95.74716565129096,2.2226875,7108.0,94.92808735663247,2.5135207836966207,8.915721635529547,13.251296456683203,0.6883804041643594,0.82,0.87,0.86,0.85,0.91,0.9,0.84,0.81,0.91,1.315,1.345,0.905,93.98730496453902,91.0610013003901,3.339909090909091,95.2126234906696,5.375004273504274,2.2199528440907748,2.6821184320266886,6.131272727272727,5.041087412587412,93.4203099185329,3.616985236985237,2.747326789008852,-63.076856830434735,0.4761431136183097,0.2915106555971976,-28.919857136579253,1595.9512918827577,57.0,16.0,0.7124798060140457,-0.0181207642637152
0.0,0.0,0.91,0.93,0.91,0.2652681304566617,0.0796581242585185,0.4937490049243285,0.4099055645102296,0.8220852955449511,0.9045180145880282,0.8370266247754389,0.8707097195035084,0.2620000449578555,0.2620000017656685,0.262000527836804,0.2620002116712807,0.6566353102006659,0.6114284921383811,0.7482017367058418,0.672088513014963,2486.0,94.40861423974256,2.6925,1071.0,94.37706349206348,2.7919753086419754,3454.0,95.99967429067748,1.995660749506904,7011.0,94.92845067416118,2.4933786860496263,8.628413468701462,13.251296456683203,0.7022571574575662,0.84,0.88,0.86,0.85,0.92,0.9,0.85,0.82,0.91,1.135,1.175,0.885,94.54570921985815,91.1224967490247,3.4365858585858584,95.57064763995608,5.021897435897436,2.1152740937223697,2.545162635529608,5.757677272727272,4.739930756280756,93.74628453627965,3.44021756021756,2.6990075292792786,-59.894448359476655,0.4925033190222469,0.2915106555971976,-30.006279104285795,1617.2008073951083,55.0,14.0,0.7287388848030082,-0.0185544546892838
0.0,0.0,0.9,0.92,0.9,0.2859592146028231,0.0880909875630983,0.5023394040878195,0.4319475003657945,0.8170245140298721,0.8828545491953566,0.8077786839647904,0.8544922894989815,0.2620000568718266,0.2620000023031218,0.2620005834057393,0.2620002670907286,0.6313364124900352,0.5810087240317128,0.73283956646084,0.6483949009941959,2658.0,93.89640895410083,2.981379310344827,1114.0,93.95214093357272,3.010185185185185,3509.0,95.74495867768591,2.4563125,7281.0,94.53116952178648,2.815958998510004,8.379744985816245,13.251296456683203,0.7143398111111564,0.82,0.87,0.85,0.84,0.91,0.9,0.84,0.8,0.91,1.225,1.29,0.91,94.07783687943262,90.72685305591678,3.524111111111111,95.21892425905598,5.331324786324786,2.225685234305924,2.6792910758965807,6.126122727272728,5.030805477855478,93.34120473146844,3.63496891996892,2.809695807104539,-49.8452575128739,0.5071238582757285,0.2915106555971976,-26.624381641151444,1692.6242181216255,56.0,12.0,0.7786547407263215,-0.0157296471101527
0.0,0.0,0.9,0.92,0.9,0.2993797170532433,0.098801171444363,0.4961388772040049,0.4505244967862752,0.8221432890022338,0.8829022034762022,0.803802194439381,0.8565712217572952,0.2620000659696769,0.2620000031061244,0.2620005426482779,0.262000325956785,0.634725056579398,0.5847578342355679,0.7352970188205701,0.6515933032118454,2631.0,94.0775788673508,2.95483870967742,1144.0,94.05572552447552,3.052469135802469,3484.0,95.82213117106774,2.438076923076923,7259.0,94.65181185429805,2.815128256185604,8.356887302453101,13.251296456683203,0.7154532584132729,0.82,0.87,0.86,0.84,0.91,0.9,0.84,0.8,0.91,1.24,1.315,0.905,94.16901891252954,90.46167750325095,3.650858585858586,95.27587266739847,5.3756068376068376,2.211435307987032,2.658974145120934,6.165804545454546,5.047550233100233,93.302189694393,3.601239316239316,2.840422679655517,-67.5130825100893,0.508489253114958,0.2915106555971976,-28.194510531046205,1682.031008161306,58.0,10.0,0.7473624575314859,-0.0167621823820398
0.0,0.0,0.91,0.93,0.92,0.2835876713635174,0.1018663605488576,0.4685679961794914,0.4432758615638814,0.8549516271601248,0.9095111139899408,0.8373208076104663,0.8883679588853407,0.2620000553829124,0.2620000033620421,0.2620003971132754,0.2620003014542752,0.6683372410693511,0.6176648264479072,0.752014619706812,0.6793388957413568,2564.0,94.84321567862716,2.6357142857142857,1130.0,94.7144115044248,2.7021604938271606,3477.0,96.02354184641932,2.0341681574239714,7171.0,95.19372300982376,2.457347645655139,8.643581289239012,13.251296456683203,0.7015221588662404,0.85,0.89,0.87,0.85,0.92,0.91,0.86,0.83,0.92,1.085,1.135,0.855,94.06540189125296,91.20318595578674,3.343454545454545,95.4586717892426,4.931735042735043,2.0926613616268788,2.498490408673895,5.681940909090909,4.66385934990935,93.57575321209409,3.3779020979020977,2.64486877191844,-65.71128514968882,0.4916253660125467,0.2915106555971976,-34.05932258880671,1627.065873748515,58.0,10.0,0.7265445791791043,-0.0209329709007657
0.0,0.0,0.89,0.92,0.9,0.3165033596087415,0.0870944345979742,0.4997315323709447,0.4525690716549818,0.79502625517865,0.8774074248526149,0.7852371868330045,0.8412599607964097,0.2620000794310086,0.2620000022353724,0.2620005658399655,0.2620003332586359,0.6231927825970784,0.5738593398718754,0.7284445033005409,0.6418322085898316,2729.0,93.53428728471968,3.145258620689656,1116.0,93.60269713261648,3.141358024691358,3521.0,95.4854288554388,2.5138461538461536,7366.0,94.20747109092498,2.9334875997423886,8.28875948872915,13.251296456683203,0.71877436053455,0.81,0.87,0.85,0.84,0.91,0.9,0.83,0.8,0.9,1.26,1.31,0.92,93.92641843971631,90.16733420026009,3.704030303030303,95.0679363336992,5.512358974358974,2.2718464485705865,2.7093160967472896,6.294895454545455,5.165782556332556,93.05389632455854,3.69009324009324,2.8950642827827267,-52.84250647296449,0.5125802668469266,0.2915106555971976,-26.12059489730564,1642.0844319619262,60.0,19.0,0.717216768211223,-0.0159069743241505
