feature,mean_abs_shap
contacts_HL,107.60652318202361
total_contacts,95.4818390464079
contacts_AH,28.729229806378296
chain_plddt_L,22.133411672278672
contacts_AL,19.384739626323675
chain_pair_pae_AH,13.264301222109177
chain_pair_pae_AL,11.393954336161277
plddt_L3,9.39516110173224
interface_plddt_HL,6.610389755550391
chain_plddt_A,6.164095108015411
avg_model_plddt,4.290965052106399
plddt_H3,3.73749816777989
query_avg_RMSD,3.511828100873024
chain_pair_pae_min_AH,3.381538086112087
interface_pae_AL,2.9410217568864145
interface_plddt_AL,2.896849969425272
interface_plddt_AH,2.6654069786298846
chain_pair_pae_min_AL,2.476391082566658
chain_plddt_H,2.3980138118410728
avg_pair_pae,1.728950140360755
interface_pae_AH,1.5481456179786843
avg_interface_plddt,1.5222063364861171
chain_pair_pae_HL,0.9135146960500047
interface_pae_HL,0.7827177102963078
model_avg_RMSD,0.7626683436285292
avg_interface_pae,0.7582107970462255
chain_pae_H,0.516493163683828
chain_pair_iptm_AL,0.4799701692518598
chain_pae_A,0.4232726724388061
chain_pair_iptm_AH,0.381447992189589
LIS_AL,0.338596163007297
LIS_AH,0.30666488385185947
avg_internal_pae,0.24563092972297906
iptm_L,0.24105020417339265
ranking_confidence,0.20202495668381107
del_G_B,0.19415535664561756
chain_pae_L,0.18176425432207197
pdockq2,0.17544733382949487
iptm_A,0.16265509949746132
ipTM,0.13967190658618284
iptm_H,0.136283548798103
LIS_HL,0.1351158163510994
scaled_model_RMSD,0.13481549704117501
scaled_query_RMSD,0.125564919753059
pdockq2_AH,0.11841824634970423
chain_pair_pae_min_HL,0.09420932799402008
pTM,0.09215344441616212
pdockq_HL,0.08549098870418652
pdockq2_AL,0.059936111953065384
ptm_A,0.054836005354496974
pdockq_AH,0.04763078039809987
chain_pair_iptm_HL,0.040544893798093284
pdockq2_HL,0.03798025460210543
pdockq_AL,0.0362557847495846
pdockq,0.03494907439510612
ptm_L,0.028540761386120852
avg_LIS,0.027470083142972668
ptm_H,0.026336799121146198
fraction_disordered,0.026276819308343365
scaled_RMSD_ratio,0.016360127637154366
has_clash,0.0
