model_name,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,best_inner_cv_pr_auc_mean,best_inner_cv_pr_auc_std,default_threshold_mean,default_threshold_std,optimal_threshold_mean,optimal_threshold_std,optimal_f1_mean,optimal_f1_std,threshold_improvement_mean,threshold_improvement_std,threshold_used_mean,threshold_used_std,error
rf,0.8636838940236959,0.07113797763933424,0.7650278985514701,0.2295067393679026,0.7196651899654022,0.17295712465971239,0.7345589422429311,0.1894373792397089,0.9298613332764397,0.05597738176040908,0.8643369509596559,0.14558402377784693,0.8207669054670129,0.11145900142227413,0.6493833073253155,0.23155471519722726,0.8917836608886791,0.034952324542696284,0.5,0.0,0.3680308031843193,0.20729488254395836,0.8272229687622529,0.15026632559290434,0.09266402651932173,0.06824497722557737,0.5,0.0,
xgb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No metrics collected
lgb,0.8594313172928713,0.06915516233552181,0.7446820266075873,0.2151874973450442,0.7295881359149541,0.17597577977349163,0.7314423692090046,0.18804645744303677,0.9223683510912034,0.05769897164057258,0.8434987854402227,0.15482269357595535,0.8191297407202228,0.1105711132609974,0.6397552548157293,0.2259731745804951,0.892691647268643,0.03622874330255734,0.5,0.0,0.4527788633015918,0.42056407024506826,0.8090259540908628,0.14113157435341503,0.07758358488185815,0.05609891898225117,0.5,0.0,
logistic,0.8526736489854857,0.08345967585738695,0.8402220835283716,0.18489470746010658,0.6122676385909939,0.2219990149932907,0.6870462734611424,0.19436323159025864,0.9370821497307688,0.04817854542423635,0.8800040645045192,0.11562068017163456,0.7870462664716747,0.11926028685728703,0.6267170019882367,0.2124656785267787,0.9218738437590789,0.01919081402225854,0.5,0.0,0.33435556867095345,0.1880109919123746,0.826961289190448,0.1301541080376721,0.1399150157293055,0.15313156440956494,,,
