model_name,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,best_inner_cv_roc_auc_mean,best_inner_cv_roc_auc_std
rf,0.8636838940236959,0.07113797763933424,0.7650278985514701,0.2295067393679026,0.7196651899654022,0.17295712465971239,0.7345589422429311,0.1894373792397089,0.9272587919197732,0.054088465419051115,0.8611864263298508,0.1434945727302281,0.8207669054670129,0.11145900142227413,0.6493833073253155,0.23155471519722726,0.9388717051939448,0.019816176102609415
xgb,0.8598086436660421,0.062387806026690834,0.7452616483536534,0.19693057994444252,0.7511990123481656,0.1484810962003256,0.741406820243131,0.16545057878705485,0.9211454764386995,0.05546603581205768,0.8296484809618496,0.17378842735853342,0.8269825902307778,0.094186438600631,0.6498914609200228,0.19659948244834535,0.9372344887503068,0.020390944577965437
lgb,0.8572007021283504,0.06867021431538556,0.7396903471348754,0.2086948457607235,0.7362555696539789,0.1679945171781082,0.7319123370735912,0.18215860612915688,0.9131764018386128,0.06572256492770043,0.8400448409956589,0.15735332076027528,0.8198121013177799,0.1063201702902889,0.6383748571813372,0.2180732377362027,0.9357115965776058,0.02120785988055688
logistic,0.8855972801121572,0.053772106162867116,0.8141378559371241,0.16729445123633385,0.7169607793852177,0.17944768061352345,0.7608134903762375,0.17118116103486225,0.9379407107251387,0.048588385964608446,0.8804262147786215,0.11591316171860441,0.8328476802935109,0.10380516118251394,0.6876361951253013,0.19841057079380495,0.9518454488032063,0.008706639427358307
