precision,recall,thresholds
0.345873786407767,1.0,0.0
0.5301318267419962,0.987719298245614,0.01
0.5892291446673706,0.9789473684210527,0.02
0.6698911729141476,0.9719298245614035,0.03
0.7307692307692307,0.9666666666666667,0.04
0.7452316076294278,0.9596491228070175,0.05
0.774468085106383,0.9578947368421052,0.06
0.8026509572901326,0.956140350877193,0.07
0.8353846153846154,0.9526315789473684,0.08
0.8564668769716088,0.9526315789473684,0.09
0.8697749196141479,0.9491228070175438,0.1
0.8823529411764706,0.9473684210526315,0.11
0.8892561983471075,0.9438596491228071,0.12
0.9026845637583892,0.9438596491228071,0.13
0.9087837837837838,0.9438596491228071,0.14
0.9163822525597269,0.9421052631578948,0.15
0.9193825042881647,0.9403508771929825,0.16
0.9222797927461139,0.9368421052631579,0.17
0.9238754325259516,0.9368421052631579,0.18
0.9270833333333334,0.9368421052631579,0.2
0.9301919720767888,0.9350877192982456,0.21
0.9334500875656743,0.9350877192982456,0.22
0.9349736379613357,0.9333333333333333,0.23
0.9399293286219081,0.9333333333333333,0.24
0.946524064171123,0.9315789473684211,0.26
0.9516129032258065,0.9315789473684211,0.27
0.9584837545126353,0.9315789473684211,0.28
0.9637023593466425,0.9315789473684211,0.29
0.9725274725274725,0.9315789473684211,0.3
0.9779005524861878,0.9315789473684211,0.31
0.9888268156424581,0.9315789473684211,0.32
0.9906716417910447,0.9315789473684211,0.33
0.9906542056074766,0.9298245614035088,0.34
0.9925093632958801,0.9298245614035088,0.38
0.9943714821763602,0.9298245614035088,0.39
0.9943609022556391,0.9280701754385965,0.4
0.9962264150943396,0.9263157894736842,0.41
0.9981060606060606,0.9245614035087719,0.42
1.0,0.9192982456140351,0.43
1.0,0.9175438596491228,0.45
1.0,0.9157894736842105,0.46
1.0,0.9140350877192982,0.48
1.0,0.9070175438596492,0.49
1.0,0.9035087719298246,0.5
1.0,0.9,0.51
1.0,0.887719298245614,0.52
1.0,0.8824561403508772,0.53
1.0,0.868421052631579,0.54
1.0,0.8543859649122807,0.55
1.0,0.8385964912280702,0.56
1.0,0.8245614035087719,0.57
1.0,0.8087719298245614,0.58
1.0,0.7964912280701755,0.59
1.0,0.775438596491228,0.6
1.0,0.7526315789473684,0.61
1.0,0.7280701754385965,0.62
1.0,0.7087719298245614,0.63
1.0,0.6877192982456141,0.64
1.0,0.6842105263157895,0.65
1.0,0.6824561403508772,0.66
1.0,0.6789473684210526,0.67
1.0,0.6754385964912281,0.7
1.0,0.6701754385964912,0.72
1.0,0.6614035087719298,0.74
1.0,0.6578947368421053,0.75
1.0,0.6543859649122807,0.88
1.0,0.6508771929824562,0.9
1.0,0.643859649122807,0.91
1.0,0.6298245614035087,0.92
1.0,0.6052631578947368,0.93
1.0,0.5877192982456141,0.95
1.0,0.5403508771929825,0.96
1.0,0.5298245614035088,0.97
1.0,0.4842105263157895,0.98
1.0,0.4280701754385965,0.99
1.0,0.24035087719298245,1.0
1.0,0.0,1.0
