feature,mean_abs_shap
chain_pair_iptm_AL,0.021997061618691673
iptm_A,0.017626582299305613
iptm_H,0.015584651663569732
iptm_L,0.01457603630126252
avg_model_plddt,0.0141302759226373
chain_pair_pae_min_AH,0.014105982414457324
chain_pair_iptm_AH,0.012707386464573632
avg_interface_pae,0.011117646020182009
interface_plddt_AH,0.010659797844930118
interface_pae_AH,0.009638260199526245
model_avg_RMSD,0.009197551149898505
scaled_model_RMSD,0.008676506646913856
query_avg_RMSD,0.008162252990936278
pdockq2_AH,0.008125348271063326
scaled_query_RMSD,0.007678700750575777
pdockq2,0.007347473665191987
avg_interface_plddt,0.006834752564284517
chain_pair_pae_min_AL,0.006713770390639983
interface_plddt_AL,0.006167837803474335
chain_plddt_A,0.00612264508571941
interface_pae_AL,0.004713161710480029
ipTM,0.004696948763759703
interface_plddt_HL,0.004433016466133183
LIS_AH,0.003840120400120093
chain_pair_pae_AH,0.0034380689031313035
pdockq2_AL,0.003177438602019515
pdockq,0.0031122118146256587
mpdockq,0.003090228696795932
pdockq_HL,0.0027465649274219846
pdockq_AH,0.002623112593661193
chain_plddt_H,0.0024965991732651166
LIS_AL,0.0024507471618251467
avg_pair_pae,0.0023842247333448053
chain_pae_A,0.0023635464121383462
ranking_confidence,0.0022480842455645765
chain_plddt_L,0.002009185837581086
mpdockq_HL,0.0019359933069635995
pdockq2_HL,0.001925720890716724
chain_pair_pae_AL,0.0019055160111341733
contacts_AL,0.001727585885470224
scaled_RMSD_ratio,0.0016763942408442765
ptm_A,0.0016156737960835647
total_contacts,0.0013555544621716006
interface_pae_HL,0.0013184918566916768
avg_LIS,0.0012001382052709792
chain_pair_pae_min_HL,0.001191488953552567
pdockq_AL,0.001179352486295393
chain_pae_L,0.001160806193148224
avg_internal_pae,0.0011377007537253844
contacts_AH,0.0011375245056344289
chain_pair_pae_HL,0.0010660528251271093
del_G_B,0.0009841186799298912
LIS_HL,0.000935147980995648
chain_pae_H,0.0009163353272720015
pTM,0.0008876969812245827
mpdockq_AH,0.0008401933774302053
contacts_HL,0.0007967522033476123
ptm_H,0.0006766651470610127
ptm_L,0.000477952519091536
chain_pair_iptm_HL,0.00047684646576623196
mpdockq_AL,0.00034275978671285446
fraction_disordered,0.00019959943622162367
has_clash,0.0
