,roc_auc,pr_auc
count,5.0,5.0
mean,0.9927768441340431,0.9897123025140786
std,0.004053243512131264,0.004709694856033353
min,0.9881055516265913,0.9846709338595481
25%,0.9888557046385082,0.984903299584158
50%,0.9942527266530333,0.991114367754271
75%,0.9956216920220579,0.9928116738238137
max,0.9970485457300251,0.9950612375486023
