timestamp,cpu_percent,memory_percent,memory_used_gb,memory_available_gb
2025-04-22 16:07:54,19.0,11.0,48.00,448.43
2025-04-22 16:08:04,20.4,11.0,48.02,448.41
2025-04-22 16:08:14,20.5,11.0,48.03,448.40
2025-04-22 16:08:24,20.1,11.0,48.03,448.40
2025-04-22 16:08:34,19.8,11.0,48.04,448.39
2025-04-22 16:08:44,19.0,11.0,48.06,448.38
2025-04-22 16:08:55,18.9,11.0,48.23,448.21
2025-04-22 16:09:05,18.9,11.0,48.23,448.20
2025-04-22 16:09:16,19.3,11.0,48.23,448.20
2025-04-22 16:09:26,19.9,10.3,45.15,451.75
2025-04-22 16:09:36,17.2,9.7,42.36,454.67
2025-04-22 16:09:46,17.2,9.7,42.47,454.57
2025-04-22 16:09:56,17.3,10.1,44.34,452.69
2025-04-22 16:10:06,18.4,9.9,43.35,453.54
2025-04-22 16:10:16,18.4,10.1,43.81,452.82
2025-04-22 16:10:27,19.8,8.9,38.20,458.91
2025-04-22 16:10:37,20.6,9.1,39.30,457.65
2025-04-22 16:10:47,20.8,9.2,39.45,457.51
2025-04-22 16:10:57,20.8,9.2,39.48,457.48
2025-04-22 16:11:07,20.7,9.2,39.52,457.43
2025-04-22 16:11:17,20.8,9.2,39.64,457.33
2025-04-22 16:11:27,20.8,9.2,39.77,457.19
2025-04-22 16:11:37,21.0,9.2,39.89,457.07
2025-04-22 16:11:48,20.8,9.3,40.21,456.75
2025-04-22 16:11:59,20.5,9.3,40.28,456.66
2025-04-22 16:12:09,21.0,9.3,40.32,456.63
2025-04-22 16:12:20,21.2,9.3,40.38,456.56
2025-04-22 16:12:30,21.0,9.3,40.42,456.52
2025-04-22 16:12:40,21.1,9.4,40.47,456.47
2025-04-22 16:12:50,21.3,9.2,39.95,457.02
2025-04-22 16:13:00,21.4,9.2,39.47,457.49
2025-04-22 16:13:10,20.7,9.2,39.68,457.26
2025-04-22 16:13:20,14.8,9.2,39.88,457.06
2025-04-22 16:13:30,14.9,9.3,39.97,456.97
