feature,importance
chain_pair_iptm_AL,0.13182842455616012
iptm_H,0.08913536015288914
iptm_A,0.08827451431622449
chain_pair_iptm_AH,0.05245782881720387
chain_pair_pae_min_AL,0.052130255019284664
interface_plddt_AL,0.040684708199025865
chain_pair_pae_min_AH,0.040203910976967995
avg_interface_pae,0.03688724583376514
ipTM,0.033560864747356145
chain_pair_pae_AH,0.03190451510294328
interface_plddt_AH,0.03164541483606192
pdockq2,0.030842311651425723
LIS_AL,0.02967179585704925
query_avg_RMSD,0.02669991384957634
interface_pae_AH,0.026130554606351813
avg_model_plddt,0.022815581064648295
pdockq_HL,0.019044934622806892
avg_interface_plddt,0.01702077312445783
pdockq2_HL,0.015995799802813793
ranking_confidence,0.015634941152776773
interface_plddt_HL,0.01436447193019402
pdockq2_AL,0.014059764986422115
chain_plddt_H,0.013995525900808773
model_avg_RMSD,0.011129498582212575
mpdockq_AH,0.010996179479205502
scaled_model_RMSD,0.01036490431820688
iptm_L,0.009829233969386777
scaled_query_RMSD,0.007424889286641377
contacts_AL,0.00705494028699833
mpdockq_HL,0.004604088255562659
pdockq,0.0044490951197142005
chain_plddt_A,0.0038521754306790946
pdockq_AL,0.003542998393517468
mpdockq,0.0035410664560444295
LIS_AH,0.0035322117683611745
chain_pae_A,0.00343289402677683
avg_pair_pae,0.0028781962773837457
pdockq2_AH,0.0028614408435768727
mpdockq_AL,0.0025489465229674665
interface_pae_HL,0.0023903469166346517
contacts_HL,0.0021540327274693094
interface_pae_AL,0.002144246053735896
chain_pair_pae_HL,0.0021357057184523123
pTM,0.0020972968288644326
ptm_A,0.0020554773079983495
total_contacts,0.002008285107189212
avg_internal_pae,0.001931602439799246
scaled_RMSD_ratio,0.001821410227016809
chain_pae_L,0.001749936150451793
chain_pair_pae_AL,0.0017108885869877395
LIS_HL,0.0015047094120439804
contacts_AH,0.0013293300223749102
chain_pae_H,0.0011447125668035951
chain_pair_pae_min_HL,0.0011318633286829258
avg_LIS,0.00108682319361556
chain_pair_iptm_HL,0.0010626146801703401
chain_plddt_L,0.0008045907848242381
ptm_L,0.0007582495898853805
pdockq_AH,0.000724366989954992
ptm_H,0.0006906582239666533
del_G_B,0.0004977300239921357
fraction_disordered,3.295299463572802e-05
has_clash,0.0
