feature,importance
fraction_disordered,0.001251961605722581
has_clash,0.0
ipTM,0.013189681014314026
pTM,0.004912236601527414
ranking_confidence,0.006947757320363906
pdockq_AH,0.0037205529815891236
pdockq_AL,0.017070093099110756
pdockq_HL,0.012526315159319255
pdockq,0.01595590637380602
pdockq2_AH,0.01176564597319551
pdockq2_AL,0.011877389112042922
pdockq2_HL,0.0045260171619975606
pdockq2,0.020277836758044857
mpdockq_AH,0.003295007237341802
mpdockq_AL,0.0050867265349233606
mpdockq_HL,0.009101987240209662
mpdockq,0.012866500196435655
LIS_AH,0.028812836628708517
LIS_AL,0.010240038161634596
LIS_HL,0.0035296958542847877
avg_LIS,0.006374581840218458
contacts_AH,0.0048390837112366235
interface_plddt_AH,0.012229637625014382
interface_pae_AH,0.06949655259796728
contacts_AL,0.014436045095788379
interface_plddt_AL,0.0049156426003129396
interface_pae_AL,0.015304079422100691
contacts_HL,0.005085740877846409
interface_plddt_HL,0.016138990336690126
interface_pae_HL,0.002516917463128347
total_contacts,0.003287504059181946
avg_interface_plddt,0.005265869686037599
avg_interface_pae,0.04290205085444878
model_avg_RMSD,0.01726292879028206
query_avg_RMSD,0.008192799208477479
model_rmsd_scale,0.007699041911440822
iptm_A,0.057841419090054115
iptm_H,0.05351940120359609
iptm_L,0.0711071194251974
ptm_A,0.0072919726657893905
ptm_H,0.0013096144563277368
ptm_L,0.0012789321326335027
chain_pair_iptm_AH,0.06901850189708507
chain_pair_iptm_AL,0.07317885345695761
chain_pair_iptm_HL,0.0015688537747497531
chain_pair_pae_min_AH,0.04445267203912583
chain_pair_pae_min_AL,0.039433482565906564
chain_pair_pae_min_HL,0.004800170812577185
chain_plddt_L,0.005374563424491206
chain_plddt_A,0.025832863303985824
chain_pae_A,0.012867383874679207
chain_plddt_H,0.008407299276535224
chain_pair_pae_AH,0.008107575893772128
chain_pae_H,0.0032624683339031713
chain_pae_L,0.005690782546550163
chain_pair_pae_AL,0.007047000165867428
avg_pair_pae,0.007135253776721776
avg_model_plddt,0.024902846951057277
chain_pair_pae_HL,0.003921938516944545
avg_internal_pae,0.006829831599015476
del_G_B,0.022917547721731667
