fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.0017543859649122807,0.91
0.0,0.02280701754385965,0.9
0.0,0.11578947368421053,0.89
0.0,0.25087719298245614,0.88
0.0,0.4298245614035088,0.87
0.0,0.5508771929824562,0.86
0.0,0.5666666666666667,0.85
0.0,0.5789473684210527,0.84
0.0,0.6263157894736842,0.83
0.0,0.6877192982456141,0.82
0.0,0.724561403508772,0.81
0.0,0.7421052631578947,0.8
0.0,0.7456140350877193,0.73
0.000925925925925926,0.7508771929824561,0.69
0.000925925925925926,0.7543859649122807,0.67
0.003703703703703704,0.7543859649122807,0.66
0.007407407407407408,0.7543859649122807,0.65
0.009259259259259259,0.7543859649122807,0.64
0.012962962962962963,0.7614035087719299,0.63
0.01574074074074074,0.7684210526315789,0.62
0.019444444444444445,0.7736842105263158,0.61
0.021296296296296296,0.787719298245614,0.6
0.025,0.8035087719298246,0.59
0.028703703703703703,0.8157894736842105,0.58
0.028703703703703703,0.8228070175438597,0.57
0.028703703703703703,0.8350877192982457,0.56
0.03148148148148148,0.8421052631578947,0.55
0.03148148148148148,0.8456140350877193,0.54
0.032407407407407406,0.8508771929824561,0.53
0.032407407407407406,0.8578947368421053,0.52
0.03518518518518519,0.8578947368421053,0.51
0.037037037037037035,0.8596491228070176,0.5
0.03796296296296296,0.8649122807017544,0.49
0.041666666666666664,0.8736842105263158,0.48
0.046296296296296294,0.8842105263157894,0.47
0.05,0.887719298245614,0.46
0.05555555555555555,0.8929824561403509,0.45
0.06111111111111111,0.9087719298245615,0.44
0.06296296296296296,0.9210526315789473,0.43
0.06666666666666667,0.9298245614035088,0.42
0.06944444444444445,0.9368421052631579,0.41
0.07314814814814814,0.9403508771929825,0.4
0.075,0.9403508771929825,0.39
0.0787037037037037,0.9438596491228071,0.38
0.08148148148148149,0.9438596491228071,0.37
0.08333333333333333,0.9508771929824561,0.36
0.08703703703703704,0.9526315789473684,0.35
0.08888888888888889,0.9526315789473684,0.34
0.09166666666666666,0.956140350877193,0.33
0.09259259259259259,0.956140350877193,0.32
0.09259259259259259,0.9614035087719298,0.31
0.09537037037037037,0.9614035087719298,0.3
0.09722222222222222,0.9649122807017544,0.29
0.10092592592592593,0.9719298245614035,0.28
0.10648148148148148,0.9719298245614035,0.27
0.11388888888888889,0.9754385964912281,0.26
0.125,0.9771929824561404,0.25
0.14537037037037037,0.9824561403508771,0.24
0.16666666666666666,0.9824561403508771,0.23
0.2,0.9842105263157894,0.22
0.22592592592592592,0.9859649122807017,0.21
0.24814814814814815,0.987719298245614,0.2
0.2675925925925926,0.987719298245614,0.19
0.287962962962963,0.987719298245614,0.18
0.31574074074074077,0.987719298245614,0.17
0.36203703703703705,0.9912280701754386,0.16
0.42592592592592593,0.9912280701754386,0.15
0.4935185185185185,0.9929824561403509,0.14
0.6351851851851852,1.0,0.13
0.712037037037037,1.0,0.12
0.8027777777777778,1.0,0.11
0.9064814814814814,1.0,0.1
0.9629629629629629,1.0,0.09
0.9962962962962963,1.0,0.07
1.0,1.0,0.06
