fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.005263157894736842,0.91
0.0,0.19649122807017544,0.9
0.0,0.3894736842105263,0.89
0.0,0.47719298245614034,0.88
0.0,0.5280701754385965,0.87
0.0,0.6140350877192983,0.86
0.0,0.6526315789473685,0.85
0.0,0.7157894736842105,0.84
0.0,0.7315789473684211,0.83
0.0,0.7368421052631579,0.81
0.0,0.7508771929824561,0.8
0.0,0.7526315789473684,0.79
0.000925925925925926,0.7543859649122807,0.78
0.005555555555555556,0.7543859649122807,0.76
0.012037037037037037,0.7649122807017544,0.75
0.01574074074074074,0.7807017543859649,0.74
0.022222222222222223,0.7947368421052632,0.73
0.028703703703703703,0.8192982456140351,0.72
0.02962962962962963,0.8421052631578947,0.71
0.03148148148148148,0.8543859649122807,0.7
0.03425925925925926,0.8614035087719298,0.69
0.037037037037037035,0.875438596491228,0.68
0.04537037037037037,0.8929824561403509,0.67
0.053703703703703705,0.9175438596491228,0.66
0.062037037037037036,0.9368421052631579,0.65
0.06851851851851852,0.9403508771929825,0.64
0.07592592592592592,0.9438596491228071,0.63
0.0824074074074074,0.9526315789473684,0.62
0.08981481481481482,0.9526315789473684,0.61
0.09259259259259259,0.956140350877193,0.6
0.09351851851851851,0.9614035087719298,0.59
0.09814814814814815,0.9666666666666667,0.58
0.10555555555555556,0.9736842105263158,0.57
0.11666666666666667,0.9789473684210527,0.56
0.15,0.9842105263157894,0.55
0.2064814814814815,0.987719298245614,0.54
0.25,0.9912280701754386,0.53
0.31851851851851853,0.9912280701754386,0.52
0.4064814814814815,0.9912280701754386,0.51
0.4962962962962963,0.9982456140350877,0.5
0.6268518518518519,1.0,0.49
0.8185185185185185,1.0,0.48
0.8972222222222223,1.0,0.47
0.9490740740740741,1.0,0.46
0.975925925925926,1.0,0.45
0.9953703703703703,1.0,0.44
0.9990740740740741,1.0,0.43
1.0,1.0,0.42
