model_name,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,best_inner_cv_pr_auc_mean,best_inner_cv_pr_auc_std,default_threshold_mean,default_threshold_std,optimal_threshold_mean,optimal_threshold_std,optimal_f1_mean,optimal_f1_std,threshold_improvement_mean,threshold_improvement_std,threshold_used_mean,threshold_used_std
rf,0.859964294595942,0.06785012737783112,0.754227616771631,0.21808419272419582,0.7186499615390062,0.17403163148990827,0.7295911412999581,0.185779816396639,0.9208258578852904,0.05283171578505635,0.8545131525017313,0.14526477317238648,0.8172756796034808,0.1092526231542433,0.6401343588544646,0.22409080975947832,0.8869889199926316,0.03163353164688447,0.5,0.0,0.3584624749419491,0.22279422806496602,0.80290854581664,0.15128192076004537,0.07331740451668174,0.0640373900649173,0.5,0.0
xgb,0.8553088566347882,0.06620378406254519,0.7281358939518375,0.20680308266671943,0.733066770820577,0.18291419017247065,0.7272816309784954,0.19009078944912786,0.9226904631514925,0.05025090555002725,0.8435360714879883,0.15847308988130232,0.8155137966842199,0.11146359865982393,0.6288034840137646,0.22519534049103757,0.8933450410420715,0.03495147188399557,0.5,0.0,0.5589101910591125,0.3988647758960724,0.8139502621111825,0.12629736145245962,0.08666863113268718,0.06677262857007278,0.5,0.0
lgb,0.857349918537067,0.06437894024351937,0.739026441612058,0.2034312589693257,0.7330364852201212,0.16922576943550036,0.730959522714513,0.17952883882849513,0.9194264958171046,0.05344166101069048,0.8445573438828307,0.14611909962551115,0.8185402730405149,0.1046590620836782,0.6363641881364313,0.21345270294426866,0.8944310805186753,0.03636849352680731,0.5,0.0,0.5532321388982321,0.4546732622544448,0.809072681546958,0.1479304972424117,0.07811315883244503,0.04915846271545288,0.5,0.0
logistic,0.8523875259525815,0.08391994970955739,0.840559086816039,0.1840940217899665,0.6119289899025495,0.22235081469870666,0.6865627384995019,0.19450927952081107,0.9373235060989094,0.04837991775700272,0.8816913644490594,0.11293813565008967,0.7868769421274526,0.11932959336036439,0.6264661427453819,0.21219326189941098,0.9213399760000935,0.01925047721438052,0.5,0.0,0.33977766515355706,0.18814293078649022,0.83167251011744,0.12169276470776388,0.1451097716179382,0.15488144108590954,,
