feature,mean_abs_shap
avg_pair_pae,0.03274153803278161
chain_pair_pae_AL,0.03164016128215354
pdockq2_AL,0.027369916060035557
chain_pair_pae_AH,0.02170679333040042
interface_plddt_AH,0.020735652569538653
iptm_L,0.014108391870776373
model_avg_RMSD,0.01283219172338141
iptm_A,0.012568996840275662
scaled_model_RMSD,0.011068904332858481
ranking_confidence,0.010318313419876315
ipTM,0.010109872045432844
chain_pair_iptm_AL,0.00988745188409931
pdockq_AH,0.00934792921814877
interface_plddt_HL,0.009257349555939737
chain_plddt_L,0.009024995272876016
LIS_AL,0.00842524196888256
scaled_query_RMSD,0.008050620292860532
query_avg_RMSD,0.007183282821547428
ptm_A,0.005863301878101726
chain_pair_pae_min_AL,0.005467196054980085
avg_interface_plddt,0.005406470278212212
contacts_AH,0.005011989488083041
avg_interface_pae,0.004834985359427515
chain_pair_iptm_AH,0.004700232505916811
interface_pae_AL,0.004695076725400328
avg_model_plddt,0.004642760461871593
avg_LIS,0.004545489621736082
iptm_H,0.004503601020825082
pTM,0.004313418480854859
interface_pae_AH,0.004119930281474233
LIS_AH,0.004071700030239639
chain_pair_iptm_HL,0.0036378101602084273
LIS_HL,0.0035875269135039163
plddt_L3,0.0035462596151146467
scaled_RMSD_ratio,0.0034802551833747696
chain_pair_pae_min_AH,0.003306877000753308
interface_pae_HL,0.003195168716658113
chain_pair_pae_min_HL,0.0029317115019531865
chain_plddt_A,0.0028403020041741895
pdockq2_HL,0.0028061253510200264
chain_pae_A,0.002779746709585984
chain_plddt_H,0.0026289457921264553
pdockq2_AH,0.002511312874080547
chain_pae_H,0.002510245758081366
plddt_H3,0.0025093519537662794
pdockq_HL,0.0024919275632105764
chain_pair_pae_HL,0.0021767940460775863
chain_pae_L,0.002018917901848663
total_contacts,0.001974659549419249
pdockq2,0.0016729110634707656
avg_internal_pae,0.0015987067412595894
interface_plddt_AL,0.001415838290048098
contacts_AL,0.0013595520964323309
ptm_L,0.0012921854619846098
pdockq,0.0010554127510189351
del_G_B,0.0009495891189893083
contacts_HL,0.0008630881584731864
ptm_H,0.0008205543766947952
pdockq_AL,0.000732514728119617
fraction_disordered,0.00029342481112138016
has_clash,0.0
