fpr,tpr,thresholds
0.0,0.0,inf
0.000925925925925926,0.0,54.0
0.002777777777777778,0.0,49.0
0.005555555555555556,0.0,48.0
0.006481481481481481,0.0017543859649122807,44.0
0.010185185185185186,0.0017543859649122807,43.0
0.012962962962962963,0.0017543859649122807,41.0
0.014814814814814815,0.0017543859649122807,40.0
0.017592592592592594,0.0017543859649122807,39.0
0.022222222222222223,0.0017543859649122807,38.0
0.025925925925925925,0.0017543859649122807,37.0
0.032407407407407406,0.005263157894736842,36.0
0.041666666666666664,0.005263157894736842,35.0
0.049074074074074076,0.010526315789473684,34.0
0.06111111111111111,0.012280701754385965,33.0
0.075,0.015789473684210527,32.0
0.08611111111111111,0.01929824561403509,31.0
0.10277777777777777,0.02280701754385965,30.0
0.11666666666666667,0.028070175438596492,29.0
0.13148148148148148,0.03859649122807018,28.0
0.14907407407407408,0.042105263157894736,27.0
0.17777777777777778,0.0456140350877193,26.0
0.20555555555555555,0.056140350877192984,25.0
0.23425925925925925,0.06666666666666667,24.0
0.2740740740740741,0.08070175438596491,23.0
0.3138888888888889,0.10175438596491228,22.0
0.3509259259259259,0.12982456140350876,21.0
0.38333333333333336,0.14736842105263157,20.0
0.41574074074074074,0.1736842105263158,19.0
0.4537037037037037,0.21228070175438596,18.0
0.49722222222222223,0.24210526315789474,17.0
0.537962962962963,0.28596491228070176,16.0
0.5879629629629629,0.3350877192982456,15.0
0.6240740740740741,0.39649122807017545,14.0
0.6611111111111111,0.4666666666666667,13.0
0.7055555555555556,0.5368421052631579,12.0
0.7472222222222222,0.6192982456140351,11.0
0.7861111111111111,0.7192982456140351,10.0
0.8212962962962963,0.8052631578947368,9.0
0.85,0.8807017543859649,8.0
0.8833333333333333,0.9421052631578948,7.0
0.9138888888888889,0.9719298245614035,6.0
0.9416666666666667,0.987719298245614,5.0
0.9555555555555556,0.9982456140350877,4.0
0.9787037037037037,0.9982456140350877,3.0
0.9888888888888889,1.0,2.0
0.9981481481481481,1.0,1.0
1.0,1.0,0.0
