model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,best_inner_cv_pr_auc_mean,best_inner_cv_pr_auc_std,default_threshold_mean,default_threshold_std,optimal_threshold_mean,optimal_threshold_std,optimal_f1_mean,optimal_f1_std,threshold_improvement_mean,threshold_improvement_std,threshold_used_mean,threshold_used_std
rf,0.8652480831857832,0.06590176962510469,0.049019607843137254,0.06620369810248679,0.11146752205292702,0.19033575672962122,0.06438304109440313,0.09635706033540337,0.9121026998798973,0.06916625050948906,0.4836626803321809,0.2921218374819955,0.5247570742251004,0.07456290025150467,0.013935487192703194,0.1093664466044413,0.39386754597847856,0.07811847895841119,0.5,0.0,0.1426245236470286,0.10047578574393654,0.6879260205716637,0.22032387114386678,0.6235429794772606,0.3028269672761389,,
xgb,0.8951860139699857,0.042642447894661005,0.1940840003233891,0.18756336425869982,0.2905629510825982,0.31349367536858314,0.22984628897672374,0.23178770173001964,0.9089702938518519,0.06905770810923552,0.5174773285325123,0.24658570571409638,0.6246089890423048,0.14599669958525432,0.19734379348384384,0.23715298862607906,0.41109161269277433,0.07648035363039707,0.5,0.0,0.31571537256240845,0.2597285807132721,0.6201378245839324,0.1435590763552462,0.39029153560720864,0.3321004099820347,,
lgb,0.8961367064526666,0.04890328843979869,0.4340917474510498,0.30105622988804553,0.3874942927207493,0.3476585208186882,0.3372166662489243,0.22815077727480268,0.9051194194117705,0.08477163755747083,0.4714870317154265,0.25874311960847135,0.6698439702599523,0.15771112127945847,0.3291161705408089,0.25862466820203533,0.42190274341655165,0.06160137538206364,0.5,0.0,0.15654944489493455,0.2549874614078809,0.6401600634799746,0.19506427872119356,0.30294339723105035,0.18409842275131838,,
logistic,0.8196043923132608,0.048854218481663464,0.31467146104330224,0.07468501779985064,0.9878260869565217,0.024347826086956518,0.4718363104840143,0.0837511649980853,0.9281061462295653,0.06296788385143952,0.5749689083351918,0.348378236819052,0.8954899982159354,0.03941424140680963,0.4922372702843198,0.06249293604854156,0.5036700789709353,0.09013058345638461,0.5,0.0,0.7008073387720902,0.11661082982013733,0.7248187406504595,0.22654150611614052,0.2529824301664452,0.24630535344170254,0.5,0.0
