model_name,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,best_inner_cv_pr_auc_mean,best_inner_cv_pr_auc_std,default_threshold_mean,default_threshold_std,optimal_threshold_mean,optimal_threshold_std,optimal_f1_mean,optimal_f1_std,threshold_improvement_mean,threshold_improvement_std
rf,0.8771888341543514,0.1013904382389867,0.6816326530612244,0.3663731108151657,0.7049066413777562,0.38029337490160997,0.674979650718491,0.3471163052707109,0.8467675664933351,0.19403064336750261,0.7208200581952771,0.3376971944128105,0.8235920065581114,0.17314850984905683,0.5979349958217393,0.3365013488752766,0.9492969490540565,0.020612938716934717,0.5,0.0,0.5435420926446228,0.3390914917614414,0.799564884803839,0.24326569971556067,0.12458523408534802,0.12285134092337413
xgb,0.8881543513957307,0.06263149199153722,0.7211422427130392,0.2684640724826465,0.7882921123544679,0.2849270808733157,0.7355644059711737,0.25212063198289897,0.8616748243752941,0.1796585603958143,0.7277260089349491,0.33686574000347025,0.8534353969518002,0.13322816366545465,0.6556400219897519,0.2484620306564565,0.9439066948354696,0.02762572445196538,0.5,0.0,0.679884135723114,0.37889784574508667,0.7918798421201062,0.2561663089431375,0.056315436148932564,0.04496556826827451
lgb,0.8941346469622331,0.060424546072796584,0.6616933402168301,0.3684578478742393,0.739943137728121,0.37761268297477485,0.6847338453895832,0.3529687923673227,0.8245523453434398,0.23519857315326176,0.7128068348984108,0.3468188645049308,0.8343941450488075,0.1717430201682502,0.6126241721362747,0.3282099993975015,0.9423791012276765,0.016647794453449598,0.5,0.0,0.5924569778622393,0.4245506726134749,0.7863381598117907,0.2659910510408804,0.10160431442220755,0.09999765200654019
logistic,0.9071362889983579,0.05447623224970019,0.6903713546030771,0.3680509457889154,0.7253685296151619,0.3697816237148888,0.69941917999456,0.356898260966462,0.8282514210842518,0.21049783041659056,0.7668654399455619,0.28016531928318583,0.8383660803883934,0.17287387628632905,0.6295051438249166,0.33368840622866364,0.9563552721334393,0.01745177127730213,0.5,0.0,0.450644645677973,0.2839861501061866,0.8051472335859196,0.2219273152806497,0.10572805359135944,0.14335406214740498
