feature,mean_abs_shap
avg_model_plddt,1.8680497497692323
avg_interface_plddt,0.13920810255260663
scaled_query_RMSD,0.05095847458247293
chain_pair_iptm_AL,0.0452780318645317
iptm_L,0.04011333373558342
chain_pair_iptm_AH,0.022161102242977297
pdockq2,0.013457058264554211
pdockq2_AH,0.012877886801777145
iptm_A,0.012687004540852472
scaled_model_RMSD,0.010142139312582153
mpdockq,0.00806726541855645
mpdockq_HL,0.0038858390130823454
iptm_H,0.0026842951727971834
LIS_AH,0.002184974612090357
pdockq_AH,0.0014454914062087957
pdockq,0.00045814781718416273
chain_pair_pae_min_AL,0.0
chain_plddt_A,0.0
chain_plddt_L,0.0
chain_pair_pae_min_HL,0.0
fraction_disordered,0.0
chain_pair_pae_min_AH,0.0
chain_pair_iptm_HL,0.0
chain_plddt_H,0.0
chain_pae_A,0.0
avg_pair_pae,0.0
chain_pair_pae_AH,0.0
chain_pae_H,0.0
chain_pae_L,0.0
chain_pair_pae_AL,0.0
ptm_H,0.0
chain_pair_pae_HL,0.0
avg_internal_pae,0.0
del_G_B,0.0
dG_separated,0.0
dSASA_int,0.0
nres_int,0.0
delta_unsatHbonds,0.0
packstat,0.0
ptm_L,0.0
query_avg_RMSD,0.0
ptm_A,0.0
scaled_RMSD_ratio,0.0
ipTM,0.0
pTM,0.0
ranking_confidence,0.0
pdockq_AL,0.0
pdockq_HL,0.0
pdockq2_AL,0.0
pdockq2_HL,0.0
mpdockq_AH,0.0
mpdockq_AL,0.0
LIS_AL,0.0
LIS_HL,0.0
avg_LIS,0.0
contacts_AH,0.0
interface_plddt_AH,0.0
interface_pae_AH,0.0
contacts_AL,0.0
interface_plddt_AL,0.0
interface_pae_AL,0.0
contacts_HL,0.0
interface_plddt_HL,0.0
interface_pae_HL,0.0
total_contacts,0.0
avg_interface_pae,0.0
model_avg_RMSD,0.0
has_clash,0.0
dG_dSASA_norm,0.0
