feature,importance
model_avg_RMSD,121
query_avg_RMSD,90
chain_plddt_A,74
model_rmsd_scale,70
interface_plddt_AL,67
chain_pair_iptm_AL,63
pdockq_AH,51
contacts_AH,47
chain_pae_A,46
interface_pae_AH,44
ipTM,41
pdockq_AL,41
pdockq2_AL,41
avg_internal_pae,40
interface_plddt_HL,39
pdockq_HL,39
pTM,33
interface_plddt_AH,32
contacts_HL,31
contacts_AL,30
avg_interface_plddt,28
chain_pair_pae_min_AL,27
total_contacts,27
LIS_AH,26
chain_pae_L,26
avg_model_plddt,25
pdockq,25
del_G_B,24
pdockq2_AH,24
chain_pae_H,23
LIS_HL,22
interface_pae_AL,20
avg_LIS,20
interface_pae_HL,20
pdockq2_HL,19
chain_plddt_L,19
chain_pair_pae_min_AH,19
chain_plddt_H,19
chain_pair_pae_HL,18
chain_pair_pae_AH,17
ptm_A,17
avg_interface_pae,16
mpdockq_HL,14
iptm_A,14
iptm_L,13
chain_pair_pae_AL,12
mpdockq_AH,12
pdockq2,11
mpdockq,10
LIS_AL,9
ranking_confidence,9
chain_pair_iptm_AH,6
chain_pair_pae_min_HL,6
avg_pair_pae,4
ptm_H,3
ptm_L,2
iptm_H,2
chain_pair_iptm_HL,1
mpdockq_AL,1
has_clash,0
fraction_disordered,0
