Metric,rf,logistic
accuracy,0.9654126213592233,0.9241504854368932
precision,1.0,0.9764453961456103
recall,0.9,0.8
f1,0.9473684210526315,0.8794599807135969
roc_auc,0.9807619698597141,0.9797480714773947
balanced_accuracy,0.95,0.8948979591836734
mcc,0.9245548994594845,0.8336395378552014
optimal_f1,0.9776635109471157,0.9699570235009506
optimal_threshold,0.39,0.1921412915212226
pr_ap,0.9610154075169591,0.9173333283342224
