timestamp,cpu_percent,memory_percent,memory_used_gb,memory_available_gb
2025-04-22 17:09:07,9.9,8.0,34.08,463.39
2025-04-22 17:09:20,14.3,8.3,35.67,461.66
2025-04-22 17:09:30,17.2,8.4,36.27,461.04
2025-04-22 17:09:41,19.6,8.5,36.62,460.69
2025-04-22 17:09:51,27.6,8.6,36.94,460.37
2025-04-22 17:10:01,27.4,8.6,37.21,460.11
2025-04-22 17:10:11,27.4,8.7,37.37,459.94
2025-04-22 17:10:22,26.9,8.8,37.81,459.50
2025-04-22 17:10:32,23.9,8.8,38.27,459.06
2025-04-22 17:10:42,23.9,8.9,38.35,458.96
2025-04-22 17:10:54,23.4,8.9,38.40,458.95
2025-04-22 17:11:05,20.5,8.9,38.64,458.69
2025-04-22 17:11:15,20.1,8.9,38.73,458.59
2025-04-22 17:11:25,19.8,8.9,38.73,458.58
2025-04-22 17:11:35,20.1,9.0,39.22,458.11
2025-04-22 17:11:45,20.1,9.0,39.25,458.06
2025-04-22 17:11:55,20.1,9.0,39.25,458.08
2025-04-22 17:12:05,20.4,9.1,39.41,457.93
2025-04-22 17:12:16,19.9,9.1,39.65,457.68
2025-04-22 17:12:26,20.0,9.1,39.71,457.60
2025-04-22 17:12:37,19.6,9.1,39.72,457.62
2025-04-22 17:12:47,20.0,9.1,39.71,457.60
2025-04-22 17:12:57,19.7,9.1,39.72,457.63
2025-04-22 17:13:08,19.8,9.1,39.72,457.61
2025-04-22 17:13:19,19.5,8.9,38.86,458.62
2025-04-22 17:13:31,20.6,9.1,39.37,457.97
2025-04-22 17:13:42,21.1,9.1,39.44,457.90
2025-04-22 17:13:53,17.6,8.9,38.90,458.57
2025-04-22 17:14:05,15.7,8.9,38.90,458.59
2025-04-22 17:14:15,17.6,8.9,38.89,458.58
2025-04-22 17:14:26,17.7,8.8,38.18,459.30
2025-04-22 17:14:38,16.8,8.8,38.12,459.10
2025-04-22 17:14:48,17.3,8.8,38.12,459.10
2025-04-22 17:15:00,11.2,8.8,38.12,459.10
2025-04-22 17:15:11,10.3,8.9,38.29,458.82
2025-04-22 17:15:23,12.2,9.0,38.77,458.16
