,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,mpdockq_AH,mpdockq_AL,mpdockq_HL,mpdockq,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_L,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pair_pae_AH,chain_pae_H,chain_pae_L,chain_pair_pae_AL,avg_pair_pae,avg_model_plddt,chain_pair_pae_HL,avg_internal_pae,del_G_B,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003434561270934037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01771091524842448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22047528281724724,0.0,0.01771091524842448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016168900676023574,0.0,0.0,0.0,0.0651166674099501,0.0,0.0,0.0,0.0,0.14244639742699158,0.0,0.0,0.0,0.0,0.0,0.0
351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065209765089726075,0.0,0.0,0.0,0.0,0.0,-0.004242477630370602,0.0,0.0,0.0,0.0,0.0,0.006520976508972598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21764703194247248,0.0,0.0,0.0,0.013616690943410706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047435406637598175,0.0,0.0,0.0,0.0,0.17148259783536146,0.0,0.0,0.0,5.212594402059789e-06,0.0,0.0
352,0.0,0.0,0.0,0.0,0.010114022405013356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042450636264206865,0.0,0.0110477923158153,0.0,0.0,-3.4591412722162485e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210657136369695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004940602575624185,0.0,0.0,0.06432189112171079,0.0,0.0,0.0,0.0,0.15497707732117696,0.0,0.0,0.0,0.0,0.0,0.0
353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013526467666356975,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032720042706920562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009887391079814678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23096567574205176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009887391079814678,0.0,0.0,0.0,0.0,0.05479988740175198,0.0,0.0,0.0,0.0,0.16314962619395465,0.0,0.0,0.0,0.0,0.0,0.0
354,0.0,0.0,0.0,0.0,0.0,0.009740015900918128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003916321966812149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22484388416458723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007034326356903403,0.0,0.0,0.0630518055919875,0.0,0.0,0.0,0.0,0.15943960464138413,0.0,0.0,0.0,0.0,0.007034326356903385,0.0
355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014637836490613435,0.0,0.0,0.0,0.0,-0.003974535338571718,2.3740327143667583e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007030447354185038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00700670702704138,0.24229781589235697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04742205076888081,0.0,0.0,0.0,0.0,0.15093161796723728,0.0,0.0,0.0,0.0,0.0,0.0
356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00865810696111253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037031847006919936,0.0,0.008658106961112568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008658106961112568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23606917374465394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06159227995732542,0.0,0.0,0.0,0.0,0.1500294995470117,0.0,0.0,0.0,0.0,0.0,0.0
357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015469660021762663,0.0,0.0,0.0,-0.003793322396877463,0.0,0.0,0.0,0.0,0.0,0.0,0.011120884310774626,0.0,0.0,0.0,0.0,0.0,0.008280851193488176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2533992863558579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03580392459399215,0.0,0.0,0.0,0.0,0.1472231217682082,0.0,0.0,0.0,0.0,0.0,0.0
358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.753163133709476e-06,0.0,0.0,0.0,0.0,0.0,-0.0036096602691092308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008463535482489829,0.0,0.0,0.2441282516055779,0.014175027559648501,0.0,0.0,0.001850228286479072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0733038209428801,0.00016432049080873182,0.0,0.0,0.0,0.13372328616412074,0.0,0.0,0.0,0.0,0.0,0.0
359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00627332233747771,0.0,0.0,0.0,-0.004069030880925362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00627332233747771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23452594706634164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05588322613924812,0.00627332233747771,0.0,0.0,0.0,0.15986151890164801,0.0,0.0,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034684986567590226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009148300427697922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2251490753366594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009148300427697894,0.0,0.0,0.04827175192066168,0.0,0.0,0.009148300427697894,0.0,0.17782732248470742,0.0,0.0,0.0,0.0,0.0,0.0
361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004157437528413142,0.0,0.0,0.0,0.004842843416035099,0.0,0.0,0.0,0.0070009885378985075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23036317443291454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004842843416035146,0.05294317779689702,0.0,0.0,0.0,0.0,0.16960650762854498,0.0,0.0,0.0,0.0,0.0,0.0
362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035529807909213487,0.0,0.0,-3.392810858371398e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009124810071668358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688013662735042,0.0,0.0,0.0,8.104072696234661e-05,0.009205850798630668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03698100446568617,0.0,0.0,0.0,0.0,0.15194672409011956,0.0,0.0,0.0,0.0,0.0,0.0
363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038021359264094703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006635183861341616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24508067606277692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006635183861341616,0.0,0.0,0.0,0.0,0.0616371776295555,0.0,0.0,0.0,0.0,0.14071654580940085,0.0,0.0,0.0,0.0,0.014099934957344129,0.0
364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003790673117695653,0.0,0.0,0.0,0.0,0.014794911648896089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014794911648896125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007844543281662564,0.24073539113093045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0518697998155671e-05,0.0,0.0,0.04171247612456783,0.0,0.0,0.0,0.0,0.15243849485549862,0.0,0.0,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0044086096799017165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007655004218784918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23930842989891352,0.0,-0.00011567243849602837,0.008351604798033633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04469443788901129,0.0,0.0,0.0,0.0,0.165855535120857,0.0,0.0,0.0,0.0,0.0,0.0
366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033776358724830202,0.009387859099479081,0.012789671989512622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23693797901619187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05625690481807891,0.0,0.0,0.009387859099479043,0.0,0.15564788638722474,0.0,0.0,0.0,0.0,0.0,0.0
