timestamp,cpu_percent,memory_percent,memory_used_gb,memory_available_gb
2025-04-21 14:58:09,37.5,2.6,9.52,490.69
2025-04-21 14:58:19,41.9,2.6,9.58,490.63
2025-04-21 14:58:29,41.2,2.6,9.60,490.61
2025-04-21 14:58:39,40.3,2.6,9.60,490.61
2025-04-21 14:58:49,39.4,2.6,9.59,490.62
2025-04-21 14:58:59,39.2,2.6,9.58,490.63
2025-04-21 14:59:10,38.6,2.6,9.58,490.63
2025-04-21 14:59:20,36.8,2.6,9.58,490.63
2025-04-21 14:59:30,37.0,2.6,9.58,490.63
2025-04-21 14:59:40,37.0,2.6,9.58,490.63
2025-04-21 14:59:50,43.4,2.6,9.59,490.62
2025-04-21 15:00:00,41.5,2.6,9.59,490.62
2025-04-21 15:00:10,41.4,2.6,9.59,490.63
2025-04-21 15:00:21,39.4,2.6,9.58,490.63
2025-04-21 15:00:31,39.9,2.6,9.58,490.63
2025-04-21 15:00:41,42.1,2.6,9.59,490.63
2025-04-21 15:00:51,41.2,2.6,9.59,490.62
2025-04-21 15:01:01,41.5,2.6,9.59,490.62
2025-04-21 15:01:11,39.9,2.6,9.59,490.63
2025-04-21 15:01:21,39.0,2.6,9.59,490.62
2025-04-21 15:02:05,13.2,2.6,9.70,490.52
