model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,mcc,log_loss,training_time
RF,0.9817850637522768,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9890795270113608,0.986317212443756,0.9363552051936008,0.1309358706354506,0h 5m 37s
LightGBM,0.9817850637522768,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9926733132390448,0.9890584117646112,0.9363552051936008,0.1172335519680949,0h 1m 52s
XGBoost,0.9872495446265938,0.9489795918367347,0.9789473684210528,0.9637305699481864,0.9933456990493856,0.9896105196016852,0.9561680637328832,0.0498508751750855,0h 2m 25s
