rf_precision,rf_recall,rf_thresholds,logistic_precision,logistic_recall,logistic_thresholds
0.345873786407767,1.0,0.0,0.345873786407767,1.0,1.9837170349544396e-25
0.5301318267419962,0.987719298245614,0.01,0.3460837887067395,1.0,6.761171126197084e-18
0.5892291446673706,0.9789473684210528,0.02,0.3462940461725395,1.0,1.899118246717508e-15
0.6698911729141476,0.9719298245614036,0.03,0.3467153284671533,1.0,4.232958573879304e-13
0.7307692307692307,0.9666666666666668,0.04,0.3469263542300669,1.0,5.405059278463865e-13
0.7452316076294278,0.9596491228070176,0.05,0.3471376370280146,1.0,3.800386610943513e-12
0.774468085106383,0.9578947368421052,0.06,0.3473491773308958,1.0,8.009587296025873e-12
0.8026509572901326,0.956140350877193,0.07,0.3475609756097561,1.0,1.4626435197112457e-11
0.8353846153846154,0.9526315789473684,0.08,0.3477730323367907,1.0,4.439001408658863e-11
0.8564668769716088,0.9526315789473684,0.09,0.3479853479853479,1.0,4.9934497741618285e-11
0.8697749196141479,0.9491228070175438,0.1,0.3481979230299328,1.0,5.29570855028116e-11
0.8823529411764706,0.9473684210526316,0.11,0.3484107579462103,1.0,5.617828616406549e-11
0.8892561983471075,0.9438596491228072,0.12,0.3486238532110092,1.0,5.617828616406569e-11
0.9026845637583892,0.9438596491228072,0.13,0.3488372093023256,1.0,3.955683082493733e-10
0.9087837837837838,0.9438596491228072,0.14,0.3490508266993264,1.0,5.062718765501894e-10
0.9163822525597268,0.9421052631578948,0.15,0.3492647058823529,1.0,5.557936066704961e-10
0.9193825042881648,0.9403508771929824,0.16,0.3494788473329246,1.0,8.897226243788587e-10
0.922279792746114,0.936842105263158,0.17,0.3496932515337423,1.0,1.161512837733285e-09
0.9238754325259516,0.936842105263158,0.18,0.3501228501228501,1.0,1.778614365754464e-09
0.9270833333333334,0.936842105263158,0.2,0.3503380454824831,1.0,1.898700184406686e-09
0.9301919720767888,0.9350877192982456,0.21,0.3505535055350554,1.0,2.118601331010277e-09
0.9334500875656744,0.9350877192982456,0.22,0.3507692307692308,1.0,2.237089204652836e-09
0.9349736379613356,0.9333333333333332,0.23,0.3509852216748768,1.0,2.485321315882655e-09
0.939929328621908,0.9333333333333332,0.24,0.3512014787430684,1.0,2.693129353198016e-09
0.946524064171123,0.9315789473684212,0.26,0.3514180024660912,1.0,2.9651042148153686e-09
0.9516129032258064,0.9315789473684212,0.27,0.351634793337446,1.0,3.5465663984931542e-09
0.9584837545126352,0.9315789473684212,0.28,0.3518518518518518,1.0,4.138511587038232e-09
0.9637023593466424,0.9315789473684212,0.29,0.3520691785052501,1.0,5.009288450796689e-09
0.9725274725274724,0.9315789473684212,0.3,0.3522867737948084,1.0,5.0311571327126334e-09
0.9779005524861878,0.9315789473684212,0.31,0.3525046382189239,1.0,5.6723157748383e-09
0.988826815642458,0.9315789473684212,0.32,0.3527227722772277,1.0,6.2115209545797524e-09
0.9906716417910448,0.9315789473684212,0.33,0.3529411764705882,1.0,6.276572974783123e-09
0.9906542056074766,0.9298245614035088,0.34,0.3531598513011152,1.0,6.816843928258581e-09
0.99250936329588,0.9298245614035088,0.38,0.3533787972721636,1.0,6.8539294164463684e-09
0.9943714821763602,0.9298245614035088,0.39,0.3535980148883375,1.0,7.609287195831906e-09
0.9943609022556392,0.9280701754385964,0.4,0.3538175046554935,1.0,8.109788574307145e-09
0.9962264150943396,0.9263157894736842,0.41,0.3540372670807453,1.0,8.221822688149467e-09
0.9981060606060606,0.924561403508772,0.42,0.3542573026724673,1.0,8.235402189369645e-09
1.0,0.9192982456140352,0.43,0.3544776119402985,1.0,8.396472821907544e-09
1.0,0.9175438596491228,0.45,0.3546981953951462,1.0,9.344627847210562e-09
1.0,0.9157894736842104,0.46,0.3549190535491905,1.0,9.907836440544e-09
1.0,0.9140350877192982,0.48,0.3551401869158878,1.0,9.907836440544034e-09
1.0,0.9070175438596492,0.49,0.3553615960099751,1.0,1.0296006722681702e-08
1.0,0.9035087719298246,0.5,0.3555832813474734,1.0,1.1825017203985934e-08
1.0,0.9,0.51,0.3558052434456928,1.0,1.2540352189937469e-08
1.0,0.887719298245614,0.52,0.3560274828232355,1.0,1.3225687322558408e-08
1.0,0.8824561403508772,0.53,0.35625,1.0,1.3410987544159869e-08
1.0,0.868421052631579,0.54,0.3564727954971857,1.0,1.3545704756935556e-08
1.0,0.8543859649122807,0.55,0.3566958698372966,1.0,1.3729765480681762e-08
1.0,0.8385964912280702,0.56,0.3569192235441453,1.0,1.4576245178062338e-08
1.0,0.8245614035087719,0.57,0.3571428571428571,1.0,1.4620101887965572e-08
1.0,0.8087719298245614,0.58,0.3573667711598746,1.0,1.5365001015321412e-08
1.0,0.7964912280701755,0.59,0.3575909661229611,1.0,1.541499828044627e-08
1.0,0.775438596491228,0.6,0.3578154425612053,1.0,1.613266265192308e-08
1.0,0.7526315789473684,0.61,0.3580402010050251,1.0,1.6322177913580077e-08
1.0,0.7280701754385965,0.62,0.3582652419861722,1.0,1.6421132389045135e-08
1.0,0.7087719298245614,0.63,0.3584905660377358,1.0,1.7071277782429797e-08
1.0,0.6877192982456141,0.64,0.3587161736941472,1.0,1.813941429529837e-08
1.0,0.6842105263157895,0.65,0.3589420654911839,1.0,1.8585096257202946e-08
1.0,0.6824561403508772,0.66,0.3591682419659735,1.0,1.878857931475356e-08
1.0,0.6789473684210526,0.67,0.3593947036569987,1.0,1.948273432472772e-08
1.0,0.6754385964912281,0.7,0.3596214511041009,1.0,1.9693083575186613e-08
1.0,0.6701754385964912,0.72,0.3598484848484848,1.0,2.0007728378807463e-08
1.0,0.6614035087719298,0.74,0.3600758054327226,1.0,2.046987009212032e-08
1.0,0.6578947368421053,0.75,0.3603034134007585,1.0,2.249406920525317e-08
1.0,0.6543859649122807,0.88,0.3605313092979127,1.0,2.4212267906211345e-08
1.0,0.6508771929824562,0.9,0.360759493670886,1.0,2.5003681260273056e-08
1.0,0.643859649122807,0.91,0.3609879670677644,1.0,2.5071732183719784e-08
1.0,0.6298245614035087,0.92,0.3612167300380228,1.0,2.513447362381352e-08
1.0,0.6052631578947368,0.93,0.3614457831325301,1.0,2.548015621817828e-08
1.0,0.5877192982456141,0.95,0.3616751269035533,1.0,2.6641410696487973e-08
1.0,0.5403508771929825,0.96,0.3619047619047619,1.0,2.701907898436577e-08
1.0,0.5298245614035088,0.97,0.3621346886912325,1.0,2.7069802409684492e-08
1.0,0.4842105263157895,0.98,0.3623649078194533,1.0,2.9863630963341625e-08
1.0,0.4280701754385965,0.99,0.3625954198473282,1.0,3.2786170833135494e-08
1.0,0.2403508771929824,1.0,0.3628262253341821,1.0,3.312320991284619e-08
1.0,0.0,1.0,0.3630573248407643,1.0,3.406559112491954e-08
