fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.020700636942675158,0.89
0.0,0.14012738853503184,0.88
0.0,0.22611464968152867,0.87
0.0,0.34554140127388533,0.86
0.0,0.46656050955414013,0.85
0.0,0.5079617834394905,0.84
0.0,0.5445859872611465,0.83
0.0,0.5907643312101911,0.82
0.0,0.6560509554140127,0.81
0.0,0.6640127388535032,0.8
0.0,0.6735668789808917,0.78
0.0,0.6767515923566879,0.72
0.0,0.6815286624203821,0.69
0.0009784735812133072,0.6815286624203821,0.68
0.0029354207436399216,0.6910828025477707,0.66
0.0029354207436399216,0.6926751592356688,0.65
0.004892367906066536,0.6926751592356688,0.64
0.008806262230919765,0.6926751592356688,0.63
0.010763209393346379,0.6926751592356688,0.62
0.0136986301369863,0.697452229299363,0.61
0.016634050880626222,0.7070063694267515,0.6
0.022504892367906065,0.714968152866242,0.59
0.023483365949119372,0.7229299363057324,0.58
0.02446183953033268,0.7372611464968153,0.57
0.02446183953033268,0.7468152866242038,0.56
0.025440313111545987,0.75,0.55
0.025440313111545987,0.7643312101910829,0.54
0.026418786692759294,0.7707006369426752,0.53
0.0273972602739726,0.7786624203821656,0.52
0.02837573385518591,0.785031847133758,0.51
0.02837573385518591,0.7945859872611465,0.5
0.029354207436399216,0.804140127388535,0.49
0.029354207436399216,0.8073248407643312,0.48
0.03131115459882583,0.8121019108280255,0.47
0.03228962818003914,0.821656050955414,0.46
0.033268101761252444,0.8328025477707006,0.45
0.03718199608610567,0.8407643312101911,0.44
0.04207436399217221,0.8535031847133758,0.43
0.04500978473581213,0.8598726114649682,0.42
0.04892367906066536,0.8614649681528662,0.41
0.05577299412915851,0.8694267515923567,0.4
0.05675146771037182,0.8710191082802548,0.39
0.06262230919765166,0.8757961783439491,0.38
0.06555772994129158,0.8789808917197452,0.37
0.07045009784735812,0.8789808917197452,0.36
0.07338551859099804,0.8789808917197452,0.35
0.07534246575342465,0.8789808917197452,0.34
0.07925636007827788,0.8789808917197452,0.33
0.0812133072407045,0.8789808917197452,0.32
0.08610567514677103,0.8821656050955414,0.31
0.08806262230919765,0.8821656050955414,0.3
0.09099804305283757,0.8869426751592356,0.29
0.09295499021526418,0.8869426751592356,0.28
0.0949119373776908,0.893312101910828,0.27
0.1086105675146771,0.8964968152866242,0.25
0.11937377690802348,0.8996815286624203,0.24
0.12915851272015655,0.9028662420382165,0.23
0.15362035225048923,0.9092356687898089,0.22
0.1888454011741683,0.9140127388535032,0.21
0.22015655577299412,0.9315286624203821,0.2
0.24168297455968688,0.9363057324840764,0.19
0.26125244618395305,0.9442675159235668,0.18
0.2896281800391389,0.9490445859872612,0.17
0.31800391389432486,0.9570063694267515,0.16
0.3904109589041096,0.9633757961783439,0.15
0.45499021526418787,0.9681528662420382,0.14
0.6105675146771037,0.9792993630573248,0.13
0.6947162426614482,0.982484076433121,0.12
0.7808219178082192,0.9904458598726115,0.11
0.901174168297456,0.9936305732484076,0.1
0.9569471624266145,0.9984076433121019,0.09
0.9755381604696673,0.9984076433121019,0.08
0.9941291585127201,1.0,0.07
1.0,1.0,0.06
