precision,recall,thresholds
0.3806060606060606,1.0,0.81
0.3620474406991261,0.9235668789808917,0.82
0.3614759224515322,0.9203821656050956,0.83
0.37581274382314694,0.9203821656050956,0.84
0.3952054794520548,0.9187898089171974,0.85
0.43978658536585363,0.9187898089171974,0.86
0.49611734253666956,0.9156050955414012,0.87
0.5327604726100966,0.7898089171974523,0.88
0.6204724409448819,0.6273885350318471,0.89
0.7045454545454546,0.2961783439490446,0.9
0.9655172413793104,0.044585987261146494,0.91
1.0,0.0,1.0
