pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,del_G_B
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-3_sample-0/model.cif,6x97,3,0,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-3_sample-0/confidences.json,"[0.26, 0.56, 0.54]","[[0.84, 0.27, 0.24], [0.27, 0.84, 0.85], [0.24, 0.85, 0.87]]","[[0.76, 20.26, 20.1], [18.91, 0.76, 1.26], [19.87, 1.24, 0.76]]","[0.84, 0.84, 0.87]",0.0,0.0,0.35,0.66,0.41,AF3,-5.744432686592404
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-3_sample-1/model.cif,6x97,3,1,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-3_sample-1/confidences.json,"[0.22, 0.54, 0.53]","[[0.84, 0.23, 0.21], [0.23, 0.84, 0.85], [0.21, 0.85, 0.87]]","[[0.76, 21.25, 21.44], [19.73, 0.76, 1.27], [20.84, 1.26, 0.76]]","[0.84, 0.84, 0.87]",0.0,0.0,0.33,0.65,0.39,AF3,-7.876767608938053
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-3_sample-2/model.cif,6x97,3,2,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-3_sample-2/confidences.json,"[0.27, 0.57, 0.55]","[[0.84, 0.28, 0.26], [0.28, 0.84, 0.85], [0.26, 0.85, 0.87]]","[[0.76, 19.49, 19.72], [18.55, 0.76, 1.25], [19.18, 1.26, 0.76]]","[0.84, 0.84, 0.87]",0.0,0.0,0.35,0.66,0.42,AF3,-1.4955638315285569
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-3_sample-3/model.cif,6x97,3,3,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-3_sample-3/confidences.json,"[0.29, 0.58, 0.57]","[[0.84, 0.3, 0.28], [0.3, 0.84, 0.85], [0.28, 0.85, 0.87]]","[[0.76, 19.31, 18.94], [18.0, 0.76, 1.24], [18.29, 1.24, 0.76]]","[0.84, 0.84, 0.87]",0.0,0.0,0.37,0.67,0.43,AF3,-6.962050978930733
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-3_sample-4/model.cif,6x97,3,4,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-3_sample-4/confidences.json,"[0.24, 0.55, 0.54]","[[0.84, 0.26, 0.23], [0.26, 0.85, 0.85], [0.23, 0.85, 0.87]]","[[0.76, 20.16, 20.74], [19.06, 0.76, 1.25], [20.03, 1.22, 0.76]]","[0.84, 0.85, 0.87]",0.0,0.0,0.34,0.66,0.41,AF3,-3.8611048041259437
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-4_sample-0/model.cif,6x97,4,0,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-4_sample-0/confidences.json,"[0.23, 0.55, 0.53]","[[0.84, 0.25, 0.21], [0.25, 0.86, 0.85], [0.21, 0.85, 0.87]]","[[0.76, 20.6, 21.12], [19.95, 0.76, 1.33], [20.7, 1.32, 0.76]]","[0.84, 0.86, 0.87]",0.0,0.0,0.33,0.65,0.4,AF3,-1.4118576394015463
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-4_sample-1/model.cif,6x97,4,1,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-4_sample-1/confidences.json,"[0.23, 0.55, 0.53]","[[0.84, 0.25, 0.22], [0.25, 0.87, 0.85], [0.22, 0.85, 0.87]]","[[0.76, 20.92, 20.88], [20.1, 0.76, 1.33], [20.62, 1.34, 0.76]]","[0.84, 0.87, 0.87]",0.0,0.0,0.34,0.65,0.4,AF3,-0.34774022825251905
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-4_sample-2/model.cif,6x97,4,2,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-4_sample-2/confidences.json,"[0.24, 0.55, 0.53]","[[0.84, 0.26, 0.22], [0.26, 0.86, 0.85], [0.22, 0.85, 0.87]]","[[0.76, 21.15, 20.87], [19.31, 0.76, 1.34], [20.27, 1.34, 0.76]]","[0.84, 0.86, 0.87]",0.0,0.0,0.33,0.65,0.4,AF3,-7.652651432530547
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-4_sample-3/model.cif,6x97,4,3,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-4_sample-3/confidences.json,"[0.21, 0.54, 0.52]","[[0.84, 0.23, 0.2], [0.23, 0.87, 0.85], [0.2, 0.85, 0.87]]","[[0.76, 21.76, 21.79], [20.65, 0.76, 1.36], [21.26, 1.37, 0.76]]","[0.84, 0.87, 0.87]",0.0,0.0,0.32,0.65,0.39,AF3,-5.166217172643087
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-4_sample-4/model.cif,6x97,4,4,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-4_sample-4/confidences.json,"[0.09, 0.47, 0.47]","[[0.84, 0.09, 0.09], [0.09, 0.87, 0.84], [0.09, 0.84, 0.87]]","[[0.76, 29.3, 29.17], [24.63, 0.76, 1.44], [24.57, 1.54, 0.76]]","[0.84, 0.87, 0.87]",0.02,0.0,0.26,0.61,0.35,AF3,219.14398424668798
