,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,del_G_B,plddt_H3,plddt_L3
792,0.0,0.0,-0.07384663,-0.019078152,0.0009551012,-0.8462088,0.00085646776,-0.00020448238,-0.0016441266,0.0052595884,0.26306617,-0.00012929385,0.0050942395,0.020716053,0.02216306,0.027020162,-0.0012842584,0.005717533,0.03709331,0.0,0.0013616516,2.3281424e-05,0.0,-4.9515504e-05,-0.0044661253,-0.004830632,0.0015522065,0.00026649737,0.0008080688,-0.0005730079,-0.0010651322,-0.026644882,-0.06606142,-0.0032782361,-0.009875067,-0.017221348,-0.032073513,-0.0058608623,0.01378369,0.00013968091,-0.012892736,-0.094395965,-0.30399662,-0.0049170395,-0.09053573,-0.0895368,2.3514103e-05,-0.00038669954,-0.00026113386,-0.010205217,0.0,-0.0009378909,0.0,-0.00019038052,0.000913859,0.0,0.005823126,-0.0002248351,0.0,0.018055782,0.00858875
793,0.0,0.0,-0.074539684,-0.019059025,-0.01014391,-0.9700608,0.00085646776,-0.00020448238,-0.0014273787,0.02108278,0.21912879,-0.00012929385,0.0206009,0.014238491,0.017516647,0.03781008,-0.0011657808,-0.25856903,-0.080710016,0.0,0.0013616516,2.3281424e-05,0.0,-4.9515504e-05,-0.0044661253,-0.0047409036,-0.11932442,0.00026649737,0.0008080688,-0.0005730079,-0.0010651322,-0.026644882,-0.06606142,-0.0032782361,-0.009875067,-0.012654608,0.043350637,-0.0017242166,0.01378369,0.00013968091,-0.012892736,-0.09233068,-0.2906545,0.008827163,-0.07763174,-0.08403814,2.3514103e-05,-0.0003275059,-0.00026113386,-0.010205217,0.0,-0.0009378909,0.0,2.8419592e-05,0.004272401,0.0,0.005235785,-0.0013587801,0.0,0.018055782,0.0065851696
794,0.0,0.0,-0.073904365,-0.019078152,-0.0061394004,-0.7986645,0.00085646776,-0.00020448238,-0.0016441266,0.0052595884,0.2774468,-0.00012929385,0.0050942395,0.018406602,0.017403787,0.02687682,-0.0014033258,-0.01754924,0.017047228,0.0,0.0010864985,2.3281424e-05,0.0,-4.9515504e-05,-0.0044661253,-0.004830632,-0.056186482,0.00026649737,0.0008080688,-0.0005730079,-0.0010651322,-0.025939865,-0.06606142,-0.0032782361,-0.015308676,-0.017221348,-0.1479979,-0.0058608623,0.01378369,0.00013968091,-0.012643073,-0.09780329,-0.2937679,-0.0045430018,-0.09053573,-0.081521615,-0.0037876125,-0.00038669954,-0.0003575895,-0.010205217,0.0,-0.0009378909,0.0,-5.199178e-05,0.000913859,0.0,0.0057426873,-0.0013587801,0.0,0.018055782,0.00858875
795,0.0,0.0,-0.035162423,-0.006058774,-0.0010993321,-0.52289027,0.00042952516,-0.00064080604,-0.0018097954,0.0052595884,-0.2961356,-0.000390467,0.0050942395,0.012603295,-0.091009,0.035296563,-0.0021560807,-0.14290752,-0.064175345,0.0,0.000567508,-0.0002487129,0.0,-2.7787173e-05,-0.0011305001,-0.0024974241,-0.06763794,0.000408903,0.00620982,-0.0054540685,-0.003838032,-0.01551963,-0.024931118,-0.004625482,-0.015262765,-0.017244574,-0.34411582,-0.0058608623,0.0032921971,0.00040558787,-0.012727663,-0.111905925,-0.12976594,-0.015387008,-0.15571377,-0.029345086,-0.0037876125,-0.0008338333,-0.0003575895,-0.015036989,0.0,-0.0024943152,0.0,-0.00059779745,0.0010497806,0.0,-0.031642828,-0.0007353252,0.0,0.009015938,0.00858875
796,0.0,0.0,-0.025443483,-0.006058774,0.0012721177,-0.21013686,0.00042952516,-0.00064080604,-0.0022682142,0.0052595884,-0.66025364,-0.0006563236,0.0050942395,0.020504871,-0.1329026,0.033211365,-0.0021560807,0.005055356,-0.07501169,0.0,0.0004932509,5.268368e-05,0.0,-2.7787173e-05,-0.0009819859,-0.0015312277,0.00083487213,0.00033541466,0.00620982,-0.0005730079,-0.004622722,-0.0014035222,-0.010018003,-0.004019034,-0.016505597,-0.023162872,-0.41039976,-0.0059621525,-0.00043694355,0.00040558787,-0.013020258,-0.110375285,-0.104640156,-0.01607709,-0.15281266,-0.032458074,-0.008533068,-0.00094668166,-0.0003575895,-0.0035544285,0.0,-0.0024943152,0.0,-0.00059779745,0.0010497806,0.0,-0.099753305,-0.00068704505,0.0,0.004115464,0.00858875
797,0.0,0.0,-0.07368303,-0.019065298,0.0011976678,-0.20001416,0.00085646776,-0.00020448238,-0.0018097954,0.000364212,0.2989036,-0.00012929385,0.0003831539,0.03264568,-0.018860254,0.024965284,-0.0012842584,0.0046462542,-0.08949559,0.0,0.0013616516,-0.00010990859,0.0,-4.9515504e-05,-0.0044661253,-0.00091691804,0.0015494437,-0.0007225631,0.0008080688,-0.0005730079,-0.0009985373,-0.0075375116,-0.037444,-0.0009881859,-0.0074594147,-0.044524517,-0.089161396,-0.0058608623,0.00062646176,0.00013968091,-0.028027434,-0.094395965,-0.28134683,-0.011725906,-0.106924415,-0.0895368,5.2974647e-05,-0.00038669954,-0.00026113386,-0.010205217,0.0,-0.000632161,0.0,-0.00019038052,0.0012933305,0.0,0.010884399,-0.0002248351,0.0,-0.00029459968,0.00858875
798,0.0,0.0,-0.025426904,-0.00604592,0.0012721177,-0.06875675,0.00042952516,-0.00064080604,-0.0020018904,0.000364212,-0.37548822,-0.0006563236,0.0003831539,-0.23376642,-0.13600597,0.031156488,-0.0023394425,0.00075540505,-0.07155909,0.0,0.0004932509,5.268368e-05,0.0,-2.7787173e-05,-0.0009819859,-0.0015312277,-0.0033242777,0.0048281928,0.0023542612,-0.0054540685,-0.00424104,-0.0012987438,-0.010083433,-0.004019034,-0.015838427,-0.044595394,-0.47068506,-0.0060847998,-0.00043694355,0.00040558787,-0.027862363,-0.11996686,-0.09644772,-0.015572846,-0.17435089,-0.028713237,-0.0033350373,-0.0008338333,-0.0003575895,-0.015036989,0.0,-0.0024943152,0.0,-0.00059779745,0.0010497806,0.0,-0.09965126,-0.00080857426,0.0,-0.0033315981,0.00858875
799,0.0,0.0,-0.08668929,-0.025158798,-0.01014391,-1.2002589,0.000889635,-0.00020448238,-0.00060460204,-0.0030568368,0.23177412,-0.00012929385,-0.0028122605,0.015315044,0.022082977,0.024869218,-0.0005737507,-0.26528618,-0.07564297,0.0,0.001373536,-0.00010990859,0.0,-4.9515504e-05,-0.0044661253,-0.005352234,0.0015611129,-0.0004772,0.0008080688,-0.0005730079,-0.0009985373,-0.026644882,-0.06606142,0.0033472632,-0.006979652,0.016230684,0.15424201,-0.0017242166,-0.0051676673,0.000640598,0.009827329,-0.09035315,-0.33860812,-0.0025966992,-0.07023543,-0.09312928,2.3514103e-05,-0.0002863402,-0.0002341597,-0.010205217,0.0,-0.000632161,0.0,2.8419592e-05,0.00057139783,0.0,0.005396233,-0.00018787998,0.0,0.018055782,0.0021662258
800,0.0,0.0,-0.04652947,-0.009593993,0.0054817246,-0.34467956,0.00030419364,-0.00064080604,-0.0020018904,0.0052595884,-0.23524316,-0.000390467,0.0050942395,-0.20740648,-0.12269855,0.016633283,-0.0023394425,0.00055755395,-0.040612184,0.0,0.00039798982,5.268368e-05,0.0,0.00016273512,-0.0009819859,0.0013301792,-0.011830228,0.0048281928,0.00620982,-0.0054540685,-0.0029562279,0.002742058,0.03643113,-0.0061816457,-0.013239746,-0.042748753,-0.39009252,0.0027030404,0.0032921971,-0.0007258333,-0.01651615,-0.11655062,-0.1615946,-0.013685731,-0.16116212,-0.028523862,-0.0021563377,-0.0008023186,-0.0003575895,-0.015036989,0.0,-0.0024943152,0.0,-0.00059779745,0.0010497806,0.0,-0.1375543,-0.00080857426,0.0,0.0156319,-0.017676776
801,0.0,0.0,-0.07388778,-0.019078152,0.0055644214,-0.3719332,0.00030419364,-0.00064080604,-0.0020018904,0.0052595884,0.24036463,-0.00012929385,0.0050942395,-0.25534856,-0.13644288,0.012614569,-0.0015866876,0.004062352,-0.015115872,0.0,0.0004932509,2.3281424e-05,0.0,-2.7787173e-05,-0.004301341,0.006558899,-0.014879208,0.0048281928,0.0013835306,-0.0005730079,-0.0010651322,0.009388308,0.09333046,-0.005576488,-0.016882397,-0.048684996,-0.3990946,0.0027030404,0.0035145346,-0.0007258333,-0.01651615,-0.10418279,-0.24773423,-0.006584502,-0.11468747,-0.044696216,-0.0021563377,-0.00076897966,-0.0003575895,-0.010205217,0.0,-0.0037633558,0.0,-0.00059779745,0.0010497806,0.0,-0.13079396,-0.0020924045,0.0,0.01956411,-0.017676776
802,0.0,0.0,-0.025472142,-0.006058774,0.0012721177,-0.31620857,0.00030419364,-0.00064080604,-0.002460309,0.0052595884,-0.56453073,-0.0006563236,0.0050942395,-0.16157995,-0.11882306,0.018553654,-0.0023394425,0.0036549123,-0.023660382,0.0,0.00039798982,-0.0002487129,0.0,0.00016273512,-0.0009819859,0.0013301792,-0.0036153789,0.0015332894,-0.0033555236,-0.0005730079,-0.0042197136,0.0067526074,0.030083207,-0.004475627,-0.016505597,-0.043012,-0.40143427,-0.0060847998,0.0032921971,-0.0007258333,-0.016808748,-0.1112857,-0.09348129,-0.016086653,-0.1765382,-0.028713237,-0.0021563377,-0.0010674084,-0.0003575895,-0.0035544285,0.0,-0.0024943152,0.0,0.0061879056,0.0010497806,0.0,-0.11625616,-0.0010742261,0.0,0.0059381663,-0.017676776
803,0.0,0.0,-0.06247323,-0.019029312,0.0055644214,-0.37462047,0.00030419364,-0.00064080604,-0.0020018904,0.0052595884,0.13325249,-0.00026135947,0.0050942395,-0.23860238,-0.12957993,0.012832485,-0.001703503,0.0008890353,-0.02084763,0.0,0.00039798982,2.3281424e-05,0.0,0.00016273512,-0.0009819859,0.0064164447,-0.014879208,0.0048281928,0.0013835306,-0.0005730079,-0.0015174223,0.009388308,0.08260675,-0.005576488,-0.016882397,-0.042748753,-0.39904818,0.0027030404,0.0035145346,-0.0007258333,-0.01651615,-0.111720294,-0.22398242,-0.0063988324,-0.13249269,-0.037060544,-0.0021563377,-0.00076897966,-0.0003575895,-0.010205217,0.0,-0.00503115,0.0,-0.00059779745,0.0010497806,0.0,-0.11884955,-0.00080857426,0.0,0.01956411,-0.017676776
804,0.0,0.0,-0.025472142,-0.006058774,-0.0003142734,-0.33126456,0.00030419364,-0.00064080604,-0.0020018904,0.0052595884,-0.3946701,-0.0006563236,0.0050942395,-0.1743164,-0.117216624,0.018553654,-0.0023394425,-0.004993971,-0.024018507,0.0,0.00039798982,5.268368e-05,0.0,0.00016273512,-0.0009819859,0.0013301792,-0.0034528803,0.0048281928,0.00620982,-0.0054540685,-0.00424104,0.002742058,0.03643113,-0.004475627,-0.015602108,-0.037075758,-0.41616413,-0.0059835096,0.0032921971,-0.0007258333,-0.01651615,-0.11996686,-0.09348129,-0.015398873,-0.18368569,-0.028713237,-0.0021563377,-0.0008338333,-0.0003575895,-0.015036989,0.0,-0.0024943152,0.0,-0.00059779745,0.0010497806,0.0,-0.10543367,-0.0005082166,0.0,0.009015938,-0.017676776
805,0.0,0.0,-0.02564479,-0.006058774,0.003110275,-0.3362899,0.00030419364,-0.00064080604,-0.002460309,0.0052595884,-0.5343856,-0.0006563236,0.0050942395,-0.14659108,-0.11464553,0.01727004,-0.0023394425,-0.08691705,-0.057990827,0.0,0.0004932509,-0.0002487129,0.0,-2.7787173e-05,-0.0009819859,0.0013301792,-0.0036153789,0.0015332894,-0.0033555236,-0.0005730079,-0.0042197136,0.0067526074,0.030083207,-0.004475627,-0.016505597,-0.037075758,-0.33419618,0.0026017504,0.0032921971,-0.0007258333,-0.016808748,-0.114462756,-0.09936026,-0.016086653,-0.1602982,-0.027819246,-0.0021563377,-0.0010674084,-0.0003575895,-0.0035544285,0.0,-0.0024943152,0.0,-0.00059779745,0.0010497806,0.0,-0.098648794,-0.0010742261,0.0,0.0059381663,-0.017676776
806,0.0,0.0,-0.025472142,-0.006058774,0.0054817246,-0.33830285,0.00030419364,-0.00064080604,-0.002460309,0.0052595884,-0.5485143,-0.0006563236,0.0050942395,-0.16157995,-0.11882306,0.018553654,-0.0023394425,0.0036549123,-0.057990827,0.0,0.00039798982,5.268368e-05,0.0,0.00016273512,-0.0009819859,0.0013301792,-0.0036153789,0.0015332894,-0.0033555236,-0.0005730079,-0.004622722,0.0067526074,0.030083207,-0.004475627,-0.016505597,-0.043012,-0.367784,0.0026017504,0.0032921971,-0.0007258333,-0.016808748,-0.1112857,-0.10105929,-0.016086653,-0.15798026,-0.028713237,-0.0021563377,-0.0010674084,-0.0003575895,-0.0035544285,0.0,-0.0024943152,0.0,0.0061879056,0.0010497806,0.0,-0.11625616,-0.0010742261,0.0,0.0059381663,-0.017676776
807,0.0,0.0,-0.025426904,-0.00604592,0.0054817246,-0.054051384,0.00030419364,-0.00064080604,-0.0020018904,0.000364212,-0.44433144,-0.0006563236,0.0003831539,-0.22056144,-0.1381311,0.01621542,-0.0023394425,0.0038760423,-0.07329663,0.0,0.00039798982,5.268368e-05,0.0,0.00016273512,-0.0009819859,-0.00025940646,-0.0033242777,0.0048281928,-0.0033555236,-0.0054540685,-0.00424104,0.0013260419,0.011577772,-0.0038691794,-0.015838427,-0.07476391,-0.4739981,-0.0057593714,-0.00043694355,-0.0007258333,-0.03165085,-0.1172889,-0.10105929,-0.015572846,-0.17198248,-0.028713237,-0.0033350373,-0.00095456,-0.0003575895,-0.015036989,0.0,-0.0024943152,0.0,-0.00059779745,0.0010497806,0.0,-0.11378269,-0.00080857426,0.0,0.001037692,-0.017676776
808,0.0,0.0,-0.025472142,-0.006058774,0.0054817246,-0.32112214,0.00030419364,0.00027989614,-0.002460309,0.0052595884,-0.56695056,-0.0006563236,0.0050942395,-0.16157995,-0.11834305,0.018553654,-0.0023394425,0.0036549123,-0.039262652,0.0,0.0004932509,-0.0002487129,0.0,-2.7787173e-05,-0.0009819859,0.0013301792,-0.0036153789,0.0015332894,-0.0033555236,-0.0005730079,-0.0042197136,0.0067526074,0.030083207,-0.004475627,-0.016505597,-0.043012,-0.3866637,0.0026017504,0.0032921971,-0.0007258333,-0.016808748,-0.1112857,-0.10105929,-0.016086653,-0.15798026,-0.028713237,-0.0021563377,-0.0010674084,-0.0003575895,-0.0035544285,0.0,-0.0024943152,0.0,0.0061879056,0.0010497806,0.0,-0.11625616,-0.0010742261,0.0,0.0059381663,-0.017676776
809,0.0,0.0,-0.025472142,-0.006058774,0.0038953333,-0.31071723,0.00030419364,-0.00064080604,-0.002460309,0.0052595884,-0.55948764,-0.0006563236,0.0050942395,-0.15864603,-0.11706645,0.018270295,-0.0023394425,-0.0052030296,-0.022913603,0.0,0.00039798982,-0.0002487129,0.0,0.00016273512,-0.0009819859,0.0013301792,-0.0036153789,0.0015332894,0.00620982,-0.0005730079,-0.0042197136,0.0067526074,0.030083207,-0.004475627,-0.016505597,-0.037075758,-0.41190216,0.0026017504,0.0032921971,-0.0007258333,-0.016808748,-0.113963656,-0.10105929,-0.016086653,-0.1629045,-0.028713237,-0.0021563377,-0.00094668166,-0.0003575895,-0.0035544285,0.0,-0.0024943152,0.0,-0.00059779745,0.0010497806,0.0,-0.11625616,-0.0010742261,0.0,0.009015938,-0.017676776
810,0.0,0.0,-0.025472142,-0.006058774,0.003110275,-0.31620857,0.00030419364,-0.00064080604,-0.0020018904,0.0052595884,-0.49787655,-0.0006563236,0.0050942395,-0.15864603,-0.11706645,0.01727004,-0.0023394425,-0.015805624,-0.028818572,0.0,0.00039798982,5.268368e-05,0.0,0.00016273512,-0.0009819859,0.0013301792,-0.003332649,0.0015332894,0.00620982,-0.0054540685,-0.00424104,0.0067526074,0.030083207,-0.004475627,-0.016505597,-0.037075758,-0.3919122,-0.0057593714,0.0032921971,-0.0007258333,-0.01651615,-0.11996686,-0.09863949,-0.016086653,-0.18436748,-0.027819246,-0.0021563377,-0.0008338333,-0.0003575895,-0.015036989,0.0,-0.0024943152,0.0,-0.00059779745,0.0010497806,0.0,-0.11335591,-0.0010742261,0.0,0.009015938,-0.017676776
