feature,importance
model_avg_RMSD,115
query_avg_RMSD,92
scaled_RMSD_ratio,92
avg_model_plddt,91
chain_pair_iptm_AL,80
pdockq,63
chain_plddt_A,61
interface_plddt_AL,58
contacts_AL,56
total_contacts,54
scaled_model_RMSD,50
interface_plddt_AH,47
chain_pae_A,45
interface_plddt_HL,40
chain_pair_pae_min_AL,36
pdockq_AH,31
iptm_A,30
chain_plddt_H,27
chain_pae_L,26
LIS_AH,25
avg_LIS,25
avg_interface_plddt,25
contacts_AH,24
interface_pae_HL,24
pTM,23
chain_pair_pae_min_AH,20
pdockq_AL,19
chain_pae_H,18
chain_pair_iptm_AH,17
interface_pae_AH,16
mpdockq_AH,16
chain_pair_pae_min_HL,16
LIS_AL,16
ipTM,15
del_G_B,15
ptm_A,14
chain_plddt_L,13
avg_internal_pae,12
iptm_L,12
chain_pair_pae_AL,11
mpdockq,11
LIS_HL,10
avg_interface_pae,9
chain_pair_pae_AH,9
scaled_query_RMSD,8
pdockq2_AH,7
pdockq2_AL,7
ranking_confidence,6
pdockq2_HL,6
chain_pair_pae_HL,6
ptm_H,6
avg_pair_pae,6
pdockq_HL,5
contacts_HL,5
interface_pae_AL,4
chain_pair_iptm_HL,4
ptm_L,3
pdockq2,2
fraction_disordered,2
iptm_H,1
mpdockq_HL,0
has_clash,0
mpdockq_AL,0
