feature,mean_abs_shap
mpdockq_AH,0.9754345447830323
chain_pair_pae_AL,0.20228801656372133
chain_pair_pae_AH,0.1774163982299896
chain_pair_iptm_AL,0.08522038503811119
chain_pair_pae_min_AH,0.07322191921636403
chain_pair_iptm_AH,0.06458811954304246
interface_pae_AH,0.05910297540824621
scaled_model_RMSD,0.057345020058554956
pdockq2_AH,0.05342458672627104
pdockq2,0.053256772561358315
iptm_H,0.05036277066038512
LIS_AH,0.04615889600504387
interface_pae_AL,0.04418889197884093
scaled_query_RMSD,0.04358370384100677
interface_pae_HL,0.041719006455430536
mpdockq,0.03935089495656147
iptm_L,0.038906286993868035
LIS_AL,0.03739274812316785
chain_pair_pae_min_AL,0.03477284449385617
mpdockq_HL,0.034434786404506396
avg_interface_pae,0.033942503995652254
pdockq_AL,0.033205430395521866
LIS_HL,0.03133607791821231
avg_model_plddt,0.031042199297214253
iptm_A,0.029068044193831164
ipTM,0.02835075654859944
chain_plddt_L,0.028079135890691567
chain_pair_pae_HL,0.027737830378459408
chain_pair_pae_min_HL,0.02725582329290155
chain_pae_L,0.025685683516815296
chain_pae_H,0.025385124588324336
ranking_confidence,0.024653073227649345
chain_pae_A,0.022824007654674325
chain_plddt_H,0.022500401051552286
ptm_H,0.022442838136976458
pdockq2_AL,0.02097434836046338
chain_plddt_A,0.020227732000540365
query_avg_RMSD,0.019873657686033316
pTM,0.019756016882530796
avg_internal_pae,0.019465069201155392
ptm_A,0.01895258298478122
pdockq2_HL,0.017610169149587112
chain_pair_iptm_HL,0.016919827861486027
interface_plddt_AH,0.015513748308792718
avg_pair_pae,0.014367524104530183
model_avg_RMSD,0.012311989159064474
interface_plddt_AL,0.01213922393754367
interface_plddt_HL,0.012109451883728759
pdockq,0.011788858713490976
pdockq_HL,0.011623268380568957
ptm_L,0.010799022729757697
pdockq_AH,0.010571083724602826
scaled_RMSD_ratio,0.010073788089220066
fraction_disordered,0.009833189461777948
contacts_AH,0.009402862961408423
contacts_AL,0.00906812926695632
avg_LIS,0.007919763467438166
contacts_HL,0.0052321759068686335
avg_interface_plddt,0.003629684279988883
total_contacts,0.0026622927340877473
del_G_B,0.0019518585655806434
mpdockq_AL,0.00042652763346422856
has_clash,0.0
