model_name,r2_mean,r2_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,best_inner_cv_score_mean,best_inner_cv_score_std,scoring_metric_used,abnormal_performance_mean,abnormal_performance_std,abnormal_performance,processing_skipped
rf,0.661007729493565,0.19189138952431375,0.027098722440534323,0.011062853010228515,0.1612953619238155,0.032901803330512146,0.09906516422068465,0.01591346874739921,-0.023044772304557308,0.00343517752420192,neg_mean_squared_error,,,,
lgbm,0.6100678018015546,0.23813221809104237,0.030695132220724487,0.013869000185005531,0.17072738803743712,0.039335622464108225,0.1006013056449238,0.019425333930308427,-0.02260263726438757,0.0037376030412215743,neg_mean_squared_error,,,,
xgb,0.5997029909712293,0.2258268875184899,0.031725647521076095,0.01198712529684936,0.1750266715152769,0.03303500839048572,0.1065043488514722,0.014428865395148843,-0.02471152282141255,0.003834811791776284,neg_mean_squared_error,,,,
lr,-25917797.434904583,51835594.88950367,2616307.3430148913,5232614.520574333,723.5968268452556,1446.6219185379325,26.64201286401007,52.84262363723233,-22960642.429282155,42264130.23895345,neg_mean_squared_error,1.0,0.0,True,True
ridge,-869489.7362045851,1738979.7237354827,87771.90776649816,175543.67721400424,132.69458908440572,264.8849821983475,5.032570845377153,9.64900441171532,-3436429.31090401,6196850.380524023,neg_mean_squared_error,1.0,0.0,True,True
lasso,0.701974658813895,0.0907984576160665,0.02466437447393175,0.002644330401339824,0.15681961978826567,0.008484180773388824,0.10917351649630888,0.006513867157941335,-0.0232164339085483,0.003500735405233368,neg_mean_squared_error,,,,
en,0.7135593780411904,0.07826934186003506,0.024026419631035342,0.0030480872129781643,0.15468888931032979,0.009887727492800471,0.1046320058521188,0.004977071747972854,-0.023114494263602438,0.0036871330628038125,neg_mean_squared_error,,,,
