mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__max_iter,param_model__penalty,param_model__random_state,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.025768756866455078,0.006489858558152789,0.003301858901977539,0.00022549608540742288,0.003364015711399237,,2000,l1,42,liblinear,"{'model__C': 0.003364015711399237, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9847612546554498,0.9777813616979781,0.9863037930852785,0.9829488031462356,0.003707802093131958,15
0.01718290646870931,0.001598834355450855,0.00329740842183431,0.00017973580965946847,0.017448803883359634,,2000,l1,42,liblinear,"{'model__C': 0.017448803883359634, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9930238576566912,0.9871128897356942,0.992683312381913,0.9909400199247661,0.0027097585235739715,5
0.01353891690572103,0.0012500817956361343,0.003455082575480143,0.000311785044217314,0.0012297449807975379,,2000,l1,42,liblinear,"{'model__C': 0.0012297449807975379, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9713603102508036,0.9662144676190727,0.9799901390321195,0.9725216389673319,0.005683531414589218,18
0.011586427688598633,0.0009185313530735944,0.0033475557963053384,6.975426656417318e-05,0.0007833304376237457,balanced,2000,l1,42,liblinear,"{'model__C': 0.0007833304376237457, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.0,20
0.020515998204549152,0.0029862256650021327,0.0034159024556477866,0.00024324976768414405,0.009550097407786182,balanced,2000,l1,42,liblinear,"{'model__C': 0.009550097407786182, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9922549817532621,0.9863515150605912,0.9920472423163489,0.9902179130434007,0.0027352713380964146,7
0.013384421666463217,0.0020072004499190814,0.003507693608601888,0.00022521713860943732,0.0006590931019793577,balanced,2000,l2,42,liblinear,"{'model__C': 0.0006590931019793577, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9895920456974829,0.983474793997517,0.9902481802374159,0.9877716733108053,0.0030501373748676413,12
0.01733509699503581,0.0006998575410578149,0.003299713134765625,0.0003459776990966165,0.02771169301809555,balanced,2000,l2,42,liblinear,"{'model__C': 0.02771169301809555, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9953304853669789,0.9892357373519913,0.9950732797880267,0.9932131675023324,0.0028144273103767967,2
0.01315005620320638,0.0012826858449063187,0.0032155513763427734,0.00027405784422955147,0.0013849296468203375,,2000,l1,42,liblinear,"{'model__C': 0.0013849296468203375, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9713603102508036,0.9673846592379503,0.980005193944914,0.9729167211445561,0.005268540925472163,17
0.022615909576416016,0.0010883134641418253,0.0035399595896402993,0.00031515541445309013,0.002433673222897251,balanced,2000,l1,42,liblinear,"{'model__C': 0.002433673222897251, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9851738222133875,0.9783533303578461,0.9867102757307278,0.9834124761006539,0.003631931450157397,14
0.02320210138956706,0.002208823306991959,0.003436406453450521,2.912243879337913e-05,0.004381954008708687,,2000,l1,42,liblinear,"{'model__C': 0.004381954008708687, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9862615003206775,0.9794316319297285,0.9878281030057133,0.9845070784187064,0.003645424418825088,13
0.016497055689493816,0.0006778321782084613,0.0032624403635660806,0.0002544819748323556,0.010034218810844186,balanced,2000,l2,42,liblinear,"{'model__C': 0.010034218810844186, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9939727630399477,0.9879192717807541,0.9939140515028567,0.9919353621078528,0.0028399058549781753,3
0.02165381113688151,0.0008395295707250554,0.0032033920288085938,0.00020136205189335546,0.0023017972922957444,balanced,2000,l1,42,liblinear,"{'model__C': 0.0023017972922957444, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9847087460571669,0.977640713666863,0.9859876399165958,0.9827790332135419,0.003670661902051442,16
0.014641841252644857,0.00047814049355234407,0.0030503273010253906,0.0002172089650303828,0.00489686065833363,,2000,l2,42,liblinear,"{'model__C': 0.00489686065833363, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9929901021292237,0.9863215101472866,0.992720949663899,0.9906775206468031,0.0030821238744650164,6
0.01511542002360026,0.0012151209646991759,0.0035762786865234375,0.00033566575722573233,0.001503575851762003,,2000,l2,42,liblinear,"{'model__C': 0.001503575851762003, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9913510837399624,0.9848587706236898,0.9914450458045722,0.9892183000560748,0.003082891485955979,10
0.019875367482503254,0.0016241551970724924,0.0035636425018310547,0.00015503454172124557,0.009175017800498387,,2000,l1,42,liblinear,"{'model__C': 0.009175017800498387, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9911372987326674,0.9853088443232578,0.9910874916257048,0.9891778782272099,0.002735895672892098,11
0.018463850021362305,0.002316586906738103,0.0033365090688069663,0.00017759910042510437,0.009837108953991014,,2000,l1,42,liblinear,"{'model__C': 0.009837108953991014, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9914561009365284,0.9855526342438574,0.9913095515894224,0.9894394289232693,0.002749029991071171,9
0.011504014333089193,0.00017136633796673405,0.0034847259521484375,0.0002578946339846729,0.0008088741635837638,balanced,2000,l1,42,liblinear,"{'model__C': 0.0008088741635837638, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.5,0.9662144676190727,0.5,0.6554048225396909,0.21977560769381493,19
0.016677697499593098,0.001294415450882328,0.0031669934590657554,0.0002141430970959324,0.05117311380520865,balanced,2000,l2,42,liblinear,"{'model__C': 0.05117311380520865, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9961781241678325,0.9901771415069217,0.995099625885417,0.9938182971867238,0.0026120618483883758,1
0.014025529225667318,0.0011141378574225842,0.003162225087483724,0.00014429378324596235,0.0024378406593769243,,2000,l2,42,liblinear,"{'model__C': 0.0024378406593769243, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9921724682416746,0.9856051428421404,0.9920397148599517,0.9899391086479222,0.0030650557982255717,8
0.01533977190653483,0.000951313480875656,0.0029772122701009116,4.4582503471181054e-05,0.014003733291442501,,2000,l2,42,liblinear,"{'model__C': 0.014003733291442501, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9942353060313627,0.987532958521958,0.9936618817135502,0.9918100487556236,0.003033406172633122,4
